time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488699;
0.000002;1.000000;10.104236;0.979158;1.488699;
0.000004;1.000000;10.104235;0.979158;1.488699;
0.000008;1.000000;10.104235;0.979157;1.488699;
0.000016;1.000000;10.104233;0.979156;1.488699;
0.000032;1.000000;10.104230;0.979153;1.488699;
0.000064;1.000000;10.104224;0.979147;1.488699;
0.000128;1.000000;10.104213;0.979135;1.488699;
0.000256;1.000000;10.104190;0.979111;1.488699;
0.000512;1.000000;10.104148;0.979064;1.488699;
0.001024;0.999999;10.104074;0.978971;1.488699;
0.002048;0.999999;10.103963;0.978790;1.488699;
0.004096;0.999997;10.103880;0.978442;1.488701;
0.006144;0.999996;10.103967;0.978114;1.488708;
0.010240;0.999993;10.104539;0.977511;1.488762;
0.014336;0.999990;10.105549;0.976974;1.488900;
0.018432;0.999987;10.106874;0.976495;1.489167;
0.022528;0.999984;10.108408;0.976066;1.489612;
0.030720;0.999978;10.111689;0.975331;1.491255;
0.037453;0.999973;10.114426;0.974835;1.493462;
0.044186;0.999968;10.116982;0.974416;1.496566;
0.050919;0.999963;10.119227;0.974061;1.500638;
0.057653;0.999958;10.121078;0.973757;1.505708;
0.064386;0.999953;10.122494;0.973497;1.511771;
0.071119;0.999947;10.123460;0.973272;1.518796;
0.077852;0.999942;10.123979;0.973077;1.526735;
0.084585;0.999937;10.124069;0.972908;1.535525;
0.091318;0.999931;10.123754;0.972761;1.545098;
0.104784;0.999921;10.122076;0.972519;1.566207;
0.118251;0.999910;10.119174;0.972339;1.589574;
0.131717;0.999900;10.115298;0.972209;1.614691;
0.145183;0.999891;10.110689;0.972122;1.641090;
0.158649;0.999881;10.105522;0.972074;1.668439;
0.172116;0.999873;10.100003;0.972060;1.696361;
0.185582;0.999865;10.094353;0.972077;1.724462;
0.199048;0.999857;10.088663;0.972124;1.752588;
0.212515;0.999850;10.083022;0.972199;1.780587;
0.225981;0.999843;10.077511;0.972302;1.808322;
0.239447;0.999837;10.072196;0.972432;1.835681;
0.252913;0.999831;10.067131;0.972587;1.862571;
0.279846;0.999821;10.057952;0.972970;1.914584;
0.306778;0.999813;10.050148;0.973445;1.964000;
0.333711;0.999806;10.043818;0.974005;2.010527;
0.360643;0.999800;10.038987;0.974644;2.053953;
0.387576;0.999794;10.035600;0.975356;2.094130;
0.414508;0.999789;10.033544;0.976134;2.130960;
0.441441;0.999785;10.032655;0.976973;2.164380;
0.495306;0.999776;10.033215;0.978795;2.220893;
0.549171;0.999766;10.035530;0.980779;2.263740;
0.603036;0.999756;10.037723;0.982878;2.293207;
0.656901;0.999746;10.038061;0.985047;2.309797;
0.710766;0.999736;10.035182;0.987240;2.314202;
0.764631;0.999729;10.028274;0.989417;2.307281;
0.818496;0.999724;10.017158;0.991537;2.290031;
0.872361;0.999724;10.002298;0.993565;2.263563;
0.926226;0.999730;9.984721;0.995469;2.229074;
0.980091;0.999742;9.965865;0.997222;2.187821;
1.000000;0.999747;9.958992;0.997825;2.171189;
1.000000;0.999747;8.691781;0.917590;2.171189;
1.000001;0.999747;8.691787;0.917589;2.171189;
1.000002;0.999747;8.691794;0.917588;2.171188;
1.000004;0.999747;8.691806;0.917587;2.171186;
1.000008;0.999747;8.691832;0.917584;2.171182;
1.000016;0.999748;8.691882;0.917579;2.171176;
1.000032;0.999748;8.691984;0.917568;2.171162;
1.000064;0.999748;8.692186;0.917547;2.171134;
1.000128;0.999748;8.692591;0.917504;2.171079;
1.000256;0.999750;8.693403;0.917419;2.170968;
1.000512;0.999752;8.695029;0.917251;2.170747;
1.001024;0.999756;8.698294;0.916917;2.170303;
1.002048;0.999764;8.704871;0.916264;2.169416;
