time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488699;
0.000002;1.000000;10.104236;0.979158;1.488699;
0.000004;1.000000;10.104235;0.979158;1.488699;
0.000008;1.000000;10.104235;0.979157;1.488699;
0.000016;1.000000;10.104233;0.979156;1.488699;
0.000032;1.000000;10.104230;0.979153;1.488699;
0.000064;1.000000;10.104224;0.979147;1.488699;
0.000128;1.000000;10.104213;0.979135;1.488700;
0.000256;1.000000;10.104190;0.979111;1.488700;
0.000512;1.000000;10.104148;0.979064;1.488702;
0.001024;0.999999;10.104074;0.978971;1.488704;
0.002048;0.999999;10.103963;0.978790;1.488710;
0.004096;0.999997;10.103880;0.978442;1.488721;
0.008192;0.999994;10.104178;0.977803;1.488746;
0.016384;0.999989;10.106032;0.976718;1.488802;
0.032768;0.999977;10.111723;0.975110;1.488947;
0.049152;0.999965;10.117569;0.974054;1.489141;
0.065536;0.999952;10.121402;0.973344;1.489391;
0.081920;0.999939;10.122277;0.972844;1.489703;
0.098304;0.999926;10.120016;0.972472;1.490082;
0.131072;0.999903;10.107636;0.971901;1.491073;
0.163840;0.999883;10.086914;0.971483;1.492399;
0.229376;0.999860;10.033914;0.970799;1.496246;
0.294912;0.999861;9.975912;0.970238;1.501848;
0.360448;0.999883;9.925224;0.969732;1.509407;
0.425984;0.999921;9.890586;0.969266;1.519081;
0.491520;0.999969;9.876826;0.968840;1.530977;
0.622592;1.000048;9.905770;0.968171;1.561565;
0.753664;1.000082;9.980752;0.967825;1.600895;
0.884736;1.000057;10.058121;0.967909;1.648181;
1.000000;1.000001;10.098625;0.968413;1.695294;
1.000000;1.000001;8.811267;0.889751;1.695294;
1.000001;1.000001;8.811274;0.889750;1.695294;
1.000002;1.000001;8.811281;0.889749;1.695294;
1.000004;1.000001;8.811294;0.889748;1.695295;
1.000008;1.000001;8.811322;0.889745;1.695297;
1.000016;1.000001;8.811376;0.889739;1.695301;
1.000032;1.000001;8.811484;0.889728;1.695308;
1.000064;1.000001;8.811700;0.889706;1.695322;
1.000128;1.000002;8.812133;0.889661;1.695351;
1.000256;1.000003;8.813000;0.889571;1.695409;
1.000512;1.000005;8.814737;0.889394;1.695525;
1.001024;1.000009;8.818221;0.889042;1.695757;
1.002048;1.000016;8.825233;0.888354;1.696221;
1.004096;1.000031;8.839403;0.887036;1.697152;
1.008192;1.000061;8.868150;0.884614;1.699023;
1.016384;1.000118;8.926252;0.880493;1.702809;
1.024576;1.000172;8.984181;0.877189;1.706654;
1.032768;1.000223;9.040963;0.874528;1.710563;
1.040960;1.000270;9.096021;0.872368;1.714537;
1.049152;1.000315;9.149106;0.870596;1.718581;
1.057344;1.000357;9.200190;0.869126;1.722697;
1.073728;1.000433;9.297117;0.866782;1.731157;
1.090112;1.000498;9.388231;0.865044;1.739933;
1.100000;1.000533;9.441134;0.864183;1.745391;
1.100000;1.000533;10.831909;0.941083;1.745391;
1.100001;1.000533;10.831909;0.941084;1.745392;
1.100002;1.000533;10.831908;0.941084;1.745393;
1.100004;1.000533;10.831906;0.941086;1.745394;
1.100008;1.000533;10.831903;0.941088;1.745396;
1.100016;1.000533;10.831897;0.941093;1.745400;
1.100032;1.000533;10.831884;0.941104;1.745409;
1.100064;1.000532;10.831858;0.941124;1.745426;
1.100128;1.000532;10.831806;0.941166;1.745460;
1.100256;1.000531;10.831701;0.941248;1.745529;
1.100512;1.000530;10.831486;0.941412;1.745667;
1.101024;1.000527;10.831036;0.941737;1.745943;
1.102048;1.000521;10.830057;0.942371;1.746496;
1.104096;1.000510;10.827819;0.943584;1.747605;
1.108192;1.000488;10.822440;0.945807;1.749832;
1.116384;1.000443;10.809381;0.949566;1.754326;
