time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488699;
0.000002;1.000000;10.104236;0.979158;1.488699;
0.000004;1.000000;10.104235;0.979158;1.488699;
0.000008;1.000000;10.104235;0.979157;1.488699;
0.000016;1.000000;10.104233;0.979156;1.488699;
0.000032;1.000000;10.104230;0.979153;1.488699;
0.000064;1.000000;10.104224;0.979147;1.488699;
0.000128;1.000000;10.104213;0.979135;1.488699;
0.000256;1.000000;10.104190;0.979111;1.488699;
0.000512;1.000000;10.104148;0.979064;1.488699;
0.001024;0.999999;10.104074;0.978971;1.488699;
0.002048;0.999999;10.103963;0.978790;1.488699;
0.004096;0.999997;10.103880;0.978442;1.488699;
0.008192;0.999994;10.104177;0.977803;1.488699;
0.012288;0.999992;10.104984;0.977234;1.488701;
0.016384;0.999989;10.106166;0.976727;1.488706;
0.020480;0.999986;10.107605;0.976274;1.488718;
0.024576;0.999983;10.109205;0.975868;1.488745;
0.028672;0.999980;10.110884;0.975504;1.488797;
0.032768;0.999977;10.112575;0.975177;1.488887;
0.036864;0.999974;10.114226;0.974882;1.489034;
0.040960;0.999971;10.115795;0.974615;1.489260;
0.045056;0.999968;10.117248;0.974374;1.489591;
0.049152;0.999965;10.118562;0.974154;1.490057;
0.057344;0.999958;10.120689;0.973769;1.491586;
0.065536;0.999952;10.122111;0.973445;1.494123;
0.073728;0.999945;10.122804;0.973171;1.497983;
0.081920;0.999939;10.122777;0.972937;1.503490;
0.090112;0.999932;10.122074;0.972737;1.510959;
0.098304;0.999926;10.120754;0.972564;1.520675;
0.106496;0.999920;10.118895;0.972415;1.532880;
0.114688;0.999914;10.116583;0.972288;1.547762;
0.122880;0.999908;10.113908;0.972179;1.565448;
0.139264;0.999896;10.107965;0.972017;1.609327;
0.154010;0.999886;10.102293;0.971934;1.658160;
0.168755;0.999877;10.096833;0.971910;1.714926;
0.183501;0.999868;10.091982;0.971949;1.778417;
0.198246;0.999860;10.088085;0.972053;1.847072;
0.212992;0.999852;10.085408;0.972224;1.919121;
0.227738;0.999844;10.084133;0.972463;1.992694;
0.242483;0.999837;10.084352;0.972772;2.065913;
0.257229;0.999829;10.086075;0.973149;2.136972;
0.271974;0.999821;10.089229;0.973592;2.204191;
0.286720;0.999813;10.093667;0.974097;2.266060;
0.301466;0.999804;10.099177;0.974660;2.321264;
0.316211;0.999795;10.105491;0.975274;2.368698;
0.330957;0.999786;10.112297;0.975933;2.407477;
0.345702;0.999775;10.119247;0.976628;2.436937;
0.360448;0.999764;10.125974;0.977351;2.456631;
0.375194;0.999753;10.132099;0.978094;2.466333;
0.389939;0.999741;10.137243;0.978847;2.466023;
0.404685;0.999728;10.141042;0.979602;2.455886;
0.419430;0.999716;10.143152;0.980348;2.436297;
0.434176;0.999703;10.143263;0.981078;2.407812;
0.448922;0.999691;10.141106;0.981783;2.371151;
0.463667;0.999679;10.136461;0.982456;2.327184;
0.478413;0.999667;10.129165;0.983089;2.276906;
0.493158;0.999657;10.119116;0.983677;2.221420;
0.507904;0.999647;10.106276;0.984214;2.161911;
0.522650;0.999639;10.090675;0.984697;2.099619;
0.537395;0.999633;10.072412;0.985122;2.035818;
0.552141;0.999628;10.051649;0.985488;1.971784;
0.566886;0.999626;10.028617;0.985795;1.908771;
0.581632;0.999626;10.003605;0.986042;1.847989;
0.596378;0.999628;9.976955;0.986231;1.790573;
0.611123;0.999633;9.949060;0.986366;1.737568;
0.625869;0.999640;9.920350;0.986449;1.689907;
0.640614;0.999650;9.891288;0.986486;1.648391;
0.655360;0.999663;9.862359;0.986481;1.613681;
0.670106;0.999679;9.834058;0.986440;1.586284;
0.684851;0.999697;9.806883;0.986371;1.566545;
