time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488699;
0.000002;1.000000;10.104236;0.979158;1.488699;
0.000004;1.000000;10.104235;0.979158;1.488699;
0.000008;1.000000;10.104235;0.979157;1.488699;
0.000016;1.000000;10.104233;0.979156;1.488699;
0.000032;1.000000;10.104230;0.979153;1.488699;
0.000064;1.000000;10.104224;0.979147;1.488699;
0.000128;1.000000;10.104213;0.979135;1.488699;
0.000256;1.000000;10.104190;0.979111;1.488699;
0.000512;1.000000;10.104148;0.979064;1.488699;
0.001024;0.999999;10.104074;0.978971;1.488699;
0.002048;0.999999;10.103963;0.978790;1.488699;
0.004096;0.999997;10.103880;0.978442;1.488700;
0.008192;0.999994;10.104177;0.977803;1.488706;
0.016384;0.999989;10.106031;0.976718;1.488754;
0.024576;0.999983;10.108957;0.975851;1.488866;
0.032768;0.999977;10.112282;0.975154;1.489066;
0.040960;0.999971;10.115516;0.974590;1.489370;
0.049152;0.999965;10.118331;0.974128;1.489793;
0.057344;0.999958;10.120527;0.973746;1.490345;
0.073728;0.999945;10.122648;0.973140;1.491863;
0.090112;0.999933;10.121746;0.972694;1.493943;
0.106496;0.999920;10.117969;0.972354;1.496591;
0.122880;0.999908;10.111636;0.972081;1.499799;
0.155648;0.999887;10.093341;0.971643;1.507802;
0.188416;0.999871;10.069427;0.971309;1.517802;
0.221184;0.999860;10.042339;0.971040;1.529619;
0.286720;0.999855;9.988835;0.970629;1.557720;
0.352256;0.999871;9.943446;0.970377;1.590829;
0.417792;0.999900;9.914126;0.970275;1.627653;
0.483328;0.999937;9.905115;0.970325;1.666983;
0.548864;0.999973;9.916731;0.970533;1.707721;
0.614400;0.999999;9.945746;0.970905;1.748893;
0.679936;1.000011;9.986217;0.971445;1.789646;
0.745472;1.000006;10.030671;0.972157;1.829240;
0.811008;0.999983;10.071437;0.973041;1.867040;
0.876544;0.999947;10.101908;0.974094;1.902509;
0.942080;0.999902;10.117558;0.975308;1.935200;
1.000000;0.999861;10.117517;0.976500;1.961476;
1.000000;0.999861;8.827925;0.897407;1.961476;
1.000001;0.999861;8.827931;0.897406;1.961477;
1.000002;0.999861;8.827938;0.897405;1.961477;
1.000004;0.999861;8.827951;0.897404;1.961478;
1.000008;0.999861;8.827977;0.897401;1.961480;
1.000016;0.999861;8.828028;0.897396;1.961483;
1.000032;0.999861;8.828131;0.897385;1.961490;
1.000064;0.999861;8.828338;0.897363;1.961504;
1.000128;0.999862;8.828751;0.897319;1.961532;
1.000256;0.999863;8.829579;0.897232;1.961587;
1.000512;0.999865;8.831237;0.897059;1.961698;
1.001024;0.999869;8.834566;0.896716;1.961919;
1.002048;0.999876;8.841267;0.896045;1.962362;
1.004096;0.999891;8.854819;0.894763;1.963247;
1.008192;0.999921;8.882354;0.892412;1.965024;
1.012288;0.999949;8.910263;0.890324;1.966822;
1.016384;0.999977;8.938309;0.888467;1.968655;
1.020480;1.000004;8.966301;0.886813;1.970537;
1.024576;1.000031;8.994089;0.885339;1.972477;
1.028672;1.000056;9.021561;0.884022;1.974489;
1.036864;1.000105;9.075225;0.881767;1.978768;
1.045056;1.000152;9.127045;0.879944;1.983422;
1.053248;1.000195;9.176943;0.878461;1.988491;
1.061440;1.000236;9.224981;0.877245;1.994007;
1.069632;1.000274;9.271316;0.876236;1.999989;
1.077824;1.000309;9.316158;0.875391;2.006450;
1.086016;1.000342;9.359734;0.874674;2.013396;
1.100000;1.000394;9.432045;0.873652;2.026373;
1.100000;1.000394;10.820856;0.951090;2.026373;
1.100001;1.000394;10.820855;0.951090;2.026374;
1.100002;1.000394;10.820854;0.951091;2.026375;
1.100004;1.000394;10.820851;0.951092;2.026377;
