time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488699;
0.000002;1.000000;10.104236;0.979158;1.488699;
0.000004;1.000000;10.104235;0.979158;1.488699;
0.000008;1.000000;10.104235;0.979157;1.488699;
0.000016;1.000000;10.104233;0.979156;1.488699;
0.000032;1.000000;10.104230;0.979153;1.488699;
0.000064;1.000000;10.104224;0.979147;1.488699;
0.000128;1.000000;10.104213;0.979135;1.488699;
0.000256;1.000000;10.104190;0.979111;1.488699;
0.000512;1.000000;10.104148;0.979064;1.488699;
0.001024;0.999999;10.104074;0.978971;1.488699;
0.002048;0.999999;10.103963;0.978790;1.488703;
0.004096;0.999997;10.103880;0.978442;1.488732;
0.008192;0.999994;10.104178;0.977803;1.488937;
0.012288;0.999992;10.104988;0.977234;1.489398;
0.020480;0.999986;10.107506;0.976266;1.491364;
0.028672;0.999980;10.110751;0.975490;1.494820;
0.036864;0.999974;10.114180;0.974866;1.499802;
0.045056;0.999968;10.117417;0.974361;1.506228;
0.053248;0.999961;10.120223;0.973950;1.513941;
0.061440;0.999955;10.122463;0.973611;1.522760;
0.077824;0.999942;10.125053;0.973086;1.542778;
0.094208;0.999929;10.125237;0.972722;1.565213;
0.110592;0.999916;10.123265;0.972472;1.589150;
0.126976;0.999903;10.119487;0.972303;1.613906;
0.143360;0.999891;10.114268;0.972197;1.639014;
0.159744;0.999880;10.107947;0.972140;1.664173;
0.192512;0.999859;10.093412;0.972142;1.713923;
0.225280;0.999842;10.077382;0.972283;1.762709;
0.258048;0.999828;10.061123;0.972544;1.810369;
0.290816;0.999818;10.045640;0.972913;1.856890;
0.323584;0.999811;10.031710;0.973384;1.902299;
0.389120;0.999804;10.011111;0.974601;1.989690;
0.454656;0.999803;10.001133;0.976164;2.072128;
0.520192;0.999804;10.001923;0.978045;2.148916;
0.585728;0.999803;10.011809;0.980213;2.219216;
0.651264;0.999796;10.027600;0.982637;2.282167;
0.716800;0.999783;10.045217;0.985286;2.336962;
0.782336;0.999764;10.060434;0.988125;2.382892;
0.847872;0.999740;10.069605;0.991115;2.419361;
0.913408;0.999715;10.070271;0.994215;2.445904;
0.978944;0.999692;10.061535;0.997380;2.462198;
1.000000;0.999686;10.056893;0.998400;2.465221;
1.000000;0.999686;8.776389;0.918140;2.465221;
1.000001;0.999686;8.776395;0.918140;2.465221;
1.000002;0.999686;8.776402;0.918139;2.465221;
1.000004;0.999686;8.776414;0.918138;2.465221;
1.000008;0.999686;8.776440;0.918135;2.465222;
1.000016;0.999686;8.776491;0.918130;2.465223;
1.000032;0.999687;8.776593;0.918120;2.465224;
1.000064;0.999687;8.776798;0.918099;2.465228;
1.000128;0.999687;8.777207;0.918057;2.465236;
1.000256;0.999688;8.778027;0.917974;2.465251;
1.000512;0.999690;8.779670;0.917810;2.465282;
1.001024;0.999694;8.782967;0.917484;2.465344;
1.002048;0.999702;8.789610;0.916849;2.465476;
1.004096;0.999718;8.803058;0.915636;2.465817;
1.008192;0.999749;8.830429;0.913426;2.467029;
1.012288;0.999779;8.858235;0.911479;2.469188;
1.016384;0.999809;8.886242;0.909763;2.472546;
1.020480;0.999837;8.914260;0.908250;2.477271;
1.024576;0.999865;8.942146;0.906917;2.483454;
1.028672;0.999892;8.969794;0.905741;2.491125;
1.032768;0.999919;8.997131;0.904703;2.500270;
1.040960;0.999969;9.050706;0.902962;2.522670;
1.049152;1.000017;9.102790;0.901604;2.550105;
1.057344;1.000061;9.153445;0.900551;2.581906;
1.065536;1.000103;9.202835;0.899740;2.617369;
1.073728;1.000143;9.251188;0.899122;2.655819;
1.081920;1.000180;9.298753;0.898659;2.696643;
1.083460;1.000186;9.307638;0.898586;2.704525;
