time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488706;
0.000002;1.000000;10.104236;0.979158;1.488713;
0.000004;1.000000;10.104235;0.979158;1.488727;
0.000008;1.000000;10.104235;0.979157;1.488754;
0.000016;1.000000;10.104233;0.979156;1.488810;
0.000032;1.000000;10.104230;0.979153;1.488921;
0.000064;1.000000;10.104224;0.979147;1.489143;
0.000128;1.000000;10.104213;0.979135;1.489586;
0.000256;1.000000;10.104191;0.979111;1.490469;
0.000512;1.000000;10.104149;0.979064;1.492222;
0.001024;0.999999;10.104079;0.978972;1.495678;
0.002048;0.999999;10.103983;0.978790;1.502399;
0.004096;0.999997;10.103959;0.978444;1.515129;
0.008192;0.999994;10.104487;0.977811;1.538101;
0.012288;0.999992;10.105669;0.977253;1.558161;
0.016384;0.999989;10.107363;0.976759;1.575793;
0.020480;0.999986;10.109444;0.976324;1.591408;
0.024576;0.999983;10.111806;0.975939;1.605333;
0.032768;0.999977;10.116951;0.975293;1.629343;
0.040960;0.999970;10.122361;0.974788;1.649053;
0.049152;0.999964;10.127690;0.974395;1.665432;
0.057344;0.999957;10.132690;0.974090;1.679186;
0.065536;0.999949;10.137198;0.973856;1.690824;
0.081920;0.999935;10.144338;0.973529;1.709457;
0.098304;0.999919;10.148874;0.973349;1.722985;
0.114688;0.999904;10.150774;0.973266;1.732712;
0.131072;0.999888;10.150140;0.973249;1.739613;
0.147456;0.999873;10.147143;0.973273;1.744413;
0.163840;0.999858;10.141979;0.973327;1.747650;
0.180224;0.999844;10.134851;0.973400;1.749726;
0.196608;0.999830;10.125957;0.973486;1.750940;
0.229376;0.999807;10.103921;0.973682;1.751799;
0.262144;0.999790;10.077254;0.973899;1.751154;
0.294912;0.999778;10.047476;0.974127;1.749657;
0.327680;0.999773;10.016145;0.974358;1.747715;
0.360448;0.999775;9.984803;0.974587;1.745565;
0.425984;0.999795;9.929320;0.975026;1.741203;
0.491520;0.999841;9.898081;0.975414;1.737086;
0.557056;0.999890;9.887823;0.975767;1.733333;
0.622592;0.999934;9.896342;0.976089;1.729908;
0.753664;0.999998;9.939491;0.976694;1.723576;
0.871629;1.000017;9.995877;0.977206;1.718344;
0.989594;1.000001;10.042350;0.977721;1.713211;
1.000000;0.999998;10.045136;0.977767;1.712752;
1.000000;0.999998;8.765405;0.898603;1.712752;
1.000001;0.999998;8.765412;0.898602;1.712778;
1.000002;0.999998;8.765418;0.898601;1.712804;
1.000004;0.999998;8.765432;0.898600;1.712857;
1.000008;0.999998;8.765460;0.898597;1.712962;
1.000016;0.999998;8.765515;0.898591;1.713173;
1.000032;0.999998;8.765624;0.898580;1.713594;
1.000064;0.999999;8.765844;0.898558;1.714436;
1.000128;0.999999;8.766283;0.898513;1.716116;
1.000256;1.000000;8.767164;0.898424;1.719463;
1.000512;1.000002;8.768928;0.898248;1.726111;
1.001024;1.000006;8.772476;0.897898;1.739217;
1.002048;1.000014;8.779637;0.897215;1.764702;
1.004096;1.000030;8.794200;0.895910;1.812965;
1.006144;1.000045;8.809050;0.894684;1.857861;
1.010240;1.000076;8.839397;0.892441;1.939123;
1.014336;1.000105;8.870423;0.890457;2.010338;
1.018432;1.000134;8.901896;0.888702;2.073174;
1.022528;1.000162;8.933623;0.887150;2.129015;
1.026624;1.000189;8.965454;0.885777;2.178977;
1.030720;1.000215;8.997271;0.884562;2.223952;
1.034816;1.000240;9.028986;0.883485;2.264652;
1.038912;1.000265;9.060536;0.882532;2.301648;
1.043008;1.000288;9.091877;0.881688;2.335404;
1.051200;1.000333;9.153810;0.880264;2.395007;
1.059392;1.000374;9.214721;0.879146;2.445371;
1.067584;1.000412;9.274610;0.878271;2.488110;
1.075776;1.000447;9.333532;0.877590;2.524506;
1.092160;1.000507;9.448906;0.876625;2.583011;
1.100000;1.000531;9.503098;0.876311;2.605311;
1.100000;1.000531;10.903187;0.953892;2.605311;
1.100001;1.000531;10.903188;0.953892;2.605287;
1.100002;1.000531;10.903189;0.953893;2.605264;
1.100004;1.000531;10.903191;0.953894;2.605217;
1.100008;1.000531;10.903195;0.953897;2.605124;
1.100016;1.000531;10.903204;0.953903;2.604937;
1.100032;1.000531;10.903221;0.953914;2.604564;
1.100064;1.000531;10.903255;0.953936;2.603819;
1.100128;1.000530;10.903322;0.953980;2.602330;
1.100256;1.000530;10.903455;0.954068;2.599365;
1.100512;1.000528;10.903715;0.954243;2.593478;
1.101024;1.000525;10.904207;0.954589;2.581878;
1.102048;1.000519;10.905087;0.955267;2.559346;
1.104096;1.000507;10.906463;0.956564;2.516764;
1.106144;1.000494;10.907366;0.957786;2.477259;
1.110240;1.000470;10.908005;0.960031;2.405995;
1.114336;1.000445;10.907305;0.962031;2.343808;
1.118432;1.000421;10.905543;0.963813;2.289130;
1.122528;1.000396;10.902955;0.965402;2.240663;
1.126624;1.000372;10.899731;0.966821;2.197368;
1.130720;1.000348;10.896019;0.968090;2.158424;
1.134816;1.000324;10.891935;0.969226;2.123176;
1.138912;1.000300;10.887565;0.970244;2.091105;
1.143008;1.000276;10.882972;0.971159;2.061794;
1.151200;1.000229;10.873313;0.972735;2.009848;
1.159392;1.000182;10.863068;0.974018;1.965667;
1.167584;1.000136;10.852272;0.975066;1.927860;
1.175776;1.000091;10.840877;0.975928;1.895337;
1.192160;1.000003;10.815732;0.977269;1.842177;
1.208544;0.999918;10.786747;0.978216;1.802177;
1.224928;0.999837;10.753101;0.978902;1.772062;
1.241312;0.999760;10.714169;0.979419;1.749326;
1.257696;0.999688;10.669601;0.979828;1.732077;
1.274080;0.999622;10.619330;0.980167;1.718894;
1.290464;0.999561;10.563546;0.980461;1.708714;
1.306848;0.999506;10.502654;0.980725;1.700744;
1.323232;0.999459;10.437227;0.980968;1.694397;
1.339616;0.999419;10.367970;0.981195;1.689242;
1.356000;0.999386;10.295682;0.981410;1.684965;
1.388768;0.999345;10.146705;0.981811;1.678039;
1.421536;0.999336;9.996668;0.982169;1.672746;
1.454304;0.999357;9.852367;0.982484;1.668522;
1.487072;0.999407;9.720295;0.982753;1.665052;
1.519840;0.999482;9.606202;0.982975;1.662182;
1.552608;0.999577;9.514782;0.983148;1.659840;
1.618144;0.999802;9.413072;0.983362;1.656576;
1.683680;1.000039;9.419145;0.983418;1.655030;
1.749216;1.000249;9.521682;0.983351;1.654900;
1.814752;1.000399;9.695286;0.983198;1.655828;
1.880288;1.000469;9.905328;0.983006;1.657395;
1.945824;1.000454;10.114162;0.982830;1.659122;
2.011360;1.000363;10.287398;0.982722;1.660506;
2.076896;1.000216;10.399145;0.982726;1.661095;
2.142432;1.000043;10.435533;0.982859;1.660585;
2.207968;0.999875;10.396105;0.983109;1.658911;
2.273504;0.999738;10.293009;0.983437;1.656258;
2.339040;0.999654;10.148188;0.983792;1.653017;
2.404576;0.999633;9.989047;0.984121;1.649669;
2.470112;0.999674;9.843416;0.984387;1.646666;
2.535648;0.999764;9.734729;0.984567;1.644341;
2.601184;0.999886;9.678341;0.984655;1.642871;
2.666720;1.000016;9.679561;0.984657;1.642280;
2.732256;1.000132;9.733600;0.984591;1.642469;
2.816962;1.000231;9.855928;0.984454;1.643487;
2.901668;1.000258;10.002146;0.984302;1.644914;
2.986375;1.000213;10.130817;0.984195;1.646170;
3.071081;1.000108;10.184295;0.984217;1.646395;
3.133218;1.000030;10.188588;0.984283;1.646048;
3.195355;0.999963;10.164362;0.984387;1.645280;
3.257492;0.999918;10.123078;0.984504;1.644273;
3.319629;0.999885;10.073724;0.984629;1.643154;
3.381766;0.999869;10.019143;0.984750;1.641975;
3.506040;0.999892;9.928387;0.984934;1.639971;
3.630314;0.999964;9.909848;0.984983;1.639151;
3.721694;1.000007;9.923106;0.984982;1.638973;
3.813074;1.000035;9.951337;0.984965;1.639036;
3.904455;1.000043;9.982832;0.984947;1.639174;
4.087215;1.000023;10.013265;0.984967;1.639050;
4.251700;1.000003;10.016145;0.985017;1.638630;
4.416184;0.999992;10.008242;0.985073;1.638101;
4.580668;0.999991;9.999664;0.985121;1.637611;
4.909637;0.999996;9.994797;0.985183;1.636954;
5.238606;0.999999;9.995833;0.985226;1.636500;
5.896544;0.999999;9.997112;0.985285;1.635887;
7.212420;1.000000;9.997178;0.985348;1.635242;
8.528295;1.000000;9.997162;0.985380;1.634912;
10.000000;1.000000;9.997168;0.985397;1.634733;
