time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488700;
0.000002;1.000000;10.104236;0.979158;1.488702;
0.000004;1.000000;10.104235;0.979158;1.488704;
0.000008;1.000000;10.104235;0.979157;1.488710;
0.000016;1.000000;10.104233;0.979156;1.488721;
0.000032;1.000000;10.104230;0.979153;1.488743;
0.000064;1.000000;10.104224;0.979147;1.488788;
0.000128;1.000000;10.104213;0.979135;1.488876;
0.000256;1.000000;10.104190;0.979111;1.489052;
0.000512;1.000000;10.104148;0.979064;1.489400;
0.001024;0.999999;10.104075;0.978971;1.490081;
0.002048;0.999999;10.103967;0.978790;1.491384;
0.004096;0.999997;10.103896;0.978442;1.493779;
0.008192;0.999994;10.104236;0.977805;1.497845;
0.016384;0.999989;10.106243;0.976724;1.503840;
0.024576;0.999983;10.109398;0.975863;1.507706;
0.032768;0.999977;10.113009;0.975174;1.510204;
0.040960;0.999971;10.116571;0.974619;1.511849;
0.049152;0.999964;10.119743;0.974167;1.512967;
0.057344;0.999958;10.122311;0.973796;1.513757;
0.073728;0.999945;10.125181;0.973211;1.514854;
0.090112;0.999932;10.124992;0.972788;1.515511;
0.122880;0.999907;10.116437;0.972179;1.516347;
0.155648;0.999885;10.098780;0.971776;1.516802;
0.188416;0.999868;10.074551;0.971466;1.517119;
0.221184;0.999856;10.046172;0.971197;1.517389;
0.286720;0.999851;9.987259;0.970698;1.517895;
0.367167;0.999887;9.933228;0.970138;1.518456;
0.447613;0.999936;9.908529;0.969577;1.519018;
0.528060;0.999983;9.909236;0.969026;1.519571;
0.688953;1.000051;9.943908;0.967977;1.520626;
0.825996;1.000068;9.995606;0.967170;1.521443;
0.963040;1.000049;10.036023;0.966477;1.522150;
1.000000;1.000042;10.042577;0.966309;1.522321;
1.000000;1.000042;8.762822;0.887748;1.522321;
1.000001;1.000042;8.762828;0.887747;1.522326;
1.000002;1.000042;8.762835;0.887747;1.522331;
1.000004;1.000042;8.762849;0.887745;1.522342;
1.000008;1.000042;8.762875;0.887743;1.522363;
1.000016;1.000042;8.762929;0.887737;1.522405;
1.000032;1.000042;8.763037;0.887725;1.522489;
1.000064;1.000042;8.763252;0.887703;1.522656;
1.000128;1.000043;8.763682;0.887657;1.522989;
1.000256;1.000044;8.764544;0.887567;1.523653;
1.000512;1.000046;8.766270;0.887386;1.524966;
1.001024;1.000050;8.769736;0.887030;1.527534;
1.002048;1.000057;8.776714;0.886331;1.532454;
1.004096;1.000073;8.790834;0.884994;1.541493;
1.008192;1.000104;8.819544;0.882534;1.556852;
1.012288;1.000134;8.848684;0.880338;1.569116;
1.016384;1.000164;8.878012;0.878374;1.578921;
