time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700001;1.000000;
0.000008;1.000000;0.700000;0.700001;1.000000;
0.000016;1.000000;0.700000;0.700003;1.000000;
0.000032;1.000000;0.700000;0.700005;1.000000;
0.000064;1.000000;0.700000;0.700010;1.000000;
0.000128;1.000000;0.700000;0.700020;1.000000;
0.000256;1.000000;0.700000;0.700041;1.000000;
0.000512;1.000000;0.700000;0.700082;1.000000;
0.001024;1.000000;0.700000;0.700164;1.000000;
0.001536;1.000000;0.700000;0.700246;1.000000;
0.002048;1.000000;0.700000;0.700328;1.000000;
0.002560;1.000000;0.700000;0.700410;1.000000;
0.003072;1.000000;0.700000;0.700492;1.000000;
0.003584;1.000000;0.700000;0.700573;1.000000;
0.004096;1.000000;0.700000;0.700655;1.000000;
0.004472;1.000000;0.700000;0.700716;1.000000;
0.004473;1.000000;0.700000;0.700716;1.000000;
0.004474;1.000000;0.700000;0.700716;1.000000;
0.004476;1.000000;0.700000;0.700716;1.000000;
0.004480;1.000000;0.700000;0.700717;1.000000;
0.004488;1.000000;0.700000;0.700718;1.000000;
0.004504;1.000000;0.700000;0.700721;1.000000;
0.004536;1.000000;0.700000;0.700726;1.000000;
0.004600;1.000000;0.700000;0.700736;1.000000;
0.004728;1.000000;0.700000;0.700757;1.000000;
0.004984;1.000000;0.700000;0.700798;1.000000;
0.005496;1.000000;0.700000;0.700879;1.000000;
0.006008;1.000000;0.700000;0.700961;1.000000;
0.006520;1.000000;0.700000;0.701043;1.000000;
0.007032;1.000000;0.700000;0.701125;1.000000;
0.007544;1.000000;0.700000;0.701207;1.000001;
0.008056;1.000000;0.700000;0.701289;1.000001;
0.008568;1.000000;0.700000;0.701371;1.000001;
0.009080;1.000000;0.700000;0.701453;1.000001;
0.009592;1.000000;0.700000;0.701535;1.000001;
0.010104;1.000000;0.700000;0.701617;1.000001;
0.010616;1.000000;0.700000;0.701699;1.000001;
0.011128;1.000000;0.700000;0.701781;1.000001;
0.011640;1.000000;0.700000;0.701863;1.000001;
0.012152;1.000000;0.700000;0.701945;1.000001;
0.012664;1.000000;0.700000;0.702027;1.000002;
0.013176;1.000000;0.700000;0.702109;1.000002;
0.013688;1.000000;0.700000;0.702191;1.000002;
0.014200;1.000000;0.700000;0.702273;1.000002;
0.014712;1.000000;0.700000;0.702355;1.000002;
0.015224;1.000000;0.700000;0.702437;1.000002;
0.015736;1.000000;0.700000;0.702519;1.000002;
0.016248;1.000000;0.700000;0.702601;1.000003;
0.016760;1.000000;0.700000;0.702683;1.000003;
0.017272;1.000000;0.700000;0.702765;1.000003;
0.017784;1.000000;0.700000;0.702847;1.000003;
0.018296;1.000000;0.700000;0.702929;1.000003;
0.019320;1.000000;0.700000;0.703093;1.000004;
0.020242;1.000000;0.700000;0.703240;1.000004;
0.021163;1.000000;0.700000;0.703388;1.000004;
0.022085;1.000000;0.700000;0.703536;1.000005;
0.023006;1.000000;0.700000;0.703683;1.000005;
0.023928;1.000000;0.700000;0.703831;1.000006;
0.024850;1.000000;0.700000;0.703978;1.000006;
0.025771;1.000000;0.700000;0.704126;1.000007;
0.026693;1.000000;0.700000;0.704274;1.000007;
0.027614;1.000000;0.700000;0.704421;1.000008;
0.028536;1.000000;0.700000;0.704569;1.000008;
0.029458;1.000000;0.700000;0.704717;1.000009;
0.030379;1.000000;0.700000;0.704864;1.000009;
0.031301;1.000000;0.700000;0.705012;1.000010;
0.032222;1.000000;0.700000;0.705160;1.000010;
0.033144;1.000000;0.700000;0.705307;1.000011;
0.034066;1.000000;0.700000;0.705455;1.000012;
0.034987;1.000000;0.700000;0.705603;1.000012;
0.035909;1.000000;0.700000;0.705751;1.000013;
0.036830;1.000000;0.700000;0.705898;1.000014;
0.037752;1.000000;0.700000;0.706046;1.000014;
0.038674;1.000000;0.700000;0.706194;1.000015;
0.039595;1.000000;0.700000;0.706342;1.000016;
0.040517;1.000000;0.700000;0.706489;1.000016;
0.041438;1.000000;0.700000;0.706637;1.000017;
0.042360;1.000000;0.700000;0.706785;1.000018;
0.043282;1.000000;0.700000;0.706933;1.000019;
0.044203;1.000000;0.700000;0.707080;1.000020;
0.045125;1.000000;0.700000;0.707228;1.000020;
0.046046;1.000000;0.700000;0.707376;1.000021;
0.046968;1.000000;0.700000;0.707524;1.000022;
0.047890;1.000000;0.700000;0.707671;1.000023;
0.048811;1.000000;0.700000;0.707819;1.000024;
0.049733;1.000000;0.700000;0.707967;1.000025;
0.050654;1.000000;0.700000;0.708115;1.000026;
0.051576;1.000000;0.700000;0.708263;1.000027;
0.052498;1.000000;0.700000;0.708411;1.000028;
0.053419;1.000000;0.700000;0.708558;1.000029;
0.054341;1.000000;0.700000;0.708706;1.000030;
0.055262;1.000000;0.700000;0.708854;1.000031;
0.056184;1.000000;0.700000;0.709002;1.000032;
0.057106;1.000000;0.700000;0.709150;1.000033;
0.058027;1.000000;0.700000;0.709298;1.000034;
0.058949;1.000000;0.700000;0.709446;1.000035;
0.059870;1.000000;0.700000;0.709594;1.000036;
0.060792;1.000000;0.700000;0.709741;1.000037;
0.061714;1.000000;0.700000;0.709889;1.000038;
0.062635;1.000000;0.700000;0.710037;1.000039;
0.063557;1.000000;0.700000;0.710185;1.000040;
0.064478;1.000000;0.700000;0.710333;1.000042;
0.065400;1.000000;0.700000;0.710481;1.000043;
0.066322;1.000000;0.700000;0.710629;1.000044;
0.067243;1.000000;0.700000;0.710777;1.000045;
0.068165;1.000000;0.700000;0.710925;1.000046;
0.069086;1.000000;0.700000;0.711073;1.000048;
0.070008;1.000000;0.700000;0.711221;1.000049;
0.070930;1.000000;0.700000;0.711369;1.000050;
0.071851;1.000000;0.700000;0.711517;1.000052;
0.072773;1.000000;0.700000;0.711665;1.000053;
0.073694;1.000000;0.700000;0.711813;1.000054;
0.074616;1.000000;0.700000;0.711961;1.000056;
0.075538;1.000000;0.700000;0.712109;1.000057;
0.077381;1.000000;0.700000;0.712405;1.000060;
0.079040;1.000000;0.700000;0.712671;1.000062;
0.080699;1.000000;0.700000;0.712938;1.000065;
0.082358;1.000000;0.700000;0.713204;1.000068;
0.084016;1.000000;0.700000;0.713471;1.000071;
0.085675;1.000000;0.700000;0.713737;1.000073;
0.087334;1.000000;0.700000;0.714004;1.000076;
0.088993;1.000000;0.700000;0.714270;1.000079;
0.090652;1.000000;0.700000;0.714537;1.000082;
0.092311;1.000000;0.700000;0.714804;1.000085;
0.093970;1.000000;0.700000;0.715070;1.000088;
0.095629;1.000000;0.700000;0.715337;1.000091;
0.097287;1.000000;0.700000;0.715604;1.000095;
0.098946;1.000000;0.700000;0.715870;1.000098;
0.100605;1.000000;0.700000;0.716137;1.000101;
0.102264;1.000000;0.700000;0.716404;1.000105;
0.103923;1.000000;0.700000;0.716671;1.000108;
0.105582;1.000000;0.700000;0.716937;1.000112;
0.107241;1.000000;0.700000;0.717204;1.000115;
0.108900;1.000000;0.700000;0.717471;1.000119;
0.110558;1.000000;0.700000;0.717738;1.000122;
0.112217;1.000000;0.700000;0.718005;1.000126;
0.113876;1.000000;0.700000;0.718272;1.000130;
0.115535;1.000000;0.700000;0.718539;1.000134;
0.117194;1.000000;0.700000;0.718806;1.000137;
0.118853;1.000000;0.700000;0.719073;1.000141;
0.120512;1.000000;0.700000;0.719340;1.000145;
0.122171;1.000000;0.700000;0.719607;1.000149;
0.123830;1.000000;0.700000;0.719874;1.000153;
0.125488;1.000000;0.700000;0.720141;1.000158;
0.127147;1.000000;0.700000;0.720408;1.000162;
0.128806;1.000000;0.700000;0.720675;1.000166;
0.130465;1.000000;0.700000;0.720942;1.000170;
0.132124;1.000000;0.700000;0.721209;1.000175;
0.133783;1.000000;0.700000;0.721476;1.000179;
0.135442;1.000000;0.700000;0.721743;1.000184;
0.137101;1.000000;0.700000;0.722011;1.000188;
0.138759;1.000000;0.700000;0.722278;1.000193;
0.140418;1.000000;0.700000;0.722545;1.000197;
0.142077;1.000000;0.700000;0.722812;1.000202;
0.143736;1.000000;0.700000;0.723080;1.000207;
0.145395;1.000000;0.700000;0.723347;1.000212;
0.147054;1.000000;0.700000;0.723614;1.000216;
0.148713;1.000000;0.700000;0.723882;1.000221;
0.150372;1.000000;0.700000;0.724149;1.000226;
0.152030;1.000000;0.700000;0.724416;1.000231;
0.153689;1.000000;0.700000;0.724684;1.000236;
0.155348;1.000000;0.700000;0.724951;1.000241;
0.158666;1.000000;0.700000;0.725486;1.000252;
0.161652;1.000000;0.700000;0.725968;1.000261;
0.164638;1.000000;0.700000;0.726449;1.000271;
0.167624;1.000000;0.700000;0.726931;1.000281;
0.170610;1.000000;0.700000;0.727413;1.000291;
0.173596;1.000000;0.700000;0.727895;1.000302;
0.176582;1.000000;0.700000;0.728376;1.000312;
0.179568;1.000000;0.700000;0.728858;1.000323;
0.182554;1.000000;0.700000;0.729340;1.000334;
0.185540;1.000000;0.700000;0.729822;1.000345;
0.188526;1.000000;0.700000;0.730305;1.000356;
0.191512;1.000000;0.700000;0.730787;1.000367;
0.194498;1.000000;0.700000;0.731269;1.000379;
0.197484;1.000000;0.700000;0.731751;1.000390;
0.200470;1.000000;0.700000;0.732234;1.000402;
0.203456;1.000000;0.700000;0.732716;1.000414;
0.206442;1.000000;0.700000;0.733199;1.000427;
0.209428;1.000000;0.700000;0.733681;1.000439;
0.212414;1.000000;0.700000;0.734164;1.000452;
0.215400;1.000000;0.700000;0.734647;1.000464;
0.218386;1.000000;0.700000;0.735130;1.000477;
0.221372;1.000000;0.700000;0.735613;1.000490;
0.224358;1.000000;0.700000;0.736096;1.000504;
0.227344;1.000000;0.700000;0.736579;1.000517;
0.230330;1.000000;0.700000;0.737062;1.000531;
0.233316;1.000000;0.700000;0.737545;1.000545;
0.236302;1.000000;0.700000;0.738028;1.000559;
0.239288;1.000000;0.700000;0.738511;1.000573;
0.242274;1.000000;0.700000;0.738995;1.000588;
0.245260;1.000000;0.700000;0.739478;1.000602;
0.251232;1.000000;0.700000;0.740445;1.000632;
0.256606;1.000000;0.700000;0.741316;1.000659;
0.261981;1.000000;0.700000;0.742187;1.000687;
0.267356;1.000000;0.700000;0.743058;1.000716;
0.272731;1.000000;0.700000;0.743929;1.000745;
0.278105;1.000000;0.700000;0.744801;1.000774;
0.283480;1.000000;0.700000;0.745672;1.000805;
0.288855;1.000000;0.700000;0.746544;1.000835;
0.294230;1.000000;0.700000;0.747416;1.000867;
0.299604;1.000000;0.700000;0.748289;1.000899;
0.304979;1.000000;0.700000;0.749161;1.000931;
0.310354;1.000000;0.700000;0.750034;1.000964;
0.315729;1.000000;0.700000;0.750907;1.000998;
0.321104;1.000000;0.700000;0.751780;1.001032;
0.326478;1.000000;0.700000;0.752654;1.001067;
0.331853;1.000000;0.700000;0.753527;1.001103;
0.337228;1.000000;0.700000;0.754401;1.001139;
0.342603;1.000000;0.700000;0.755275;1.001175;
0.353352;1.000000;0.700000;0.757024;1.001250;
0.363027;1.000000;0.700000;0.758599;1.001320;
0.372701;1.000000;0.700000;0.760174;1.001391;
0.382376;1.000000;0.700000;0.761750;1.001464;
0.392051;1.000000;0.700000;0.763327;1.001539;
0.401725;1.000000;0.700000;0.764905;1.001616;
0.411400;1.000000;0.700000;0.766483;1.001695;
0.421074;1.000000;0.700000;0.768062;1.001776;
0.430749;1.000000;0.700000;0.769641;1.001858;
0.440423;1.000000;0.700000;0.771221;1.001943;
0.450098;1.000001;0.700000;0.772802;1.002029;
0.459773;1.000001;0.700000;0.774384;1.002118;
0.469447;1.000001;0.700000;0.775966;1.002208;
0.479122;1.000001;0.700000;0.777549;1.002300;
0.488796;1.000001;0.700000;0.779133;1.002394;
