time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.699998;1.000000;
0.001024;1.000000;0.700000;0.699992;1.000000;
0.002048;1.000000;0.700000;0.699969;1.000000;
0.004096;1.000000;0.700000;0.699877;1.000000;
0.008192;1.000000;0.700000;0.699517;1.000000;
0.016384;1.000000;0.700000;0.698142;0.999998;
0.032768;1.000000;0.700000;0.693117;0.999989;
0.049152;1.000000;0.700000;0.685462;0.999966;
0.065536;1.000000;0.700000;0.675680;0.999925;
0.081920;1.000000;0.700000;0.664219;0.999862;
0.098304;1.000000;0.700000;0.651460;0.999775;
0.114688;1.000000;0.700000;0.637727;0.999661;
0.131072;1.000001;0.700000;0.623288;0.999519;
0.147456;1.000001;0.700000;0.608368;0.999347;
0.163840;1.000002;0.700000;0.593150;0.999144;
0.196608;1.000000;0.700000;0.562544;0.998644;
0.226099;1.000000;0.700000;0.535185;0.998089;
0.255590;1.000048;0.700000;0.508483;0.997435;
0.285082;1.000081;0.700000;0.482730;0.996686;
0.314573;1.000115;0.700000;0.458122;0.995845;
0.344064;1.000161;0.700001;0.434779;0.994917;
0.373555;1.000202;0.700001;0.412760;0.993906;
0.403046;1.000224;0.700002;0.392079;0.992818;
0.432538;1.000223;0.700003;0.372723;0.991657;
0.462029;1.000165;0.700005;0.354657;0.990429;
0.491520;0.999977;0.700008;0.337833;0.989137;
0.521011;0.999596;0.700011;0.322195;0.987787;
0.550502;0.999015;0.700016;0.307681;0.986383;
0.579994;1.000000;0.700000;0.294232;0.984928;
0.609485;1.000991;0.700064;0.281783;0.983427;
0.638976;0.998512;0.700017;0.270270;0.981883;
0.668467;0.994900;0.700014;0.259633;0.980300;
0.697958;0.999048;0.700019;0.249814;0.978681;
0.727450;1.013720;0.700271;0.240759;0.977028;
0.756941;1.002951;0.703046;0.232420;0.975337;
0.786432;1.000000;0.700000;0.224740;0.973624;
0.845414;0.999999;0.700005;0.211134;0.970127;
0.898499;0.999999;0.700002;0.200727;0.966909;
0.951583;1.000000;0.700000;0.191845;0.963632;
1.000000;0.995309;0.700000;0.184910;0.960600;
1.000000;1.005563;0.728038;0.184910;0.960600;
1.000001;1.005562;0.728032;0.184910;0.960600;
1.000002;1.005562;0.728032;0.184910;0.960600;
1.000004;1.005562;0.728032;0.184909;0.960600;
1.000008;1.005562;0.728032;0.184909;0.960600;
1.000016;1.005562;0.728032;0.184908;0.960599;
1.000032;1.005562;0.728032;0.184906;0.960598;
1.000064;1.005562;0.728031;0.184902;0.960596;
1.000128;1.005561;0.728030;0.184893;0.960592;
1.000256;1.005560;0.728029;0.184877;0.960583;
1.000512;1.005558;0.728026;0.184844;0.960566;
1.001024;1.005554;0.728020;0.184777;0.960532;
1.002048;1.005546;0.728008;0.184645;0.960464;
1.004096;1.005530;0.727985;0.184382;0.960327;
1.008192;1.005497;0.727938;0.183862;0.960054;
1.016384;1.005433;0.727845;0.182841;0.959506;
1.032768;1.005304;0.727658;0.180877;0.958408;
1.065536;1.005049;0.727289;0.177247;0.956204;
1.131072;1.004546;0.726575;0.171054;0.951767;
1.196608;1.004050;0.725860;0.166139;0.947299;
1.212992;1.003934;0.725675;0.165101;0.946177;
1.245760;1.003693;0.725328;0.163212;0.943930;
1.311296;1.003223;0.724645;0.160115;0.939427;
1.327680;1.003102;0.724474;0.159479;0.938299;
1.360448;1.002871;0.724140;0.158350;0.936041;
1.376832;1.002755;0.723974;0.157855;0.934912;
1.409600;1.002528;0.723644;0.156989;0.932654;
1.425984;1.002413;0.723481;0.156617;0.931524;
1.458752;1.002190;0.723157;0.155982;0.929265;
1.475136;1.002077;0.722996;0.155719;0.928136;
1.507904;1.001858;0.722678;0.155288;0.925878;
1.524288;1.001748;0.722520;0.155120;0.924749;
1.557056;1.001531;0.722206;0.154869;0.922494;
1.573440;1.001423;0.722051;0.154785;0.921367;
1.606208;1.001209;0.721743;0.154692;0.919114;
1.622592;1.001103;0.721589;0.154683;0.917989;
1.655360;1.000893;0.721287;0.154729;0.915740;
1.671744;1.000788;0.721135;0.154785;0.914617;
1.704512;1.000581;0.720840;0.154954;0.912373;
1.720896;1.000478;0.720689;0.155066;0.911252;
1.753664;1.000275;0.720401;0.155343;0.909013;
1.770048;1.000173;0.720250;0.155506;0.907895;
1.802816;0.999973;0.719972;0.155878;0.905662;
1.819200;0.999873;0.719818;0.156086;0.904546;
1.851968;0.999676;0.719553;0.156540;0.902319;
1.868352;0.999578;0.719392;0.156787;0.901207;
1.901120;0.999384;0.719147;0.157315;0.898987;
1.917504;0.999287;0.718974;0.157596;0.897878;
1.950272;0.999096;0.718699;0.158187;0.895664;
1.966656;0.999001;0.718563;0.158498;0.894559;
1.999424;0.998814;0.718292;0.159146;0.892353;
2.015808;0.998720;0.718158;0.159483;0.891251;
2.048576;0.998535;0.717892;0.160180;0.889052;
2.064960;0.998443;0.717760;0.160540;0.887954;
2.097728;0.998261;0.717498;0.161280;0.885762;
2.114112;0.998171;0.717368;0.161660;0.884668;
2.146880;0.997992;0.717110;0.162437;0.882484;
2.163264;0.997903;0.716983;0.162834;0.881394;
2.196032;0.997726;0.716729;0.163644;0.879217;
2.212416;0.997639;0.716604;0.164057;0.878131;
2.245184;0.997464;0.716354;0.164895;0.875962;
2.261568;0.997379;0.716231;0.165321;0.874879;
2.294336;0.997205;0.715985;0.166184;0.872718;
2.310720;0.997123;0.715864;0.166621;0.871640;
2.343488;0.996948;0.715623;0.167505;0.869487;
2.359872;0.996872;0.715504;0.167952;0.868412;
2.368064;0.996830;0.715443;0.168177;0.867875;
2.384448;0.996748;0.715324;0.168628;0.866803;
2.417216;0.996585;0.715089;0.169539;0.864661;
2.433600;0.996502;0.714974;0.169998;0.863593;
2.441792;0.996462;0.714914;0.170229;0.863059;
2.458176;0.996381;0.714798;0.170691;0.861992;
2.490944;0.996222;0.714569;0.171623;0.859863;
2.507328;0.996141;0.714458;0.172092;0.858800;
2.515520;0.996102;0.714398;0.172327;0.858269;
2.531904;0.996023;0.714285;0.172799;0.857208;
2.564672;0.995864;0.714063;0.173748;0.855090;
2.581056;0.995789;0.713955;0.174224;0.854033;
2.589248;0.995751;0.713894;0.174463;0.853505;
2.605632;0.995674;0.713783;0.174942;0.852450;
2.613824;0.995635;0.713728;0.175182;0.851923;
2.630208;0.995559;0.713619;0.175662;0.850870;
2.638400;0.995521;0.713565;0.175903;0.850344;
2.654784;0.995445;0.713456;0.176385;0.849293;
2.662976;0.995408;0.713402;0.176627;0.848768;
2.679360;0.995332;0.713294;0.177111;0.847718;
2.687552;0.995295;0.713241;0.177354;0.847194;
2.703936;0.995221;0.713134;0.177839;0.846147;
2.712128;0.995183;0.713081;0.178082;0.845624;
2.728512;0.995110;0.712975;0.178569;0.844578;
2.736704;0.995073;0.712922;0.178813;0.844056;
2.753088;0.994999;0.712817;0.179301;0.843012;
2.761280;0.994963;0.712765;0.179545;0.842491;
2.777664;0.994890;0.712661;0.180034;0.841449;
2.785856;0.994854;0.712609;0.180279;0.840929;
2.802240;0.994782;0.712505;0.180769;0.839889;
2.810432;0.994746;0.712454;0.181014;0.839369;
2.826816;0.994674;0.712352;0.181505;0.838331;
2.835008;0.994639;0.712300;0.181751;0.837813;
2.851392;0.994568;0.712199;0.182243;0.836777;
2.859584;0.994532;0.712148;0.182489;0.836259;
2.875968;0.994462;0.712047;0.182981;0.835225;
2.884160;0.994427;0.711997;0.183227;0.834708;
2.900544;0.994357;0.711897;0.183720;0.833675;
2.908736;0.994322;0.711847;0.183967;0.833159;
2.925120;0.994253;0.711748;0.184460;0.832129;
2.933312;0.994218;0.711699;0.184707;0.831614;
2.949696;0.994150;0.711600;0.185201;0.830585;
2.957888;0.994115;0.711551;0.185448;0.830071;
2.974272;0.994047;0.711454;0.185942;0.829044;
2.982464;0.994013;0.711405;0.186189;0.828530;
2.998848;0.993946;0.711308;0.186684;0.827505;
3.007040;0.993912;0.711260;0.186931;0.826993;
3.023424;0.993845;0.711164;0.187426;0.825969;
3.031616;0.993811;0.711116;0.187673;0.825458;
3.048000;0.993745;0.711021;0.188168;0.824436;
3.056192;0.993712;0.710973;0.188415;0.823925;
3.072576;0.993646;0.710879;0.188910;0.822905;
3.080768;0.993613;0.710832;0.189158;0.822395;
3.097152;0.993547;0.710738;0.189653;0.821377;
3.105344;0.993515;0.710691;0.189900;0.820868;
3.121728;0.993450;0.710599;0.190395;0.819851;
3.129920;0.993417;0.710552;0.190643;0.819343;
3.146304;0.993353;0.710460;0.191138;0.818328;
3.154496;0.993321;0.710414;0.191385;0.817821;
3.170880;0.993257;0.710323;0.191880;0.816808;
3.179072;0.993225;0.710277;0.192127;0.816301;
3.195456;0.993161;0.710187;0.192622;0.815290;
3.203648;0.993130;0.710141;0.192869;0.814784;
3.220032;0.993067;0.710052;0.193364;0.813774;
3.228224;0.993035;0.710006;0.193611;0.813269;
3.244608;0.992973;0.709918;0.194105;0.812261;
3.252800;0.992942;0.709872;0.194353;0.811757;
3.269184;0.992880;0.709785;0.194847;0.810750;
3.277376;0.992849;0.709740;0.195094;0.810247;
3.293760;0.992788;0.709653;0.195588;0.809242;
3.301952;0.992757;0.709608;0.195835;0.808740;
3.318336;0.992696;0.709523;0.196328;0.807736;
3.326528;0.992666;0.709478;0.196575;0.807235;
3.342912;0.992606;0.709393;0.197068;0.806233;
3.351104;0.992575;0.709348;0.197315;0.805732;
3.367488;0.992515;0.709264;0.197808;0.804731;
3.375680;0.992485;0.709220;0.198054;0.804232;
3.392064;0.992426;0.709137;0.198547;0.803233;
3.400256;0.992396;0.709092;0.198793;0.802733;
3.416640;0.992337;0.709011;0.199286;0.801736;
3.424832;0.992308;0.708966;0.199532;0.801238;
3.441216;0.992250;0.708885;0.200024;0.800242;
3.449408;0.992220;0.708841;0.200269;0.799744;
3.465792;0.992162;0.708761;0.200761;0.798750;
3.473984;0.992133;0.708716;0.201007;0.798253;
3.490368;0.992076;0.708638;0.201498;0.797260;
3.498560;0.992047;0.708593;0.201743;0.796764;
3.514944;0.991990;0.708516;0.202234;0.795772;
3.523136;0.991961;0.708471;0.202479;0.795277;
3.539520;0.991905;0.708395;0.202969;0.794287;
3.547712;0.991876;0.708350;0.203215;0.793792;
3.564096;0.991820;0.708275;0.203704;0.792804;
3.572288;0.991792;0.708229;0.203949;0.792310;
3.588672;0.991737;0.708156;0.204439;0.791322;
3.596864;0.991709;0.708110;0.204683;0.790829;
3.613248;0.991653;0.708038;0.205172;0.789843;
3.621440;0.991626;0.707991;0.205417;0.789351;
3.637824;0.991571;0.707921;0.205905;0.788367;
3.646016;0.991543;0.707874;0.206149;0.787875;
3.662400;0.991489;0.707805;0.206637;0.786892;
3.670592;0.991462;0.707758;0.206881;0.786401;
3.686976;0.991408;0.707690;0.207369;0.785419;
3.695168;0.991381;0.707642;0.207612;0.784929;
3.711552;0.991328;0.707576;0.208099;0.783948;
3.719744;0.991301;0.707527;0.208343;0.783458;
3.736128;0.991248;0.707464;0.208829;0.782480;
3.744320;0.991221;0.707414;0.209072;0.781990;
3.760704;0.991169;0.707352;0.209559;0.781013;
3.768896;0.991142;0.707301;0.209801;0.780524;
3.785280;0.991090;0.707242;0.210287;0.779548;
3.793472;0.991064;0.707189;0.210530;0.779060;
3.809856;0.991012;0.707132;0.211015;0.778085;
