time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.024576;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.040960;1.000000;0.700000;0.700000;1.000000;
0.049152;1.000000;0.700000;0.700000;1.000000;
0.057344;1.000000;0.700000;0.700001;1.000000;
0.065536;1.000000;0.700000;0.700001;1.000000;
0.073728;1.000000;0.700000;0.700002;1.000000;
0.081920;1.000000;0.700000;0.700004;1.000000;
0.090112;1.000000;0.700000;0.700007;1.000000;
0.098304;1.000000;0.700000;0.700011;1.000000;
0.114688;1.000000;0.700000;0.700025;1.000000;
0.129434;1.000000;0.700000;0.700046;1.000000;
0.144179;1.000000;0.700000;0.700080;1.000000;
0.158925;1.000000;0.700000;0.700130;1.000000;
0.173670;1.000000;0.700000;0.700203;1.000001;
0.188416;1.000000;0.700000;0.700302;1.000001;
0.203162;1.000000;0.700000;0.700435;1.000002;
0.217907;1.000000;0.700000;0.700608;1.000003;
0.232653;1.000000;0.700000;0.700828;1.000004;
0.247398;1.000000;0.700000;0.701104;1.000006;
0.262144;1.000000;0.700000;0.701443;1.000008;
0.291635;1.000000;0.700000;0.702354;1.000016;
0.318177;1.000000;0.700000;0.703476;1.000026;
0.344719;1.000000;0.700000;0.704938;1.000040;
0.371261;1.000000;0.700000;0.706785;1.000060;
0.397804;1.000000;0.700000;0.709064;1.000086;
0.424346;1.000000;0.700000;0.711819;1.000121;
0.450888;1.000000;0.700000;0.715091;1.000166;
0.477430;1.000001;0.700000;0.718915;1.000223;
0.530514;1.000000;0.700000;0.728373;1.000382;
0.583598;1.000007;0.700000;0.740353;1.000613;
0.636682;1.000029;0.700000;0.754966;1.000931;
0.689766;1.000066;0.700000;0.772257;1.001356;
0.742851;1.000130;0.700000;0.792208;1.001902;
0.795935;1.000232;0.700001;0.814743;1.002589;
0.816027;1.000089;0.700000;0.823917;1.002889;
0.816027;0.999998;0.700000;0.823917;1.002889;
0.816028;1.000000;0.700000;0.823918;1.002889;
0.816029;1.000000;0.700000;0.823918;1.002889;
0.816031;1.000000;0.700000;0.823919;1.002889;
0.816035;1.000000;0.700000;0.823921;1.002889;
0.816043;1.000000;0.700000;0.823925;1.002889;
0.816059;1.000000;0.700000;0.823932;1.002889;
0.816091;1.000000;0.700000;0.823947;1.002890;
0.816155;1.000000;0.700000;0.823977;1.002891;
0.816283;1.000000;0.700000;0.824036;1.002893;
0.816539;1.000000;0.700000;0.824156;1.002897;
0.817051;1.000000;0.700000;0.824395;1.002905;
0.818075;1.000000;0.700000;0.824874;1.002920;
0.820123;1.000000;0.700000;0.825833;1.002952;
0.824219;1.000000;0.700000;0.827757;1.003017;
0.832411;1.000000;0.700000;0.831610;1.003149;
0.848795;1.000000;0.700000;0.839232;1.003424;
0.865179;1.000001;0.700000;0.846642;1.003714;
0.881563;1.000003;0.700000;0.853741;1.004019;
0.897947;1.000004;0.700000;0.860469;1.004338;
0.914331;1.000005;0.700000;0.866793;1.004670;
0.930715;1.000005;0.700000;0.872707;1.005015;
0.963483;1.000000;0.700000;0.883360;1.005736;
0.996251;1.000018;0.700000;0.892554;1.006497;
1.000000;0.999988;0.700000;0.893523;1.006586;
1.000000;1.005562;0.728032;0.893523;1.006586;
1.000001;1.005562;0.728032;0.893523;1.006586;
1.000002;1.005562;0.728032;0.893523;1.006587;
1.000004;1.005562;0.728032;0.893524;1.006587;
1.000008;1.005562;0.728032;0.893525;1.006587;
1.000016;1.005562;0.728032;0.893527;1.006587;
1.000032;1.005562;0.728032;0.893531;1.006587;
1.000064;1.005562;0.728031;0.893539;1.006588;
1.000128;1.005561;0.728030;0.893555;1.006589;
1.000256;1.005560;0.728029;0.893588;1.006592;
1.000512;1.005558;0.728026;0.893653;1.006597;
1.001024;1.005554;0.728020;0.893782;1.006607;
1.002048;1.005546;0.728008;0.894040;1.006628;
1.004096;1.005530;0.727985;0.894552;1.006671;
1.008192;1.005497;0.727938;0.895562;1.006755;
1.016384;1.005433;0.727845;0.897524;1.006926;
1.032768;1.005304;0.727658;0.901230;1.007273;
1.065536;1.005049;0.727289;0.907860;1.007989;
1.098304;1.004796;0.726923;0.913551;1.008731;
1.163840;1.004299;0.726204;0.922764;1.010274;
1.222822;1.003756;0.725575;0.928981;1.011722;
1.281805;1.003431;0.724949;0.933738;1.013212;
1.340787;1.002675;0.724098;0.937407;1.014737;
1.399769;1.002597;0.723743;0.940271;1.016286;
1.458752;1.002190;0.723157;0.942539;1.017856;
1.517734;1.001794;0.722582;0.944366;1.019441;
1.576717;1.001403;0.722019;0.945867;1.021040;
1.635699;1.001022;0.721467;0.947126;1.022649;
1.694681;1.000650;0.720926;0.948205;1.024267;
1.812646;0.999910;0.719871;0.950030;1.027524;
1.842137;0.999737;0.719618;0.950419;1.028343;
1.901120;0.999383;0.719112;0.951152;1.029984;
1.960102;0.999039;0.718617;0.951835;1.031630;
1.989593;0.998870;0.718372;0.952160;1.032455;
2.048576;0.998534;0.717891;0.952790;1.034108;
2.078067;0.998371;0.717654;0.953094;1.034936;
2.137049;0.998044;0.717187;0.953687;1.036595;
2.166541;0.997887;0.716956;0.953976;1.037425;
2.225523;0.997568;0.716503;0.954544;1.039089;
2.255014;0.997417;0.716279;0.954822;1.039922;
2.313997;0.997106;0.715840;0.955369;1.041591;
2.343488;0.996955;0.715622;0.955638;1.042426;
2.402470;0.996657;0.715198;0.956169;1.044099;
2.431961;0.996510;0.714983;0.956431;1.044937;
2.490944;0.996220;0.714578;0.956949;1.046613;
2.520435;0.996078;0.714363;0.957205;1.047452;
2.579417;0.995796;0.713983;0.957712;1.049133;
2.608909;0.995658;0.713761;0.957962;1.049974;
2.667891;0.995384;0.713369;0.958458;1.051657;
2.697382;0.995250;0.713176;0.958703;1.052499;
2.756365;0.994983;0.712795;0.959189;1.054186;
2.785856;0.994853;0.712608;0.959430;1.055030;
2.844838;0.994594;0.712238;0.959907;1.056718;
2.874329;0.994468;0.712056;0.960143;1.057563;
2.933312;0.994215;0.711697;0.960611;1.059255;
2.962803;0.994094;0.711521;0.960843;1.060101;
3.021785;0.993846;0.711172;0.961303;1.061794;
3.051277;0.993731;0.711001;0.961531;1.062641;
3.110259;0.993489;0.710662;0.961982;1.064335;
3.139750;0.993378;0.710497;0.962206;1.065183;
3.154496;0.993321;0.710413;0.962317;1.065607;
3.183987;0.993205;0.710248;0.962539;1.066455;
3.242969;0.992971;0.709925;0.962978;1.068152;
3.272461;0.992867;0.709768;0.963196;1.069001;
3.287206;0.992812;0.709686;0.963304;1.069425;
3.316697;0.992702;0.709529;0.963520;1.070274;
3.331443;0.992648;0.709451;0.963628;1.070699;
3.360934;0.992539;0.709296;0.963842;1.071548;
3.375680;0.992485;0.709219;0.963948;1.071972;
3.405171;0.992378;0.709066;0.964160;1.072822;
3.419917;0.992326;0.708990;0.964266;1.073246;
3.449408;0.992220;0.708840;0.964476;1.074096;
3.464153;0.992168;0.708765;0.964581;1.074521;
3.493645;0.992063;0.708617;0.964789;1.075370;
3.508390;0.992013;0.708543;0.964893;1.075795;
3.537881;0.991910;0.708397;0.965099;1.076645;
3.552627;0.991860;0.708324;0.965202;1.077069;
3.582118;0.991758;0.708180;0.965407;1.077919;
3.596864;0.991708;0.708109;0.965508;1.078344;
3.598119;0.991739;0.708103;0.965517;1.078380;
3.598119;0.991704;0.708103;0.965517;1.078380;
3.598120;0.991704;0.708103;0.965517;1.078380;
3.598121;0.991704;0.708103;0.965517;1.078380;
3.598123;0.991704;0.708103;0.965517;1.078380;
3.598127;0.991704;0.708103;0.965517;1.078380;
3.598135;0.991704;0.708103;0.965517;1.078381;
3.598151;0.991704;0.708103;0.965517;1.078381;
3.598183;0.991703;0.708103;0.965518;1.078382;
3.598247;0.991703;0.708102;0.965518;1.078384;
3.598375;0.991703;0.708102;0.965519;1.078388;
3.598631;0.991702;0.708100;0.965521;1.078395;
3.599143;0.991700;0.708098;0.965524;1.078410;
3.600167;0.991697;0.708093;0.965531;1.078439;
3.602215;0.991690;0.708083;0.965544;1.078498;
3.606311;0.991676;0.708063;0.965563;1.078616;
3.614503;0.991648;0.708024;0.965554;1.078852;
3.622695;0.990352;0.707983;0.965459;1.079088;
3.639079;0.991566;0.707906;0.964878;1.079559;
3.655463;0.991512;0.707828;0.963693;1.080027;
3.671847;0.991458;0.707751;0.961819;1.080493;
3.688231;0.991404;0.707674;0.959210;1.080953;
3.704615;0.991350;0.707597;0.955854;1.081407;
3.720999;0.991297;0.707521;0.951759;1.081853;
3.753767;0.991190;0.707370;0.941496;1.082714;
3.786535;0.991085;0.707224;0.928649;1.083526;
3.819303;0.990980;0.707084;0.913477;1.084281;
3.852071;0.990877;0.706939;0.896238;1.084968;
3.884839;0.990775;0.706796;0.877170;1.085581;
3.917607;0.990674;0.706654;0.856483;1.086112;
3.950375;0.990574;0.706514;0.834362;1.086556;
3.983143;0.990479;0.706358;0.810964;1.086906;
4.015911;0.990378;0.706237;0.786426;1.087159;
4.048679;0.990285;0.706082;0.760864;1.087309;
4.081447;0.990186;0.705965;0.734379;1.087353;
4.114215;0.990096;0.705812;0.707059;1.087287;
4.146983;0.990003;0.705679;0.678983;1.087109;
4.179751;0.989906;0.705565;0.650217;1.086815;
4.212519;0.989819;0.705418;0.620824;1.086404;
4.245287;0.989725;0.705303;0.590860;1.085872;
4.278055;0.989640;0.705162;0.560378;1.085218;
4.310823;0.989547;0.705046;0.529427;1.084439;
4.343591;0.989460;0.704919;0.498053;1.083535;
4.376359;0.989374;0.704793;0.466304;1.082504;
4.409127;0.989289;0.704669;0.434226;1.081345;
4.441895;0.989204;0.704547;0.401864;1.080056;
4.474663;0.989121;0.704426;0.369265;1.078636;
4.507431;0.989039;0.704307;0.336477;1.077086;
4.527476;0.980905;0.704235;0.316351;1.076072;
4.527476;0.988990;0.704214;0.316351;1.076072;
4.527477;0.988990;0.704233;0.316350;1.076072;
4.527478;0.988990;0.704233;0.316349;1.076072;
4.527480;0.988990;0.704232;0.316347;1.076072;
4.527484;0.988990;0.704233;0.316343;1.076072;
4.527492;0.988990;0.704233;0.316335;1.076072;
4.527508;0.988990;0.704233;0.316319;1.076071;
4.527540;0.988990;0.704233;0.316286;1.076069;
4.527604;0.988990;0.704233;0.316222;1.076066;
4.527732;0.988990;0.704233;0.316093;1.076059;
4.527988;0.988989;0.704232;0.315836;1.076046;
4.528500;0.988988;0.704230;0.315321;1.076019;
4.529524;0.988985;0.704226;0.314291;1.075966;
4.531572;0.988980;0.704219;0.312232;1.075859;
4.535668;0.988970;0.704204;0.308120;1.075644;
4.543860;0.988950;0.704175;0.299950;1.075208;
4.552052;0.987810;0.704145;0.291878;1.074763;
4.560244;0.985575;0.704134;0.283939;1.074311;
4.568436;0.984389;0.704117;0.276159;1.073850;
4.576628;0.987284;0.704076;0.268561;1.073382;
4.584820;0.990897;0.704056;0.261158;1.072907;
4.601204;0.988810;0.703974;0.246983;1.071935;
4.617588;0.988769;0.703918;0.233664;1.070936;
