time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.013306;0.770095;0.700000;1.000000;
1.000001;1.013315;0.770105;0.700000;1.000000;
1.000002;1.013315;0.770105;0.700000;1.000000;
1.000004;1.013314;0.770104;0.700000;1.000000;
1.000008;1.013315;0.770105;0.700000;1.000000;
1.000016;1.013315;0.770105;0.700000;1.000000;
1.000023;1.013314;0.770105;0.700000;1.000000;
1.000024;1.013314;0.770104;0.700000;1.000000;
1.000025;1.013314;0.770104;0.700000;1.000000;
1.000027;1.013314;0.770104;0.700000;1.000000;
1.000031;1.013314;0.770104;0.700000;1.000000;
1.000039;1.013314;0.770104;0.700000;1.000000;
1.000055;1.013314;0.770104;0.700000;1.000000;
1.000087;1.013313;0.770103;0.700000;0.999999;
1.000151;1.013312;0.770101;0.700000;0.999999;
1.000279;1.013309;0.770097;0.700000;0.999998;
1.000535;1.013304;0.770089;0.700000;0.999995;
1.001047;1.013294;0.770073;0.700000;0.999991;
1.002071;1.013273;0.770042;0.700000;0.999982;
1.004119;1.013233;0.769980;0.700000;0.999964;
1.008215;1.013151;0.769856;0.700000;0.999928;
1.016407;1.012988;0.769609;0.699999;0.999857;
1.024599;1.012826;0.769362;0.699997;0.999786;
1.032791;1.012663;0.769115;0.699995;0.999715;
1.040983;1.012502;0.768870;0.699990;0.999644;
1.049175;1.012341;0.768625;0.699984;0.999574;
1.057367;1.012180;0.768381;0.699976;0.999504;
1.073751;1.011860;0.767895;0.699955;0.999364;
1.090135;1.011542;0.767412;0.699927;0.999226;
1.106519;1.011225;0.766932;0.699891;0.999089;
1.122903;1.010910;0.766455;0.699848;0.998952;
1.139287;1.010597;0.765980;0.699798;0.998817;
1.155671;1.010286;0.765508;0.699741;0.998682;
1.172055;1.009976;0.765039;0.699678;0.998549;
1.188439;1.009668;0.764573;0.699608;0.998416;
1.204823;1.009362;0.764109;0.699533;0.998284;
1.221207;1.009057;0.763648;0.699453;0.998153;
1.237591;1.008755;0.763190;0.699367;0.998023;
1.253975;1.008453;0.762734;0.699277;0.997894;
1.270359;1.008154;0.762281;0.699183;0.997765;
1.286743;1.007856;0.761831;0.699084;0.997637;
1.303127;1.007560;0.761383;0.698982;0.997510;
1.319511;1.007265;0.760938;0.698876;0.997384;
1.335895;1.006972;0.760496;0.698767;0.997259;
1.352279;1.006681;0.760056;0.698655;0.997134;
1.368663;1.006391;0.759619;0.698540;0.997010;
1.385047;1.006102;0.759184;0.698422;0.996887;
1.401431;1.005816;0.758752;0.698303;0.996764;
1.417815;1.005530;0.758322;0.698181;0.996642;
1.434199;1.005247;0.757895;0.698058;0.996521;
1.450583;1.004965;0.757470;0.697933;0.996401;
1.466967;1.004684;0.757048;0.697807;0.996281;
1.483351;1.004405;0.756628;0.697679;0.996162;
1.499735;1.004127;0.756210;0.697551;0.996043;
1.516119;1.003851;0.755795;0.697421;0.995925;
1.532503;1.003576;0.755383;0.697291;0.995808;
1.548887;1.003303;0.754973;0.697161;0.995691;
1.565271;1.003031;0.754565;0.697030;0.995575;
1.581655;1.002760;0.754160;0.696899;0.995460;
1.598039;1.002491;0.753756;0.696768;0.995345;
1.614423;1.002223;0.753356;0.696637;0.995231;
1.630807;1.001957;0.752957;0.696507;0.995118;
1.647191;1.001692;0.752561;0.696376;0.995005;
1.663575;1.001428;0.752167;0.696247;0.994893;
1.679959;1.001166;0.751776;0.696118;0.994781;
1.696343;1.000905;0.751387;0.695989;0.994670;
1.712727;1.000645;0.751000;0.695862;0.994559;
1.729111;1.000386;0.750615;0.695735;0.994450;
1.745495;1.000129;0.750233;0.695610;0.994340;
1.761879;0.999873;0.749852;0.695485;0.994231;
1.778263;0.999618;0.749474;0.695362;0.994123;
1.794647;0.999365;0.749098;0.695240;0.994016;
1.811031;0.999113;0.748725;0.695120;0.993909;
1.827415;0.998861;0.748353;0.695001;0.993802;
1.843799;0.998610;0.747984;0.694884;0.993697;
1.860183;0.998367;0.747616;0.694768;0.993591;
1.876567;0.998126;0.747251;0.694654;0.993487;
1.892951;0.997846;0.746888;0.694542;0.993382;
1.909335;0.997517;0.746529;0.694432;0.993279;
1.925719;0.997451;0.746174;0.694324;0.993176;
1.942103;0.998134;0.745802;0.694217;0.993073;
1.958487;0.997679;0.745402;0.694113;0.992972;
1.974871;0.988699;0.745167;0.694011;0.992870;
1.991255;0.974799;0.745853;0.693911;0.992768;
2.007639;1.035869;0.750419;0.693812;0.992659;
2.021357;0.996069;0.744115;0.693732;0.992573;
2.035075;0.995875;0.743826;0.693653;0.992489;
2.048793;0.995682;0.743537;0.693575;0.992406;
2.062511;0.995491;0.743251;0.693499;0.992324;
2.076229;0.995300;0.742965;0.693424;0.992242;
2.089947;0.995110;0.742681;0.693352;0.992161;
2.103665;0.994922;0.742402;0.693280;0.992080;
2.131102;0.994546;0.741841;0.693143;0.991919;
2.155794;0.994211;0.741342;0.693026;0.991776;
2.180487;0.993879;0.740847;0.692914;0.991634;
2.205179;0.993549;0.740356;0.692808;0.991493;
2.229872;0.993223;0.739869;0.692708;0.991353;
2.254565;0.992881;0.739387;0.692614;0.991215;
2.279257;0.992533;0.738909;0.692526;0.991078;
2.303950;0.992193;0.738435;0.692444;0.990943;
2.328643;0.991848;0.737965;0.692368;0.990809;
2.353335;0.991494;0.737499;0.692298;0.990676;
2.378028;0.991155;0.737037;0.692234;0.990544;
2.402720;0.990825;0.736579;0.692177;0.990414;
2.427413;0.990441;0.736125;0.692125;0.990286;
2.452106;0.990034;0.735676;0.692080;0.990158;
2.476798;0.989869;0.735231;0.692041;0.990032;
2.501491;0.989873;0.734785;0.692008;0.989907;
2.526183;0.988570;0.734345;0.691981;0.989784;
2.550876;0.984957;0.733947;0.691960;0.989662;
2.575569;0.987969;0.733652;0.691945;0.989541;
2.600261;0.988639;0.733056;0.691936;0.989422;
2.624954;0.988354;0.732632;0.691934;0.989304;
2.649646;0.988070;0.732212;0.691937;0.989188;
2.674339;0.987790;0.731796;0.691946;0.989073;
2.699032;0.987511;0.731383;0.691961;0.988959;
2.723724;0.987235;0.730974;0.691982;0.988847;
2.748417;0.986909;0.730568;0.692009;0.988736;
2.773109;0.986566;0.730166;0.692042;0.988627;
2.797802;0.986245;0.729767;0.692080;0.988519;
2.822495;0.985914;0.729372;0.692124;0.988413;
2.847187;0.985535;0.728980;0.692174;0.988308;
2.871880;0.985206;0.728593;0.692230;0.988205;
2.896572;0.985020;0.728207;0.692291;0.988103;
2.921265;0.984616;0.727824;0.692357;0.988002;
2.945958;0.983402;0.727449;0.692429;0.987903;
2.970650;0.982876;0.727091;0.692506;0.987806;
2.995343;0.988667;0.726742;0.692588;0.987710;
3.020036;0.984094;0.726330;0.692676;0.987615;
3.044728;0.983845;0.725964;0.692769;0.987522;
3.069421;0.983600;0.725602;0.692867;0.987431;
3.094113;0.983357;0.725243;0.692970;0.987341;
3.118806;0.983116;0.724886;0.693078;0.987252;
3.143499;0.982875;0.724533;0.693191;0.987165;
3.168191;0.982547;0.724182;0.693308;0.987080;
3.192884;0.982186;0.723835;0.693431;0.986996;
3.217576;0.981875;0.723491;0.693558;0.986914;
3.242269;0.981549;0.723149;0.693690;0.986833;
3.266962;0.981104;0.722811;0.693826;0.986753;
3.291654;0.980742;0.722477;0.693967;0.986676;
3.316347;0.980866;0.722144;0.694112;0.986599;
3.341039;0.980783;0.721810;0.694261;0.986525;
3.365732;0.977644;0.721492;0.694415;0.986452;
3.390425;0.980586;0.721162;0.694573;0.986380;
3.415117;0.980368;0.720840;0.694735;0.986310;
3.439810;0.980151;0.720522;0.694901;0.986242;
3.464502;0.979937;0.720206;0.695071;0.986175;
3.489195;0.979723;0.719893;0.695245;0.986110;
3.513888;0.979385;0.719581;0.695422;0.986046;
3.538580;0.979006;0.719273;0.695604;0.985984;
3.563273;0.978703;0.718968;0.695789;0.985923;
3.587965;0.978383;0.718665;0.695978;0.985864;
3.612658;0.977865;0.718366;0.696170;0.985807;
3.637351;0.977444;0.718070;0.696365;0.985751;
3.662043;0.977947;0.717776;0.696564;0.985697;
3.686736;0.978577;0.717478;0.696766;0.985644;
3.711429;0.977883;0.717191;0.696972;0.985593;
3.736121;0.977686;0.716903;0.697180;0.985543;
3.760814;0.977492;0.716618;0.697392;0.985496;
3.785506;0.977299;0.716335;0.697607;0.985449;
3.810199;0.977108;0.716055;0.697824;0.985404;
3.834892;0.976764;0.715776;0.698045;0.985361;
3.859584;0.976370;0.715501;0.698268;0.985320;
3.884277;0.976077;0.715228;0.698494;0.985280;
3.908969;0.975772;0.714957;0.698722;0.985241;
3.933662;0.975187;0.714689;0.698953;0.985204;
3.958355;0.974683;0.714426;0.699187;0.985169;
3.983047;0.975565;0.714165;0.699423;0.985136;
4.007740;0.977237;0.713898;0.699661;0.985103;
4.032432;0.975458;0.713638;0.699902;0.985073;
4.057125;0.975280;0.713381;0.700144;0.985044;
4.106510;0.974934;0.712873;0.700636;0.984991;
4.150957;0.974627;0.712423;0.701086;0.984949;
4.195404;0.974324;0.711980;0.701541;0.984911;
4.239850;0.974025;0.711544;0.702003;0.984879;
4.284297;0.973731;0.711114;0.702469;0.984852;
4.328744;0.973441;0.710691;0.702941;0.984830;
4.373190;0.973156;0.710274;0.703417;0.984813;
4.417637;0.972875;0.709864;0.703897;0.984801;
4.462084;0.972598;0.709460;0.704381;0.984793;
4.506530;0.972325;0.709062;0.704869;0.984791;
4.550977;0.972057;0.708670;0.705360;0.984794;
4.595424;0.971792;0.708285;0.705853;0.984802;
4.639871;0.971531;0.707905;0.706349;0.984815;
4.684317;0.971274;0.707530;0.706847;0.984832;
4.728764;0.971021;0.707162;0.707347;0.984854;
4.773211;0.970772;0.706799;0.707848;0.984882;
4.817657;0.970527;0.706442;0.708351;0.984913;
4.862104;0.970285;0.706090;0.708854;0.984950;
4.906551;0.970047;0.705743;0.709357;0.984991;
4.950997;0.969812;0.705402;0.709861;0.985038;
4.995444;0.969581;0.705065;0.710365;0.985088;
5.039891;0.969353;0.704734;0.710868;0.985143;
5.084337;0.969129;0.704408;0.711371;0.985203;
5.128784;0.968908;0.704087;0.711873;0.985268;
5.173231;0.968691;0.703771;0.712373;0.985337;
5.217678;0.968476;0.703460;0.712872;0.985410;
5.262124;0.968265;0.703153;0.713370;0.985487;
5.306571;0.968057;0.702851;0.713865;0.985569;
5.351018;0.967852;0.702553;0.714358;0.985656;
5.395464;0.967650;0.702260;0.714848;0.985746;
5.439911;0.967451;0.701972;0.715336;0.985841;
5.484358;0.967256;0.701688;0.715821;0.985940;
5.528804;0.967063;0.701408;0.716302;0.986043;
5.573251;0.966873;0.701132;0.716780;0.986150;
5.617698;0.966685;0.700861;0.717255;0.986261;
