time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.013306;0.770095;0.700000;1.000000;
1.000001;1.013315;0.770105;0.700000;1.000000;
1.000002;1.013315;0.770105;0.700000;1.000000;
1.000004;1.013314;0.770104;0.700000;1.000000;
1.000008;1.013315;0.770105;0.700000;1.000000;
1.000016;1.013315;0.770105;0.700000;1.000000;
1.000023;1.013314;0.770105;0.700000;1.000000;
1.000024;1.013314;0.770104;0.700000;1.000000;
1.000025;1.013314;0.770104;0.700000;1.000000;
1.000027;1.013314;0.770104;0.700000;1.000000;
1.000031;1.013314;0.770104;0.700000;1.000000;
1.000039;1.013314;0.770104;0.700000;1.000000;
1.000055;1.013314;0.770104;0.700000;1.000000;
1.000087;1.013313;0.770103;0.700000;0.999999;
1.000151;1.013312;0.770101;0.700000;0.999999;
1.000279;1.013309;0.770097;0.700000;0.999998;
1.000535;1.013304;0.770089;0.700000;0.999995;
1.000791;1.013299;0.770081;0.700000;0.999993;
1.001047;1.013294;0.770073;0.700000;0.999991;
1.001303;1.013289;0.770066;0.700001;0.999989;
1.001559;1.013284;0.770058;0.700001;0.999986;
1.001815;1.013279;0.770050;0.700002;0.999984;
1.002071;1.013273;0.770042;0.700003;0.999982;
1.002327;1.013268;0.770035;0.700004;0.999980;
1.002583;1.013263;0.770027;0.700005;0.999977;
1.002839;1.013258;0.770019;0.700007;0.999975;
1.003095;1.013253;0.770011;0.700009;0.999973;
1.003351;1.013248;0.770004;0.700011;0.999971;
1.003607;1.013243;0.769996;0.700014;0.999968;
1.003863;1.013238;0.769988;0.700017;0.999966;
1.004119;1.013233;0.769980;0.700020;0.999964;
1.004375;1.013228;0.769972;0.700024;0.999962;
1.004631;1.013222;0.769965;0.700028;0.999959;
1.004887;1.013217;0.769957;0.700033;0.999957;
1.005143;1.013212;0.769949;0.700038;0.999955;
1.005399;1.013207;0.769941;0.700044;0.999953;
1.005655;1.013202;0.769934;0.700050;0.999951;
1.005911;1.013197;0.769926;0.700056;0.999948;
1.006167;1.013192;0.769918;0.700063;0.999946;
1.006423;1.013187;0.769910;0.700070;0.999944;
1.006679;1.013182;0.769903;0.700078;0.999942;
1.006935;1.013176;0.769895;0.700087;0.999939;
1.007191;1.013171;0.769887;0.700096;0.999937;
1.007447;1.013166;0.769879;0.700105;0.999935;
1.007703;1.013161;0.769872;0.700115;0.999933;
1.007959;1.013156;0.769864;0.700126;0.999930;
1.008215;1.013151;0.769856;0.700137;0.999928;
1.008471;1.013146;0.769848;0.700149;0.999926;
1.008727;1.013141;0.769841;0.700161;0.999924;
1.008983;1.013136;0.769833;0.700174;0.999921;
1.009239;1.013131;0.769825;0.700188;0.999919;
1.009495;1.013125;0.769817;0.700202;0.999917;
1.010007;1.013115;0.769802;0.700232;0.999913;
1.010467;1.013106;0.769788;0.700260;0.999909;
1.010928;1.013097;0.769774;0.700291;0.999905;
1.011389;1.013088;0.769760;0.700324;0.999901;
1.011850;1.013079;0.769746;0.700358;0.999897;
1.012311;1.013069;0.769732;0.700395;0.999893;
1.012771;1.013060;0.769718;0.700433;0.999889;
1.013232;1.013051;0.769704;0.700473;0.999885;
1.013693;1.013042;0.769691;0.700515;0.999881;
1.014154;1.013033;0.769677;0.700559;0.999877;
1.014615;1.013024;0.769663;0.700605;0.999873;
1.015075;1.013014;0.769649;0.700652;0.999869;
1.015536;1.013005;0.769635;0.700701;0.999865;
1.015997;1.012996;0.769621;0.700752;0.999861;
1.016458;1.012987;0.769607;0.700805;0.999857;
1.016919;1.012978;0.769593;0.700859;0.999853;
1.017379;1.012969;0.769579;0.700915;0.999849;
1.017840;1.012960;0.769565;0.700973;0.999845;
1.018301;1.012950;0.769551;0.701032;0.999841;
1.018762;1.012941;0.769538;0.701093;0.999837;
1.019223;1.012932;0.769524;0.701155;0.999833;
1.019683;1.012923;0.769510;0.701219;0.999829;
1.020144;1.012914;0.769496;0.701284;0.999825;
1.020605;1.012905;0.769482;0.701351;0.999821;
1.021527;1.012886;0.769454;0.701488;0.999813;
1.022448;1.012868;0.769426;0.701630;0.999806;
1.023370;1.012850;0.769399;0.701776;0.999798;
1.024291;1.012832;0.769371;0.701927;0.999790;
1.025213;1.012813;0.769343;0.702082;0.999782;
1.026135;1.012795;0.769315;0.702240;0.999775;
1.027978;1.012759;0.769260;0.702566;0.999759;
1.029582;1.012727;0.769212;0.702858;0.999746;
1.031026;1.012698;0.769168;0.703126;0.999734;
1.032326;1.012673;0.769129;0.703370;0.999723;
1.033495;1.012650;0.769094;0.703591;0.999714;
1.034665;1.012626;0.769059;0.703814;0.999704;
1.035717;1.012606;0.769028;0.704015;0.999696;
1.036770;1.012585;0.768996;0.704215;0.999687;
1.037822;1.012564;0.768965;0.704416;0.999679;
1.038875;1.012543;0.768933;0.704615;0.999670;
1.039928;1.012523;0.768902;0.704813;0.999662;
1.040980;1.012502;0.768870;0.705010;0.999653;
1.042033;1.012481;0.768839;0.705204;0.999645;
1.043085;1.012460;0.768807;0.705397;0.999636;
1.044138;1.012440;0.768776;0.705587;0.999628;
1.045191;1.012419;0.768744;0.705775;0.999620;
1.046243;1.012398;0.768713;0.705959;0.999612;
1.047296;1.012378;0.768681;0.706141;0.999603;
1.048348;1.012357;0.768650;0.706319;0.999595;
1.049401;1.012336;0.768619;0.706493;0.999587;
1.050454;1.012316;0.768587;0.706664;0.999579;
1.051506;1.012295;0.768556;0.706831;0.999571;
1.052559;1.012274;0.768524;0.706994;0.999563;
1.053611;1.012254;0.768493;0.707153;0.999555;
1.054664;1.012233;0.768462;0.707308;0.999547;
1.055717;1.012212;0.768430;0.707458;0.999539;
1.056769;1.012192;0.768399;0.707604;0.999531;
1.057822;1.012171;0.768368;0.707746;0.999523;
1.058874;1.012151;0.768336;0.707883;0.999515;
1.059927;1.012130;0.768305;0.708015;0.999507;
1.060980;1.012109;0.768274;0.708142;0.999499;
1.062032;1.012089;0.768243;0.708265;0.999491;
1.063085;1.012068;0.768211;0.708384;0.999483;
1.064137;1.012048;0.768180;0.708497;0.999475;
1.065190;1.012027;0.768149;0.708606;0.999467;
1.066243;1.012006;0.768118;0.708710;0.999460;
1.067295;1.011986;0.768087;0.708810;0.999452;
1.068348;1.011965;0.768055;0.708904;0.999444;
1.069400;1.011945;0.768024;0.708995;0.999436;
1.070453;1.011924;0.767993;0.709080;0.999428;
1.071506;1.011904;0.767962;0.709161;0.999421;
1.072558;1.011883;0.767931;0.709237;0.999413;
1.073611;1.011863;0.767900;0.709309;0.999405;
1.074663;1.011842;0.767868;0.709377;0.999398;
1.075716;1.011822;0.767837;0.709440;0.999390;
1.076769;1.011801;0.767806;0.709498;0.999382;
1.077821;1.011781;0.767775;0.709553;0.999375;
1.078874;1.011760;0.767744;0.709603;0.999367;
1.079926;1.011740;0.767713;0.709649;0.999359;
1.080979;1.011719;0.767682;0.709691;0.999352;
1.082032;1.011699;0.767651;0.709729;0.999344;
1.083084;1.011678;0.767620;0.709763;0.999337;
1.085189;1.011638;0.767558;0.709820;0.999321;
1.087084;1.011601;0.767502;0.709858;0.999308;
1.088979;1.011564;0.767446;0.709885;0.999294;
1.090873;1.011527;0.767391;0.709900;0.999281;
1.092768;1.011491;0.767335;0.709905;0.999267;
1.094663;1.011454;0.767279;0.709900;0.999253;
1.098452;1.011381;0.767168;0.709861;0.999226;
1.102241;1.011308;0.767057;0.709787;0.999199;
1.106031;1.011235;0.766946;0.709681;0.999172;
1.109441;1.011169;0.766847;0.709561;0.999148;
1.112511;1.011110;0.766757;0.709434;0.999126;
1.115273;1.011057;0.766677;0.709307;0.999106;
1.118035;1.011004;0.766596;0.709169;0.999087;
1.120522;1.010956;0.766524;0.709035;0.999069;
1.123008;1.010908;0.766452;0.708893;0.999051;
1.125494;1.010861;0.766380;0.708745;0.999033;
1.127980;1.010813;0.766307;0.708590;0.999015;
1.130466;1.010766;0.766235;0.708430;0.998997;
1.132953;1.010718;0.766163;0.708264;0.998980;
1.135439;1.010671;0.766091;0.708093;0.998962;
1.137925;1.010623;0.766019;0.707918;0.998944;
1.140411;1.010576;0.765948;0.707740;0.998926;
1.142897;1.010529;0.765876;0.707558;0.998908;
1.145384;1.010481;0.765804;0.707373;0.998890;
1.147870;1.010434;0.765733;0.707185;0.998871;
1.150356;1.010387;0.765661;0.706995;0.998853;
1.152842;1.010340;0.765590;0.706804;0.998835;
1.155328;1.010292;0.765518;0.706610;0.998817;
1.157814;1.010245;0.765447;0.706415;0.998799;
1.160301;1.010198;0.765375;0.706220;0.998780;
1.162787;1.010151;0.765304;0.706023;0.998762;
1.165273;1.010104;0.765233;0.705825;0.998744;
1.167759;1.010057;0.765162;0.705627;0.998725;
1.170245;1.010010;0.765091;0.705429;0.998707;
1.172732;1.009964;0.765020;0.705231;0.998688;
1.175218;1.009917;0.764949;0.705033;0.998670;
1.177704;1.009870;0.764878;0.704835;0.998651;
1.180190;1.009823;0.764807;0.704637;0.998633;
1.182676;1.009777;0.764737;0.704440;0.998614;
1.185163;1.009730;0.764666;0.704243;0.998596;
1.187649;1.009683;0.764595;0.704047;0.998577;
1.190135;1.009637;0.764525;0.703852;0.998558;
1.192621;1.009590;0.764454;0.703657;0.998539;
1.195107;1.009544;0.764384;0.703464;0.998521;
1.197594;1.009497;0.764313;0.703271;0.998502;
1.200080;1.009451;0.764243;0.703080;0.998483;
1.205052;1.009358;0.764103;0.702700;0.998445;
1.209527;1.009275;0.763977;0.702363;0.998411;
1.214002;1.009192;0.763851;0.702030;0.998376;
1.218478;1.009108;0.763725;0.701701;0.998342;
1.222953;1.009025;0.763599;0.701377;0.998307;
1.227428;1.008943;0.763474;0.701058;0.998273;
1.231903;1.008860;0.763349;0.700744;0.998238;
1.236378;1.008777;0.763224;0.700435;0.998203;
1.240853;1.008695;0.763099;0.700131;0.998168;
1.245328;1.008613;0.762975;0.699832;0.998133;
1.249804;1.008530;0.762850;0.699539;0.998098;
1.254279;1.008448;0.762726;0.699251;0.998063;
1.258754;1.008366;0.762602;0.698969;0.998028;
1.267704;1.008203;0.762355;0.698421;0.997957;
1.275759;1.008056;0.762133;0.697946;0.997893;
1.283815;1.007910;0.761912;0.697490;0.997829;
1.291870;1.007764;0.761691;0.697051;0.997764;
1.299925;1.007618;0.761471;0.696630;0.997700;
1.307980;1.007473;0.761252;0.696228;0.997635;
1.316036;1.007329;0.761033;0.695842;0.997570;
1.324091;1.007184;0.760815;0.695475;0.997505;
1.332146;1.007040;0.760597;0.695124;0.997439;
1.340202;1.006897;0.760380;0.694791;0.997374;
1.348257;1.006753;0.760164;0.694474;0.997309;
1.356312;1.006611;0.759948;0.694175;0.997243;
1.364367;1.006468;0.759733;0.693891;0.997177;
