time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.699999;1.000000;
0.004096;1.000000;0.700000;0.699993;1.000000;
0.008192;1.000000;0.700000;0.699944;1.000000;
0.012288;1.000000;0.700000;0.699829;1.000000;
0.020480;1.000000;0.700000;0.699273;0.999999;
0.027853;1.000000;0.700000;0.698327;0.999998;
0.035226;1.000000;0.700000;0.696861;0.999996;
0.042598;1.000000;0.700000;0.694817;0.999992;
0.049971;1.000000;0.700000;0.692150;0.999986;
0.057344;1.000000;0.700000;0.688836;0.999977;
0.064717;1.000000;0.700000;0.684865;0.999964;
0.072090;1.000000;0.700000;0.680239;0.999948;
0.079462;1.000000;0.700000;0.674969;0.999927;
0.086835;1.000000;0.700000;0.669076;0.999901;
0.094208;1.000000;0.700000;0.662584;0.999870;
0.101581;1.000000;0.700000;0.655522;0.999832;
0.116326;1.000000;0.700000;0.639860;0.999735;
0.131072;1.000000;0.700000;0.622336;0.999607;
0.145818;1.000001;0.700000;0.603215;0.999446;
0.160563;1.000001;0.700000;0.582761;0.999248;
0.175309;1.000002;0.700000;0.561224;0.999012;
0.190054;1.000003;0.700000;0.538831;0.998736;
0.204800;1.000004;0.700000;0.515788;0.998418;
0.219546;1.000006;0.700000;0.492274;0.998058;
0.234291;1.000008;0.700000;0.468445;0.997654;
0.249037;1.000011;0.700000;0.444433;0.997206;
0.263782;1.000013;0.700000;0.420350;0.996715;
0.278528;1.000017;0.700000;0.396287;0.996179;
0.308019;1.000000;0.700000;0.348574;0.994977;
0.334561;1.000001;0.700000;0.306278;0.993747;
0.348536;0.999972;0.700000;0.284339;0.993044;
0.348537;1.000000;0.700000;0.284341;0.993044;
0.348538;1.000000;0.700000;0.284342;0.993044;
0.348540;0.999998;0.700000;0.284345;0.993043;
0.348544;1.000000;0.700000;0.284351;0.993043;
0.348552;1.000000;0.700000;0.284362;0.993043;
0.348568;1.000000;0.700000;0.284385;0.993042;
0.348600;1.000000;0.700000;0.284431;0.993040;
0.348664;1.000000;0.700000;0.284522;0.993037;
0.348792;1.000000;0.700000;0.284706;0.993030;
0.349048;1.000000;0.700000;0.285072;0.993017;
0.349560;1.000000;0.700000;0.285803;0.992991;
0.350584;1.000000;0.700000;0.287265;0.992938;
0.352632;1.000000;0.700000;0.290178;0.992833;
0.356728;1.000000;0.700000;0.295969;0.992626;
0.364920;1.000000;0.700000;0.307411;0.992220;
0.381304;1.000000;0.700000;0.329743;0.991444;
0.397688;0.999991;0.700000;0.351357;0.990713;
0.414072;0.999970;0.700000;0.372275;0.990026;
0.430456;0.999947;0.700000;0.392518;0.989381;
0.446840;0.999925;0.700000;0.412108;0.988778;
0.463224;0.999892;0.700000;0.431067;0.988214;
0.479608;0.999851;0.700000;0.449414;0.987689;
0.495992;0.999818;0.700000;0.467170;0.987201;
0.512376;0.999772;0.700000;0.484353;0.986749;
0.528760;0.999687;0.700000;0.500982;0.986332;
0.545144;0.999641;0.700000;0.517074;0.985949;
0.561528;0.999717;0.700000;0.532648;0.985599;
0.577912;0.999597;0.700000;0.547719;0.985280;
0.594296;0.998749;0.700002;0.562305;0.984991;
0.610680;0.998602;0.700005;0.576420;0.984733;
0.643448;1.000000;0.700000;0.603318;0.984298;
0.672940;0.999985;0.700002;0.626065;0.984000;
0.702431;0.999855;0.700007;0.647507;0.983782;
0.731922;1.000000;0.700000;0.667720;0.983642;
0.761413;0.999390;0.699995;0.686775;0.983575;
0.790904;0.998424;0.699999;0.704736;0.983576;
0.820396;0.998328;0.700003;0.721668;0.983641;
0.849887;0.998881;0.699998;0.737629;0.983766;
0.879378;0.996380;0.699998;0.752674;0.983949;
0.908869;0.987967;0.700105;0.766857;0.984185;
0.938360;0.991406;0.700719;0.780227;0.984470;
0.967852;1.070831;0.704657;0.792829;0.984793;
1.000000;1.064941;0.704188;0.805780;0.985200;
1.000000;1.005569;0.728027;0.805780;0.985200;
1.000001;1.005562;0.728032;0.805780;0.985200;
1.000002;1.005562;0.728032;0.805780;0.985200;
1.000004;1.005563;0.728032;0.805781;0.985200;
1.000008;1.005562;0.728032;0.805783;0.985201;
1.000016;1.005562;0.728032;0.805786;0.985201;
1.000032;1.005562;0.728032;0.805792;0.985201;
1.000064;1.005562;0.728031;0.805805;0.985201;
1.000128;1.005561;0.728030;0.805829;0.985202;
1.000256;1.005560;0.728029;0.805879;0.985203;
1.000512;1.005558;0.728026;0.805978;0.985206;
1.001024;1.005554;0.728020;0.806177;0.985211;
1.002048;1.005546;0.728008;0.806574;0.985221;
1.004096;1.005530;0.727985;0.807364;0.985243;
1.008192;1.005497;0.727938;0.808936;0.985286;
1.016384;1.005433;0.727845;0.812041;0.985374;
1.032768;1.005304;0.727658;0.818102;0.985561;
1.065536;1.005049;0.727289;0.829651;0.985970;
1.098304;1.004337;0.726923;0.840471;0.986427;
1.163840;1.004299;0.726204;0.860148;0.987465;
1.222822;1.003897;0.725575;0.875781;0.988532;
1.281805;1.003431;0.724949;0.889669;0.989711;
1.340787;1.000540;0.724139;0.902004;0.990990;
1.399769;0.999403;0.723684;0.912961;0.992357;
1.458752;1.003316;0.723335;0.922693;0.993801;
1.517734;1.002773;0.722668;0.931337;0.995314;
1.576717;1.001401;0.722019;0.939015;0.996890;
1.635699;1.001338;0.721702;0.945834;0.998518;
1.694681;1.000618;0.720911;0.951890;1.000196;
1.753664;1.000231;0.720346;0.957269;1.001917;
1.812646;0.999937;0.719911;0.962047;1.003676;
1.871629;0.999701;0.719431;0.966291;1.005468;
1.989593;0.998867;0.718372;0.973471;1.009134;
2.095762;0.998252;0.717512;0.978625;1.012513;
2.201930;0.997694;0.716685;0.982780;1.015952;
2.308098;0.997137;0.715890;0.986129;1.019438;
2.414267;0.996597;0.715107;0.988827;1.022961;
2.520435;0.996080;0.714356;0.991000;1.026511;
2.546977;0.995950;0.714179;0.991467;1.027403;
2.600061;0.995706;0.713819;0.992331;1.029189;
2.653145;0.995451;0.713465;0.993107;1.030979;
2.759314;0.994962;0.712770;0.994441;1.034568;
2.785856;0.994852;0.712607;0.994729;1.035467;
2.838940;0.994620;0.712274;0.995263;1.037267;
2.865482;0.994506;0.712110;0.995508;1.038167;
2.918566;0.994279;0.711785;0.995963;1.039968;
2.945108;0.994169;0.711625;0.996172;1.040869;
2.998192;0.993947;0.711310;0.996559;1.042672;
3.024735;0.993841;0.711154;0.996737;1.043573;
3.077819;0.993623;0.710847;0.997067;1.045376;
3.104361;0.993522;0.710695;0.997219;1.046277;
3.157445;0.993308;0.710397;0.997500;1.048080;
3.183987;0.993204;0.710247;0.997629;1.048981;
3.237071;0.993000;0.709960;0.997869;1.050782;
3.263613;0.992900;0.709812;0.997979;1.051683;
3.316697;0.992701;0.709538;0.998184;1.053483;
3.343239;0.992603;0.709387;0.998278;1.054382;
3.396324;0.992409;0.709135;0.998452;1.056180;
3.422866;0.992314;0.708974;0.998532;1.057079;
3.475950;0.992125;0.708705;0.998680;1.058875;
3.502492;0.992032;0.708572;0.998749;1.059772;
3.555576;0.991847;0.708309;0.998875;1.061565;
3.582118;0.991757;0.708179;0.998934;1.062461;
3.635202;0.991577;0.707924;0.999041;1.064251;
3.661744;0.991490;0.707798;0.999091;1.065145;
3.714829;0.991313;0.707549;0.999183;1.066931;
3.741371;0.991229;0.707426;0.999225;1.067824;
3.794455;0.991056;0.707184;0.999304;1.069607;
3.820997;0.990975;0.707064;0.999340;1.070498;
3.874081;0.990807;0.706828;0.999406;1.072277;
3.900623;0.990728;0.706711;0.999437;1.073166;
3.913894;0.990688;0.706652;0.999452;1.073610;
3.940436;0.990607;0.706537;0.999480;1.074497;
3.993520;0.990443;0.706310;0.999533;1.076270;
4.020063;0.990369;0.706200;0.999557;1.077156;
4.033334;0.990330;0.706142;0.999569;1.077598;
4.059876;0.990252;0.706031;0.999591;1.078483;
4.112960;0.990091;0.705814;0.999632;1.080249;
4.139502;0.990023;0.705709;0.999651;1.081131;
4.152773;0.989986;0.705652;0.999660;1.081572;
4.179315;0.989911;0.705545;0.999678;1.082453;
4.192586;0.989875;0.705492;0.999686;1.082893;
4.219128;0.989800;0.705387;0.999703;1.083773;
4.232399;0.989765;0.705335;0.999711;1.084213;
4.258941;0.989691;0.705232;0.999726;1.085091;
4.272212;0.989656;0.705180;0.999733;1.085530;
4.298754;0.989583;0.705078;0.999747;1.086408;
4.312025;0.989549;0.705027;0.999753;1.086846;
4.338567;0.989477;0.704926;0.999766;1.087722;
4.351839;0.989443;0.704876;0.999772;1.088160;
4.378381;0.989372;0.704776;0.999784;1.089035;
4.379654;0.989134;0.704772;0.999784;1.089077;
4.379655;0.989368;0.704772;0.999784;1.089077;
4.379656;0.989368;0.704777;0.999784;1.089077;
4.379658;0.989354;0.704773;0.999784;1.089077;
4.379662;0.989368;0.704772;0.999784;1.089077;
4.379670;0.989368;0.704772;0.999784;1.089078;
4.379686;0.989368;0.704772;0.999784;1.089078;
4.379718;0.989368;0.704771;0.999784;1.089079;
4.379782;0.989368;0.704771;0.999785;1.089081;
4.379910;0.989368;0.704771;0.999785;1.089086;
4.380166;0.989367;0.704770;0.999785;1.089094;
4.380678;0.989366;0.704768;0.999786;1.089111;
4.381702;0.989363;0.704764;0.999788;1.089145;
4.383750;0.989357;0.704756;0.999796;1.089212;
4.387846;0.989347;0.704741;0.999827;1.089347;
4.396038;0.989325;0.704711;0.999946;1.089617;
4.412422;0.989283;0.704650;1.000406;1.090157;
4.445190;0.989198;0.704530;1.002157;1.091242;
4.461574;0.989156;0.704470;1.003438;1.091786;
4.494342;0.989073;0.704358;1.006732;1.092884;
4.510726;0.989032;0.704292;1.008740;1.093438;
4.543494;0.988950;0.704186;1.013415;1.094558;
4.559878;0.988909;0.704118;1.016077;1.095125;
4.592646;0.988829;0.704016;1.022007;1.096276;
4.609030;0.988789;0.703946;1.025271;1.096860;
4.641798;0.988710;0.703851;1.032365;1.098049;
4.658182;0.988670;0.703778;1.036192;1.098653;
4.690950;0.988593;0.703690;1.044382;1.099886;
4.707334;0.988553;0.703611;1.048743;1.100515;
4.740102;0.988477;0.703534;1.057981;1.101798;
4.756486;0.988439;0.703448;1.062856;1.102454;
4.789254;0.988363;0.703339;1.073104;1.103795;
4.805638;0.988326;0.703287;1.078477;1.104480;
4.838406;0.988251;0.703180;1.089711;1.105884;
4.854790;0.988214;0.703129;1.095572;1.106603;
4.887558;0.988141;0.703022;1.107775;1.108075;
4.903942;0.988105;0.702973;1.114116;1.108830;
4.936710;0.988033;0.702868;1.127277;1.110377;
4.953094;0.987997;0.702820;1.134097;1.111170;
4.985862;0.987926;0.702715;1.148213;1.112798;
5.002246;0.987891;0.702669;1.155510;1.113632;
5.035014;0.987821;0.702564;1.170585;1.115345;
5.051398;0.987787;0.702521;1.178362;1.116224;
5.084166;0.987718;0.702415;1.194403;1.118029;
5.100550;0.987684;0.702375;1.202667;1.118955;
5.133318;0.987617;0.702268;1.219688;1.120856;
5.149702;0.987583;0.702231;1.228445;1.121832;
5.182470;0.987517;0.702122;1.246465;1.123837;
5.198854;0.987484;0.702090;1.255727;1.124866;
5.231622;0.987420;0.701977;1.274768;1.126979;
5.248006;0.987386;0.701951;1.284548;1.128064;
