time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.013306;0.770095;0.700000;1.000000;
1.000001;1.013315;0.770105;0.700000;1.000000;
1.000002;1.013315;0.770105;0.700000;1.000000;
1.000004;1.013314;0.770104;0.700000;1.000000;
1.000008;1.013315;0.770105;0.700000;1.000000;
1.000016;1.013315;0.770105;0.700000;1.000000;
1.000032;1.013314;0.770104;0.700000;1.000000;
1.000064;1.013314;0.770103;0.700000;0.999999;
1.000128;1.013312;0.770101;0.700001;0.999999;
1.000256;1.013310;0.770097;0.700001;0.999998;
1.000512;1.013305;0.770090;0.700002;0.999996;
1.001024;1.013294;0.770074;0.700004;0.999991;
1.002048;1.013274;0.770043;0.700009;0.999982;
1.004096;1.013233;0.769981;0.700018;0.999964;
1.008192;1.013151;0.769857;0.700033;0.999928;
1.016384;1.012988;0.769609;0.700052;0.999857;
1.032768;1.012664;0.769116;0.700039;0.999715;
1.065536;1.012020;0.768139;0.699836;0.999434;
1.131072;1.010754;0.766218;0.699126;0.998880;
1.196608;1.009511;0.764340;0.698313;0.998337;
1.327680;1.007118;0.760715;0.697107;0.997284;
1.445645;1.005035;0.757595;0.696488;0.996377;
1.563609;1.003080;0.754604;0.696296;0.995512;
1.681574;1.001154;0.751732;0.696474;0.994693;
1.799539;0.999060;0.748766;0.696977;0.993926;
1.905707;0.997729;0.746599;0.697677;0.993278;
2.011876;0.997394;0.744170;0.698583;0.992675;
2.107427;0.994862;0.742315;0.699555;0.992170;
2.202979;0.993078;0.740135;0.700659;0.991704;
2.298530;0.992322;0.738528;0.701877;0.991275;
2.394082;0.989775;0.736369;0.703195;0.990886;
2.489633;0.989938;0.734988;0.704598;0.990534;
2.585185;0.988903;0.733320;0.706069;0.990220;
2.680736;0.987707;0.731678;0.707596;0.989944;
2.776288;0.986645;0.730104;0.709167;0.989707;
2.871839;0.985615;0.728582;0.710772;0.989508;
2.967391;0.984619;0.727109;0.712398;0.989348;
3.062942;0.983654;0.725686;0.714036;0.989224;
3.158493;0.982719;0.724308;0.715676;0.989137;
3.254045;0.981815;0.722976;0.717307;0.989087;
3.349596;0.980939;0.721688;0.718923;0.989071;
3.445148;0.980092;0.720442;0.720513;0.989090;
3.492924;0.979687;0.719839;0.721294;0.989117;
3.588475;0.978892;0.718673;0.722812;0.989201;
3.684027;0.978123;0.717545;0.724282;0.989317;
3.779578;0.977378;0.716452;0.725698;0.989462;
3.970681;0.975939;0.714348;0.728391;0.989818;
4.066233;0.975231;0.713338;0.729655;0.990033;
4.257336;0.973943;0.711440;0.731972;0.990537;
4.429328;0.972832;0.709808;0.733810;0.991070;
4.601321;0.971785;0.708281;0.735397;0.991671;
4.773314;0.970796;0.706836;0.736721;0.992331;
4.945306;0.969864;0.705478;0.737775;0.993043;
5.117299;0.968835;0.704199;0.738554;0.993798;
5.289292;0.968076;0.702994;0.739058;0.994590;
5.461284;0.967334;0.701858;0.739290;0.995410;
5.633277;0.966596;0.700790;0.739255;0.996250;
5.977262;0.965276;0.698821;0.738429;0.997956;
6.321248;0.964068;0.697075;0.736661;0.999663;
6.493240;0.963519;0.696278;0.735444;1.000506;
6.837226;0.962507;0.694815;0.732460;1.002131;
7.181211;0.965983;0.696693;0.728755;1.003561;
7.490798;0.960878;0.692474;0.725045;1.004789;
7.800385;0.960226;0.691530;0.721089;1.005913;
7.877781;0.960075;0.691307;0.720063;1.006176;
8.032575;0.959784;0.690885;0.717975;1.006677;
8.187368;0.959508;0.690485;0.715847;1.007142;
8.496955;0.958978;0.689759;0.711534;1.007960;
8.753869;0.958565;0.689206;0.707931;1.008526;
8.818097;0.958510;0.689055;0.707030;1.008652;
8.946554;0.958338;0.688800;0.705238;1.008883;
9.075010;0.958170;0.688556;0.703462;1.009089;
9.331924;0.957832;0.688105;0.699983;1.009425;
9.389729;0.957776;0.688000;0.699214;1.009487;
9.505340;0.957650;0.687811;0.697697;1.009596;
9.620951;0.957522;0.687629;0.696208;1.009685;
9.852173;0.957275;0.687288;0.693332;1.009807;
10.060273;0.957063;0.687003;0.690868;1.009855;
10.268373;0.956864;0.686742;0.688535;1.009847;
10.320398;0.956842;0.686668;0.687976;1.009835;
10.424448;0.956762;0.686545;0.686897;1.009799;
10.528498;0.956680;0.686427;0.685855;1.009751;
10.632548;0.956600;0.686313;0.684852;1.009691;
10.840648;0.956448;0.686100;0.682936;1.009548;
11.048747;0.956300;0.685892;0.681170;1.009366;
11.227188;0.956189;0.685737;0.679780;1.009181;
11.405628;0.956081;0.685573;0.678508;1.008971;
11.566224;0.955989;0.685437;0.677464;1.008764;
11.726820;0.955902;0.685312;0.676516;1.008540;
11.887417;0.955965;0.685194;0.675662;1.008302;
12.048013;0.955858;0.685082;0.674901;1.008052;
12.208609;0.955762;0.684976;0.674231;1.007792;
12.369206;0.955671;0.684875;0.673649;1.007523;
12.449504;0.955565;0.684827;0.673392;1.007385;
12.610100;0.955511;0.684735;0.672938;1.007106;
12.931292;0.955350;0.684565;0.672269;1.006536;
13.011591;0.955355;0.684524;0.672151;1.006392;
13.172187;0.955310;0.684448;0.671968;1.006103;
13.493379;0.955204;0.684317;0.671802;1.005528;
13.653976;0.955204;0.684241;0.671814;1.005244;
13.975168;0.955075;0.684131;0.672001;1.004689;
14.296361;0.954994;0.684013;0.672382;1.004157;
14.617553;0.954930;0.683924;0.672925;1.003654;
14.938746;0.954868;0.683831;0.673599;1.003185;
15.259938;0.954814;0.683753;0.674372;1.002755;
15.581131;0.954766;0.683684;0.675216;1.002364;
15.902323;0.954741;0.683629;0.676104;1.002016;
16.223516;0.954696;0.683566;0.677010;1.001709;
16.544708;0.954692;0.683529;0.677914;1.001445;
16.865901;0.954584;0.683471;0.678797;1.001221;
17.187093;0.954589;0.683431;0.679644;1.001036;
17.508286;0.954655;0.683327;0.680442;1.000890;
17.829478;0.955144;0.683319;0.681178;1.000777;
18.150671;0.955203;0.683314;0.681844;1.000694;
18.471863;0.954877;0.683280;0.682436;1.000639;
18.793056;0.955549;0.683268;0.682951;1.000607;
19.114249;0.956098;0.683301;0.683388;1.000593;
19.435441;0.953653;0.683260;0.683749;1.000597;
20.077826;0.954435;0.683215;0.684144;1.000655;
20.542959;0.954413;0.683192;0.684315;1.000707;
21.008091;0.954346;0.683181;0.684388;1.000763;
21.426711;0.954402;0.683169;0.684388;1.000813;
21.845330;0.954372;0.683161;0.684336;1.000860;
22.263950;0.954432;0.683152;0.684244;1.000902;
23.101188;0.954390;0.683132;0.684003;1.000971;
23.854703;0.954311;0.683132;0.683737;1.001010;
24.854703;0.954363;0.683108;0.683387;1.001024;
25.854703;0.954357;0.683100;0.683096;1.001002;
26.104703;0.954358;0.683100;0.683038;1.000990;
26.604703;0.954356;0.683097;0.682952;1.000962;
27.104703;0.954326;0.683115;0.682894;1.000930;
27.604703;0.954353;0.683093;0.682863;1.000898;
28.604703;0.954351;0.683090;0.682850;1.000834;
29.604703;0.954350;0.683088;0.682900;1.000777;
30.000000;0.954350;0.683087;0.682934;1.000757;
