time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.005561;0.728046;0.700000;1.000000;
1.000001;1.005562;0.728032;0.700000;1.000000;
1.000002;1.005562;0.728032;0.700000;1.000000;
1.000004;1.005562;0.728033;0.700000;1.000000;
1.000008;1.005562;0.728032;0.700000;1.000000;
1.000016;1.005562;0.728032;0.700000;1.000000;
1.000032;1.005562;0.728032;0.700000;1.000000;
1.000057;1.005562;0.728031;0.700000;1.000000;
1.000058;1.005562;0.728031;0.700000;1.000000;
1.000059;1.005562;0.728031;0.700000;1.000000;
1.000061;1.005562;0.728031;0.700000;1.000000;
1.000065;1.005562;0.728031;0.700000;1.000000;
1.000073;1.005562;0.728031;0.700000;1.000000;
1.000089;1.005562;0.728031;0.700000;1.000000;
1.000121;1.005561;0.728031;0.700000;1.000000;
1.000185;1.005561;0.728030;0.700000;0.999999;
1.000313;1.005560;0.728028;0.700000;0.999999;
1.000569;1.005558;0.728025;0.700000;0.999998;
1.001081;1.005554;0.728020;0.700000;0.999996;
1.002105;1.005546;0.728008;0.700000;0.999993;
1.004153;1.005529;0.727984;0.700000;0.999985;
1.008249;1.005497;0.727937;0.700000;0.999971;
1.016441;1.005432;0.727844;0.699999;0.999943;
1.032825;1.005304;0.727658;0.699991;0.999886;
1.065593;1.005049;0.727288;0.699946;0.999773;
1.098361;1.004796;0.726923;0.699860;0.999662;
1.131129;1.004546;0.726561;0.699735;0.999552;
1.196665;1.004054;0.725850;0.699403;0.999335;
1.262201;1.003572;0.725154;0.699003;0.999121;
1.393273;1.002641;0.723807;0.698186;0.998702;
1.524345;1.001735;0.722516;0.697431;0.998293;
1.655417;1.000811;0.721279;0.696811;0.997896;
1.786489;0.999822;0.720094;0.696353;0.997512;
1.917561;0.998738;0.718960;0.696062;0.997142;
2.048633;0.997425;0.717876;0.695941;0.996789;
2.179705;0.995645;0.716843;0.695990;0.996455;
2.310777;0.993359;0.715863;0.696209;0.996140;
2.441849;0.991220;0.714929;0.696600;0.995848;
2.572921;0.990567;0.714018;0.697163;0.995580;
2.703993;0.990822;0.713123;0.697896;0.995339;
2.835065;0.978515;0.712603;0.698796;0.995123;
2.966137;0.892295;0.716668;0.699821;0.994883;
3.097209;0.993543;0.710727;0.700993;0.994713;
3.228281;0.993007;0.709992;0.702340;0.994590;
3.359353;0.992540;0.709299;0.703868;0.994506;
3.490425;0.992097;0.708652;0.705563;0.994462;
3.621497;0.991620;0.707984;0.707409;0.994459;
3.752569;0.988515;0.707269;0.709390;0.994498;
3.883641;0.990786;0.706791;0.711550;0.994602;
3.977072;0.990474;0.706380;0.713141;0.994698;
4.070502;0.990234;0.706006;0.714779;0.994818;
4.151380;0.989959;0.705679;0.716229;0.994940;
4.224170;0.989763;0.705399;0.717558;0.995063;
4.296959;0.989532;0.705129;0.718909;0.995202;
4.362470;0.989434;0.704866;0.720139;0.995338;
4.427981;0.989086;0.704550;0.721384;0.995486;
4.493492;0.988465;0.704316;0.722640;0.995647;
4.624513;0.988775;0.703927;0.725173;0.995995;
4.755535;0.988106;0.703481;0.727729;0.996387;
4.886556;0.985524;0.703017;0.730294;0.996826;
5.017578;0.985613;0.702688;0.732852;0.997310;
5.148599;0.990436;0.702398;0.735382;0.997839;
5.279621;0.986479;0.701965;0.737865;0.998412;
5.410642;0.987086;0.701532;0.740284;0.999029;
5.541664;0.986851;0.701201;0.742616;0.999688;
5.600979;0.986790;0.701048;0.743637;1.000000;
5.600979;0.986784;0.701040;0.743637;1.000000;
5.600980;0.986745;0.701039;0.743637;1.000000;
5.600981;0.986745;0.701039;0.743637;1.000000;
5.600983;0.986747;0.701039;0.743637;1.000000;
5.600987;0.986745;0.701039;0.743637;1.000000;
5.600995;0.986745;0.701039;0.743638;1.000000;
5.601011;0.986745;0.701039;0.743638;1.000000;
5.601043;0.986744;0.701039;0.743638;1.000000;
5.601055;0.986744;0.701039;0.743639;1.000000;
5.601056;0.986744;0.701039;0.743639;1.000000;
5.601057;0.986744;0.701039;0.743639;1.000000;
5.601059;0.986744;0.701039;0.743639;1.000000;
5.601063;0.986744;0.701039;0.743639;1.000000;
5.601071;0.986744;0.701039;0.743639;1.000000;
5.601087;0.986744;0.701038;0.743639;1.000000;
5.601119;0.986744;0.701038;0.743640;1.000001;
5.601183;0.986744;0.701038;0.743641;1.000001;
5.601311;0.986744;0.701038;0.743643;1.000002;
5.601567;0.986744;0.701037;0.743647;1.000003;
5.602079;0.986743;0.701036;0.743656;1.000006;
5.603103;0.986741;0.701033;0.743674;1.000011;
5.605151;0.986737;0.701028;0.743709;1.000022;
5.609247;0.986730;0.701018;0.743778;1.000044;
5.617439;0.986716;0.700998;0.743918;1.000088;
5.633823;0.986687;0.700957;0.744195;1.000176;
5.666591;0.986630;0.700876;0.744744;1.000354;
5.732127;0.986518;0.700717;0.745817;1.000717;
5.863199;0.986301;0.700409;0.747853;1.001469;
5.994271;0.986190;0.700117;0.749727;1.002255;
6.125343;0.986188;0.699856;0.751418;1.003069;
6.256415;0.985847;0.699636;0.752904;1.003910;
6.387487;0.984314;0.699467;0.754163;1.004772;
6.518559;0.979841;0.699388;0.755172;1.005649;
6.649631;0.968260;0.699502;0.755907;1.006536;
6.911775;0.984866;0.698380;0.756476;1.008338;
6.977311;0.984787;0.698261;0.756429;1.008792;
7.108383;0.984656;0.698056;0.756083;1.009695;
7.173919;0.984574;0.697957;0.755783;1.010144;
7.304991;0.984450;0.697765;0.754910;1.011031;
7.436063;0.984353;0.697582;0.753664;1.011899;
7.567135;0.984184;0.697406;0.752031;1.012741;
7.698207;0.984065;0.697238;0.749998;1.013552;
7.829279;0.983950;0.697077;0.747557;1.014325;
7.947243;0.983852;0.696936;0.745003;1.014983;
8.065208;0.983757;0.696802;0.742109;1.015599;
8.183173;0.983665;0.696674;0.738869;1.016169;
8.301138;0.983577;0.696552;0.735284;1.016689;
8.419103;0.983492;0.696436;0.731353;1.017152;
8.537067;0.983413;0.696315;0.727080;1.017554;
8.655032;0.983330;0.696221;0.722467;1.017891;
8.772997;0.983259;0.696099;0.717522;1.018157;
8.890962;0.983186;0.695997;0.712251;1.018348;
9.008927;0.983116;0.695900;0.706665;1.018461;
9.126891;0.983049;0.695805;0.700776;1.018489;
9.244856;0.982985;0.695715;0.694596;1.018430;
9.362821;0.982923;0.695627;0.688143;1.018280;
9.480786;0.982863;0.695543;0.681433;1.018035;
9.598751;0.982806;0.695461;0.674488;1.017692;
9.716715;0.982751;0.695382;0.667328;1.017249;
9.834680;0.982698;0.695306;0.659979;1.016702;
9.952645;0.982641;0.695234;0.652467;1.016049;
10.000000;0.982631;0.695201;0.649408;1.015757;
