time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.005561;0.728046;0.700000;1.000000;
1.000001;1.005562;0.728032;0.700000;1.000000;
1.000002;1.005562;0.728032;0.700000;1.000000;
1.000004;1.005562;0.728033;0.700000;1.000000;
1.000008;1.005562;0.728032;0.700000;1.000000;
1.000016;1.005562;0.728032;0.700000;1.000000;
1.000032;1.005562;0.728032;0.700000;1.000000;
1.000064;1.005562;0.728031;0.700000;1.000000;
1.000128;1.005561;0.728030;0.700000;1.000000;
1.000256;1.005560;0.728029;0.700000;0.999999;
1.000512;1.005558;0.728026;0.700000;0.999998;
1.001024;1.005554;0.728020;0.700000;0.999996;
1.002048;1.005546;0.728008;0.700000;0.999993;
1.004096;1.005530;0.727985;0.700000;0.999986;
1.008192;1.005497;0.727938;0.700000;0.999971;
1.016384;1.005433;0.727845;0.700000;0.999943;
1.032768;1.005304;0.727658;0.700000;0.999886;
1.065536;1.005049;0.727289;0.700000;0.999774;
1.131072;1.004547;0.726562;0.700003;0.999554;
1.196608;1.004054;0.725851;0.700014;0.999340;
1.262144;1.003570;0.725155;0.700035;0.999133;
1.327680;1.003096;0.724474;0.700071;0.998933;
1.393216;1.002631;0.723808;0.700125;0.998738;
1.524288;1.001748;0.722519;0.700295;0.998369;
1.655360;1.000850;0.721281;0.700551;0.998025;
1.786432;0.999847;0.720097;0.700899;0.997708;
1.917504;0.998772;0.718963;0.701338;0.997418;
2.048576;0.997697;0.717878;0.701869;0.997155;
2.179648;0.996451;0.716841;0.702491;0.996920;
2.310720;0.994744;0.715855;0.703202;0.996713;
2.441792;0.992980;0.714921;0.703997;0.996536;
2.572864;0.992971;0.714018;0.704873;0.996388;
2.690829;0.995277;0.713214;0.705726;0.996281;
2.808793;0.994383;0.712483;0.706636;0.996198;
2.926758;0.992023;0.711777;0.707598;0.996141;
3.044723;0.993015;0.711073;0.708607;0.996108;
3.162688;0.995309;0.710360;0.709657;0.996101;
3.280653;0.985247;0.709883;0.710743;0.996118;
3.343418;0.992602;0.709386;0.711337;0.996142;
3.406184;0.993239;0.709549;0.711938;0.996170;
3.468950;0.991960;0.708795;0.712543;0.996208;
3.594481;0.991721;0.708127;0.713764;0.996300;
3.720612;0.991302;0.707530;0.715001;0.996420;
3.846743;0.990131;0.706983;0.716240;0.996568;
3.972874;0.989242;0.706445;0.717475;0.996743;
4.099005;0.989386;0.705904;0.718694;0.996945;
4.225135;0.988890;0.705380;0.719891;0.997174;
4.351266;0.985940;0.704934;0.721054;0.997427;
4.477397;0.986530;0.704583;0.722175;0.997704;
4.603528;1.001595;0.704225;0.723246;0.998002;
4.729659;1.005543;0.704509;0.724256;0.998314;
4.855790;0.988215;0.703130;0.725198;0.998655;
4.981920;0.987940;0.702711;0.726064;0.999017;
5.108051;0.987678;0.702380;0.726843;0.999396;
5.234182;0.987425;0.702026;0.727530;0.999792;
5.360313;0.987210;0.701716;0.728114;1.000200;
5.486444;0.986941;0.701282;0.728589;1.000621;
5.612575;0.986735;0.700958;0.728948;1.001053;
5.864836;0.986284;0.700384;0.729284;1.001932;
6.117098;0.985830;0.699837;0.729086;1.002822;
6.369360;0.985524;0.699317;0.728320;1.003705;
6.495491;0.985363;0.699077;0.727719;1.004140;
6.747752;0.985048;0.698625;0.726063;1.004976;
6.974788;0.984793;0.698249;0.724057;1.005682;
7.201823;0.984532;0.697899;0.721566;1.006328;
7.391646;0.984389;0.697628;0.719120;1.006813;
7.560194;0.984211;0.697400;0.716681;1.007196;
7.700859;0.984063;0.697220;0.714460;1.007477;
7.827457;0.983948;0.697064;0.712324;1.007696;
7.954055;0.983842;0.696915;0.710067;1.007882;
8.080654;0.983741;0.696772;0.707694;1.008034;
8.207252;0.983645;0.696635;0.705216;1.008148;
8.333850;0.983553;0.696503;0.702642;1.008224;
8.460449;0.983465;0.696377;0.699980;1.008260;
8.587047;0.983379;0.696255;0.697243;1.008256;
8.713645;0.983298;0.696139;0.694442;1.008210;
8.840244;0.983219;0.696027;0.691588;1.008121;
8.966842;0.983143;0.695920;0.688695;1.007989;
9.093440;0.983070;0.695818;0.685775;1.007814;
9.220039;0.982999;0.695719;0.682842;1.007595;
9.346637;0.982932;0.695625;0.679910;1.007332;
9.473236;0.982867;0.695534;0.676994;1.007026;
9.599834;0.982881;0.695453;0.674108;1.006677;
9.726432;0.982745;0.695364;0.671267;1.006286;
9.853031;0.982707;0.695286;0.668487;1.005854;
9.979629;0.982633;0.695207;0.665781;1.005382;
10.000000;0.982623;0.695195;0.665353;1.005302;
