time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.005561;0.728046;0.700000;1.000000;
1.000001;1.005562;0.728032;0.700000;1.000000;
1.000002;1.005562;0.728032;0.700000;1.000000;
1.000004;1.005562;0.728033;0.700000;1.000000;
1.000008;1.005562;0.728032;0.700000;1.000000;
1.000016;1.005562;0.728032;0.700000;1.000000;
1.000032;1.005562;0.728032;0.700000;1.000000;
1.000057;1.005562;0.728031;0.700000;1.000000;
1.000058;1.005562;0.728031;0.700000;1.000000;
1.000059;1.005562;0.728031;0.700000;1.000000;
1.000061;1.005562;0.728031;0.700000;1.000000;
1.000065;1.005562;0.728031;0.700000;1.000000;
1.000073;1.005562;0.728031;0.700000;1.000000;
1.000089;1.005562;0.728031;0.700000;1.000000;
1.000121;1.005561;0.728031;0.700000;1.000000;
1.000185;1.005561;0.728030;0.700000;0.999999;
1.000313;1.005560;0.728028;0.700000;0.999999;
1.000569;1.005558;0.728025;0.700000;0.999998;
1.001081;1.005554;0.728020;0.700000;0.999996;
1.002105;1.005546;0.728008;0.700000;0.999993;
1.004153;1.005529;0.727984;0.700000;0.999985;
1.008249;1.005497;0.727937;0.700000;0.999971;
1.016441;1.005432;0.727844;0.700000;0.999943;
1.032825;1.005304;0.727658;0.699999;0.999886;
1.065593;1.005049;0.727288;0.699996;0.999773;
1.131129;1.004546;0.726561;0.699973;0.999553;
1.262201;1.003573;0.725154;0.699861;0.999131;
1.393273;1.002615;0.723806;0.699670;0.998730;
1.524345;1.001660;0.722514;0.699425;0.998350;
1.655417;1.000709;0.721276;0.699155;0.997987;
1.786489;0.999739;0.720091;0.698884;0.997642;
1.917561;0.998672;0.718957;0.698634;0.997313;
2.048633;0.997419;0.717874;0.698422;0.997000;
2.179705;0.995963;0.716839;0.698259;0.996703;
2.310777;0.994347;0.715853;0.698154;0.996422;
2.441849;0.992439;0.714913;0.698113;0.996156;
2.572921;0.989555;0.714028;0.698142;0.995907;
2.703993;0.984673;0.713227;0.698244;0.995674;
2.835065;0.980038;0.712564;0.698422;0.995455;
2.966137;0.997673;0.712313;0.698676;0.995248;
3.097209;1.138331;0.718421;0.699000;0.994983;
3.129977;0.993412;0.710545;0.699092;0.994932;
3.195513;0.993162;0.710175;0.699289;0.994844;
3.261049;0.992904;0.709821;0.699505;0.994767;
3.392121;0.992421;0.709128;0.700000;0.994629;
3.523193;0.990337;0.708451;0.700582;0.994514;
3.654265;0.985108;0.707881;0.701251;0.994421;
3.785337;0.978277;0.707413;0.702007;0.994349;
3.916409;0.980682;0.707013;0.702847;0.994297;
4.047481;1.016579;0.706898;0.703770;0.994264;
4.178553;0.989910;0.705544;0.704772;0.994263;
4.309625;0.989550;0.705031;0.705855;0.994289;
4.375161;0.989378;0.704786;0.706435;0.994316;
4.506233;0.989051;0.704315;0.707670;0.994398;
4.615231;0.988732;0.703955;0.708747;0.994485;
4.724228;0.988528;0.703574;0.709872;0.994593;
4.822326;0.988299;0.703263;0.710923;0.994706;
4.920424;0.988088;0.702949;0.712010;0.994835;
5.008713;0.987844;0.702687;0.713016;0.994966;
5.097001;0.987736;0.702429;0.714050;0.995110;
5.176460;0.987554;0.702189;0.715001;0.995251;
5.255920;0.987213;0.701790;0.715973;0.995405;
5.335379;0.986266;0.701582;0.716964;0.995571;
5.494298;0.986946;0.701326;0.718988;0.995928;
5.653216;0.986339;0.700937;0.721075;0.996328;
5.812135;0.986394;0.700541;0.723219;0.996774;
5.971054;0.984324;0.700054;0.725412;0.997269;
6.129973;0.984072;0.699796;0.727645;0.997812;
6.288891;0.986609;0.699592;0.729907;0.998401;
6.447810;0.983984;0.699176;0.732185;0.999038;
6.606729;0.978724;0.698821;0.734468;0.999723;
6.668462;0.981495;0.698892;0.735352;1.000000;
6.668462;0.985161;0.698790;0.735352;1.000000;
6.668463;0.985161;0.698790;0.735352;1.000000;
6.668464;0.985161;0.698790;0.735352;1.000000;
6.668466;0.985161;0.698790;0.735352;1.000000;
6.668470;0.985161;0.698790;0.735352;1.000000;
6.668478;0.985161;0.698790;0.735352;1.000000;
6.668494;0.985161;0.698790;0.735352;1.000000;
6.668526;0.985161;0.698790;0.735353;1.000000;
6.668549;0.985161;0.698790;0.735353;1.000000;
6.668550;0.985161;0.698790;0.735353;1.000000;
6.668551;0.985161;0.698790;0.735353;1.000000;
6.668553;0.985161;0.698790;0.735353;1.000000;
6.668557;0.985161;0.698790;0.735353;1.000000;
6.668565;0.985161;0.698790;0.735353;1.000000;
6.668581;0.985161;0.698790;0.735353;1.000000;
6.668613;0.985161;0.698790;0.735354;1.000000;
6.668677;0.985161;0.698790;0.735355;1.000001;
6.668805;0.985161;0.698790;0.735357;1.000001;
6.669061;0.985160;0.698789;0.735360;1.000003;
6.669573;0.985160;0.698788;0.735368;1.000005;
6.670597;0.985158;0.698787;0.735382;1.000010;
6.672645;0.985156;0.698783;0.735412;1.000019;
6.676741;0.985151;0.698776;0.735471;1.000038;
6.684933;0.985141;0.698761;0.735588;1.000075;
6.701317;0.985120;0.698733;0.735823;1.000151;
6.734085;0.985080;0.698676;0.736292;1.000304;
6.799621;0.985001;0.698563;0.737228;1.000615;
6.930693;0.984848;0.698346;0.739084;1.001261;
7.061765;0.984771;0.698139;0.740915;1.001937;
7.192837;0.984783;0.697952;0.742711;1.002642;
7.323909;0.984637;0.697788;0.744466;1.003376;
7.454981;0.983912;0.697652;0.746168;1.004137;
7.586053;0.981758;0.697564;0.747810;1.004923;
7.717125;0.976073;0.697567;0.749380;1.005731;
7.848197;0.961740;0.697785;0.750869;1.006559;
7.979269;0.926327;0.698692;0.752265;1.007395;
8.241413;0.983623;0.696615;0.754728;1.009157;
8.294388;0.983586;0.696561;0.755172;1.009525;
8.400338;0.983517;0.696452;0.755999;1.010266;
8.506289;0.983441;0.696348;0.756739;1.011016;
8.718189;0.983293;0.696148;0.757929;1.012535;
8.771164;0.983266;0.696102;0.758166;1.012919;
8.877114;0.983219;0.696010;0.758557;1.013688;
8.930090;0.983168;0.695965;0.758711;1.014074;
9.036040;0.983126;0.695877;0.758931;1.014847;
9.089015;0.983076;0.695834;0.758997;1.015233;
9.194965;0.983057;0.695751;0.759032;1.016005;
9.247940;0.982989;0.695711;0.759001;1.016390;
9.353891;0.982932;0.695632;0.758838;1.017157;
9.406866;0.982906;0.695593;0.758704;1.017539;
9.512816;0.982852;0.695518;0.758330;1.018297;
9.565791;0.982829;0.695481;0.758088;1.018673;
9.671741;0.982775;0.695411;0.757490;1.019419;
9.724716;0.982756;0.695375;0.757133;1.019787;
9.830667;0.982703;0.695310;0.756299;1.020515;
9.936617;0.982657;0.695260;0.755300;1.021227;
10.000000;0.982630;0.695205;0.754623;1.021646;
