time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.005561;0.728046;0.700000;1.000000;
1.000001;1.005562;0.728032;0.700000;1.000000;
1.000002;1.005562;0.728032;0.700000;1.000000;
1.000004;1.005562;0.728033;0.700000;1.000000;
1.000008;1.005562;0.728032;0.700000;1.000000;
1.000016;1.005562;0.728032;0.700000;1.000000;
1.000032;1.005562;0.728032;0.700000;1.000000;
1.000057;1.005562;0.728031;0.700000;1.000000;
1.000058;1.005562;0.728031;0.700000;1.000000;
1.000059;1.005562;0.728031;0.700000;1.000000;
1.000061;1.005562;0.728031;0.700000;1.000000;
1.000065;1.005562;0.728031;0.700000;1.000000;
1.000073;1.005562;0.728031;0.700000;1.000000;
1.000089;1.005562;0.728031;0.700000;1.000000;
1.000121;1.005561;0.728031;0.700000;1.000000;
1.000185;1.005561;0.728030;0.700000;0.999999;
1.000313;1.005560;0.728028;0.700000;0.999999;
1.000569;1.005558;0.728025;0.700000;0.999998;
1.001081;1.005554;0.728020;0.700000;0.999996;
1.002105;1.005546;0.728008;0.700000;0.999993;
1.004153;1.005529;0.727984;0.700000;0.999985;
1.008249;1.005497;0.727937;0.700000;0.999971;
1.016441;1.005432;0.727844;0.700000;0.999943;
1.032825;1.005304;0.727658;0.700000;0.999886;
1.065593;1.005049;0.727288;0.700000;0.999773;
1.131129;1.004546;0.726561;0.699999;0.999554;
1.262201;1.003573;0.725154;0.699996;0.999133;
1.393273;1.002612;0.723806;0.699989;0.998736;
1.524345;1.001648;0.722514;0.699978;0.998363;
1.655417;1.000684;0.721276;0.699964;0.998011;
1.786489;0.999702;0.720091;0.699946;0.997681;
1.917561;0.998637;0.718958;0.699926;0.997371;
2.048633;0.997418;0.717874;0.699904;0.997081;
2.179705;0.996056;0.716839;0.699882;0.996809;
2.310777;0.994605;0.715852;0.699859;0.996554;
2.441849;0.992906;0.714909;0.699838;0.996315;
2.572921;0.990271;0.714022;0.699818;0.996093;
2.703993;0.986024;0.713213;0.699803;0.995885;
2.835065;0.983787;0.712514;0.699791;0.995690;
2.966137;1.006921;0.712086;0.699785;0.995505;
3.097209;1.140504;0.716781;0.699785;0.995272;
3.228281;0.993002;0.709987;0.699793;0.995099;
3.359353;0.992567;0.709285;0.699807;0.994953;
3.490425;0.992071;0.708631;0.699831;0.994825;
3.621497;0.991632;0.707983;0.699864;0.994710;
3.752569;0.991189;0.707369;0.699907;0.994607;
3.883641;0.988778;0.706702;0.699961;0.994517;
4.014713;0.983536;0.706196;0.700027;0.994437;
4.145785;0.978811;0.705812;0.700104;0.994365;
4.407929;0.989287;0.704660;0.700297;0.994256;
4.643858;0.988700;0.703823;0.700514;0.994193;
4.879788;0.988153;0.703043;0.700774;0.994160;
5.115718;0.987646;0.702322;0.701079;0.994159;
5.351647;0.987178;0.701656;0.701427;0.994187;
5.410630;0.987068;0.701497;0.701522;0.994200;
5.528594;0.986857;0.701196;0.701724;0.994233;
5.646559;0.986709;0.700911;0.701937;0.994273;
5.764524;0.986459;0.700625;0.702160;0.994320;
6.000454;0.986043;0.700090;0.702631;0.994432;
6.118418;0.985897;0.699836;0.702881;0.994497;
6.354348;0.985507;0.699356;0.703410;0.994650;
6.590278;0.985143;0.698912;0.703978;0.994830;
6.826207;0.984815;0.698500;0.704583;0.995039;
7.062137;0.984580;0.698120;0.705223;0.995276;
7.298066;0.984361;0.697768;0.705896;0.995541;
7.533996;0.984154;0.697442;0.706598;0.995834;
7.769926;0.983960;0.697140;0.707327;0.996155;
8.005855;0.983815;0.696868;0.708081;0.996503;
8.241785;0.983602;0.696603;0.708855;0.996878;
8.477714;0.983429;0.696364;0.709646;0.997281;
8.713644;0.983287;0.696142;0.710452;0.997710;
8.949574;0.983201;0.695951;0.711267;0.998165;
9.185503;0.982965;0.695749;0.712089;0.998646;
9.421433;0.982889;0.695572;0.712913;0.999152;
9.657362;0.982646;0.695312;0.713735;0.999685;
9.791971;0.982731;0.695228;0.714202;1.000000;
9.791971;0.982713;0.695321;0.714202;1.000000;
9.791972;0.982714;0.695323;0.714202;1.000000;
9.791973;0.982714;0.695323;0.714202;1.000000;
9.791975;0.982714;0.695323;0.714202;1.000000;
9.791979;0.982714;0.695323;0.714202;1.000000;
9.791987;0.982714;0.695323;0.714202;1.000000;
9.792003;0.982714;0.695323;0.714202;1.000000;
9.792035;0.982714;0.695323;0.714202;1.000000;
9.792099;0.982714;0.695323;0.714202;1.000000;
9.792140;0.982714;0.695323;0.714202;1.000000;
9.792141;0.982714;0.695323;0.714202;1.000000;
9.792142;0.982714;0.695323;0.714202;1.000000;
9.792144;0.982714;0.695323;0.714202;1.000000;
9.792148;0.982714;0.695323;0.714202;1.000000;
9.792156;0.982714;0.695323;0.714202;1.000000;
9.792172;0.982714;0.695323;0.714202;1.000000;
9.792204;0.982714;0.695323;0.714203;1.000000;
9.792268;0.982713;0.695323;0.714203;1.000001;
9.792396;0.982713;0.695322;0.714203;1.000001;
9.792652;0.982713;0.695322;0.714204;1.000001;
9.793164;0.982713;0.695322;0.714206;1.000003;
9.794188;0.982713;0.695321;0.714209;1.000005;
9.796236;0.982712;0.695320;0.714217;1.000010;
9.800332;0.982710;0.695317;0.714231;1.000020;
9.808524;0.982706;0.695312;0.714259;1.000039;
9.824908;0.982699;0.695302;0.714316;1.000078;
9.857676;0.982685;0.695282;0.714429;1.000156;
9.923212;0.982656;0.695242;0.714655;1.000313;
10.000000;0.982624;0.695196;0.714919;1.000500;
