time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.005561;0.728046;0.700000;1.000000;
1.000001;1.005562;0.728032;0.700000;1.000000;
1.000002;1.005562;0.728032;0.700000;1.000000;
1.000004;1.005562;0.728033;0.700000;1.000000;
1.000008;1.005562;0.728032;0.700000;1.000000;
1.000016;1.005562;0.728032;0.700000;1.000000;
1.000032;1.005562;0.728032;0.700000;1.000000;
1.000064;1.005562;0.728031;0.700000;1.000000;
1.000128;1.005561;0.728030;0.700000;1.000000;
1.000256;1.005560;0.728029;0.700000;0.999999;
1.000512;1.005558;0.728026;0.700000;0.999998;
1.001024;1.005554;0.728020;0.700000;0.999996;
1.002048;1.005546;0.728008;0.700000;0.999993;
1.004096;1.005530;0.727985;0.700000;0.999986;
1.008192;1.005497;0.727938;0.700000;0.999971;
1.016384;1.005433;0.727845;0.700000;0.999943;
1.032768;1.005304;0.727658;0.699999;0.999886;
1.065536;1.005049;0.727289;0.699992;0.999774;
1.131072;1.004547;0.726562;0.699965;0.999554;
1.262144;1.003573;0.725155;0.699891;0.999131;
1.393216;1.002613;0.723806;0.699821;0.998733;
1.524288;1.001652;0.722514;0.699779;0.998356;
1.655360;1.000686;0.721277;0.699768;0.998002;
1.786432;0.999698;0.720092;0.699781;0.997669;
1.917504;0.998621;0.718958;0.699811;0.997357;
2.048576;0.997386;0.717874;0.699853;0.997065;
2.179648;0.996001;0.716840;0.699901;0.996793;
2.310720;0.994528;0.715853;0.699954;0.996539;
2.441792;0.992831;0.714911;0.700010;0.996303;
2.572864;0.990229;0.714022;0.700067;0.996084;
2.703936;0.985946;0.713214;0.700125;0.995881;
2.835008;0.983190;0.712521;0.700181;0.995692;
2.966080;1.004734;0.712122;0.700237;0.995513;
3.097152;1.137402;0.716823;0.700285;0.995287;
3.228224;0.992996;0.709987;0.700333;0.995122;
3.359296;0.992572;0.709285;0.700384;0.994985;
3.490368;0.992071;0.708631;0.700438;0.994866;
3.621440;0.991632;0.707977;0.700494;0.994761;
3.752512;0.991189;0.707369;0.700549;0.994669;
3.883584;0.988834;0.706707;0.700602;0.994588;
4.014656;0.983862;0.706197;0.700653;0.994518;
4.145728;0.979665;0.705796;0.700703;0.994457;
4.407872;0.989288;0.704660;0.700799;0.994365;
4.643801;0.988700;0.703822;0.700883;0.994312;
4.879731;0.988153;0.703042;0.700967;0.994287;
5.115661;0.987646;0.702322;0.701051;0.994287;
5.351590;0.987178;0.701656;0.701137;0.994309;
5.469555;0.986988;0.701346;0.701181;0.994331;
5.705485;0.986550;0.700773;0.701272;0.994395;
5.903092;0.986239;0.700325;0.701350;0.994461;
6.100699;0.985944;0.699903;0.701431;0.994538;
6.298305;0.985678;0.699544;0.701514;0.994626;
6.693519;0.985197;0.698773;0.701686;0.994828;
6.792323;0.985025;0.698600;0.701731;0.994885;
6.989930;0.984785;0.698273;0.701822;0.995004;
7.187537;0.984573;0.697967;0.701916;0.995133;
7.582751;0.984201;0.697408;0.702111;0.995416;
7.681554;0.984096;0.697282;0.702161;0.995492;
7.879161;0.983920;0.697037;0.702264;0.995649;
8.274375;0.983610;0.696596;0.702475;0.995985;
8.669589;0.983352;0.696201;0.702694;0.996347;
9.064803;0.983108;0.695858;0.702919;0.996733;
9.460017;0.982883;0.695558;0.703147;0.997140;
9.855231;0.982693;0.695294;0.703377;0.997566;
10.000000;0.982631;0.695206;0.703461;0.997727;
