time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.005561;0.728046;0.700000;1.000000;
1.000001;1.005562;0.728032;0.700000;1.000000;
1.000002;1.005562;0.728032;0.700000;1.000000;
1.000004;1.005562;0.728033;0.700000;1.000000;
1.000008;1.005562;0.728032;0.700000;1.000000;
1.000016;1.005562;0.728032;0.700000;1.000000;
1.000032;1.005562;0.728032;0.700000;1.000000;
1.000064;1.005562;0.728031;0.700000;1.000000;
1.000128;1.005561;0.728030;0.700000;1.000000;
1.000256;1.005560;0.728029;0.700000;0.999999;
1.000512;1.005558;0.728026;0.700000;0.999998;
1.001024;1.005554;0.728020;0.700000;0.999996;
1.002048;1.005546;0.728008;0.700000;0.999993;
1.004096;1.005530;0.727985;0.700000;0.999986;
1.008192;1.005497;0.727938;0.700000;0.999971;
1.016384;1.005433;0.727845;0.700000;0.999943;
1.032768;1.005304;0.727658;0.699998;0.999886;
1.065536;1.005049;0.727289;0.699982;0.999774;
1.131072;1.004547;0.726562;0.699867;0.999553;
1.196608;1.004054;0.725851;0.699636;0.999337;
1.262144;1.003571;0.725155;0.699306;0.999126;
1.327680;1.003098;0.724474;0.698915;0.998917;
1.458752;1.002189;0.723156;0.698118;0.998508;
1.589824;1.001304;0.721892;0.697386;0.998110;
1.720896;1.000375;0.720682;0.696791;0.997723;
1.851968;0.999352;0.719523;0.696357;0.997349;
1.983040;0.998229;0.718413;0.696089;0.996990;
2.114112;0.996843;0.717353;0.695988;0.996647;
2.245184;0.994867;0.716346;0.696053;0.996322;
2.376256;0.992282;0.715392;0.696286;0.996017;
2.507328;0.990291;0.714481;0.696687;0.995735;
2.638400;0.991694;0.713571;0.697256;0.995476;
2.769472;0.996853;0.712669;0.697994;0.995245;
2.900544;0.983619;0.712976;0.698893;0.995029;
2.987852;0.993987;0.711367;0.699580;0.994906;
3.075161;0.993616;0.710832;0.700338;0.994800;
3.162470;0.993259;0.710364;0.701168;0.994709;
3.249778;0.992521;0.709594;0.702072;0.994635;
3.337087;0.991456;0.709073;0.703047;0.994577;
3.424395;0.990671;0.708698;0.704092;0.994536;
3.511704;0.990428;0.708346;0.705204;0.994511;
3.599013;0.989206;0.707789;0.706379;0.994504;
3.686321;0.991406;0.707678;0.707614;0.994513;
3.770494;0.991137;0.707294;0.708882;0.994546;
3.854667;0.990859;0.706933;0.710198;0.994597;
3.938839;0.990620;0.706555;0.711557;0.994666;
4.023012;0.990334;0.706204;0.712945;0.994747;
4.191357;0.989887;0.705511;0.715834;0.994962;
4.328217;0.989507;0.704983;0.718282;0.995190;
4.465077;0.989156;0.704470;0.720809;0.995467;
4.601937;0.986549;0.703897;0.723398;0.995796;
4.738796;0.984243;0.703517;0.726035;0.996175;
4.875656;0.986898;0.703235;0.728699;0.996604;
5.012516;0.990789;0.702794;0.731369;0.997082;
5.149376;0.976163;0.702195;0.734027;0.997613;
5.286236;0.987291;0.701852;0.736653;0.998193;
5.423095;0.987042;0.701462;0.739226;0.998821;
5.559955;0.986822;0.701142;0.741722;0.999494;
5.696815;0.986591;0.700783;0.744117;1.000213;
5.833675;0.986334;0.700454;0.746388;1.000972;
5.970535;0.986138;0.700315;0.748509;1.001769;
6.107394;0.985896;0.699886;0.750455;1.002603;
6.244254;0.985686;0.699553;0.752203;1.003469;
6.381114;0.985520;0.699300;0.753730;1.004363;
6.517974;0.986069;0.698912;0.755010;1.005283;
6.654833;0.985165;0.698793;0.756021;1.006221;
6.791693;0.984994;0.698556;0.756736;1.007172;
6.928553;0.984839;0.698329;0.757133;1.008131;
6.996983;0.984759;0.698220;0.757208;1.008612;
7.133843;0.984614;0.698008;0.757087;1.009573;
7.202273;0.984537;0.697906;0.756890;1.010051;
7.339132;0.984414;0.697708;0.756205;1.010999;
7.475992;0.984264;0.697519;0.755120;1.011930;
7.612852;0.984136;0.697338;0.753620;1.012836;
7.749712;0.984013;0.697167;0.751689;1.013711;
7.886572;0.983896;0.697007;0.749314;1.014548;
8.009745;0.983795;0.696860;0.746790;1.015261;
8.132919;0.983698;0.696725;0.743891;1.015932;
8.256093;0.983604;0.696597;0.740615;1.016554;
8.379267;0.983517;0.696463;0.736957;1.017122;
8.502441;0.983431;0.696343;0.732918;1.017629;
8.625614;0.983348;0.696228;0.728498;1.018071;
8.748788;0.983268;0.696118;0.723701;1.018441;
8.871962;0.983191;0.696013;0.718533;1.018735;
8.995136;0.983116;0.695912;0.713000;1.018947;
9.118310;0.983044;0.695815;0.707113;1.019071;
9.241483;0.982976;0.695722;0.700885;1.019103;
9.364657;0.982910;0.695632;0.694330;1.019039;
9.487831;0.982848;0.695545;0.687465;1.018873;
9.611005;0.982789;0.695460;0.680310;1.018601;
9.734179;0.982734;0.695378;0.672888;1.018221;
9.857352;0.982681;0.695298;0.665222;1.017727;
9.980526;0.982630;0.695220;0.657341;1.017119;
10.000000;0.982625;0.695197;0.656076;1.017012;
