time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.013306;0.770095;0.700000;1.000000;
1.000001;1.013315;0.770105;0.700000;1.000000;
1.000002;1.013315;0.770105;0.700000;1.000000;
1.000004;1.013314;0.770104;0.700000;1.000000;
1.000008;1.013315;0.770105;0.700000;1.000000;
1.000016;1.013315;0.770105;0.700000;1.000000;
1.000023;1.013314;0.770105;0.700000;1.000000;
1.000024;1.013314;0.770104;0.700000;1.000000;
1.000025;1.013314;0.770104;0.700000;1.000000;
1.000027;1.013314;0.770104;0.700000;1.000000;
1.000031;1.013314;0.770104;0.700000;1.000000;
1.000039;1.013314;0.770104;0.700000;1.000000;
1.000055;1.013314;0.770104;0.700000;1.000000;
1.000087;1.013313;0.770103;0.700000;0.999999;
1.000151;1.013312;0.770101;0.700000;0.999999;
1.000279;1.013309;0.770097;0.700000;0.999998;
1.000535;1.013304;0.770089;0.700000;0.999995;
1.001047;1.013294;0.770073;0.700000;0.999991;
1.002071;1.013273;0.770042;0.700001;0.999982;
1.004119;1.013233;0.769980;0.700003;0.999964;
1.008215;1.013151;0.769856;0.700013;0.999928;
1.016407;1.012988;0.769609;0.700052;0.999857;
1.032791;1.012663;0.769115;0.700202;0.999715;
1.049175;1.012341;0.768625;0.700448;0.999575;
1.065559;1.012020;0.768138;0.700784;0.999436;
1.081943;1.011700;0.767654;0.701207;0.999300;
1.098327;1.011383;0.767172;0.701712;0.999165;
1.114711;1.011067;0.766693;0.702294;0.999033;
1.131095;1.010753;0.766217;0.702949;0.998902;
1.147479;1.010441;0.765744;0.703673;0.998775;
1.163863;1.010130;0.765273;0.704462;0.998649;
1.180247;1.009822;0.764806;0.705311;0.998527;
1.196631;1.009514;0.764341;0.706216;0.998407;
1.213015;1.009209;0.763878;0.707174;0.998291;
1.229399;1.008905;0.763419;0.708179;0.998177;
1.245783;1.008603;0.762962;0.709229;0.998066;
1.262167;1.008302;0.762508;0.710320;0.997959;
1.278551;1.008003;0.762056;0.711447;0.997854;
1.294935;1.007706;0.761607;0.712607;0.997753;
1.311319;1.007411;0.761161;0.713797;0.997656;
1.327703;1.007117;0.760717;0.715013;0.997562;
1.344087;1.006824;0.760276;0.716251;0.997471;
1.360471;1.006533;0.759837;0.717509;0.997384;
1.376855;1.006244;0.759401;0.718783;0.997300;
1.391600;1.005989;0.759011;0.719941;0.997228;
1.406346;1.005732;0.758623;0.721107;0.997159;
1.421091;1.005475;0.758237;0.722280;0.997092;
1.435837;1.005221;0.757852;0.723456;0.997029;
1.450583;1.004967;0.757470;0.724635;0.996968;
1.465328;1.004715;0.757090;0.725814;0.996910;
1.480074;1.004464;0.756712;0.726991;0.996856;
1.494819;1.004214;0.756336;0.728164;0.996804;
1.509565;1.003965;0.755962;0.729333;0.996755;
1.524311;1.003718;0.755589;0.730494;0.996708;
1.539056;1.003472;0.755219;0.731647;0.996665;
1.553802;1.003227;0.754851;0.732790;0.996624;
1.568547;1.002983;0.754484;0.733921;0.996587;
1.583293;1.002741;0.754120;0.735039;0.996552;
1.598039;1.002500;0.753757;0.736143;0.996519;
1.612784;1.002260;0.753396;0.737231;0.996490;
1.627530;1.002023;0.753037;0.738303;0.996463;
1.642275;1.001785;0.752680;0.739356;0.996439;
1.657021;1.001550;0.752325;0.740390;0.996417;
1.671767;1.001315;0.751972;0.741404;0.996398;
1.686512;1.001081;0.751620;0.742397;0.996381;
1.701258;1.000848;0.751271;0.743368;0.996367;
1.716003;1.000616;0.750923;0.744316;0.996355;
1.730749;1.000385;0.750577;0.745240;0.996346;
1.745495;1.000155;0.750233;0.746140;0.996339;
1.760240;0.999927;0.749891;0.747014;0.996334;
1.774986;0.999699;0.749550;0.747863;0.996332;
1.789731;0.999473;0.749211;0.748685;0.996331;
1.804477;0.999248;0.748874;0.749480;0.996333;
1.819223;0.999024;0.748539;0.750248;0.996337;
1.833968;0.998801;0.748205;0.750988;0.996343;
1.848714;0.998579;0.747873;0.751700;0.996350;
1.863459;0.998359;0.747543;0.752383;0.996360;
1.878205;0.998139;0.747215;0.753038;0.996372;
1.892951;0.997921;0.746888;0.753663;0.996385;
1.907696;0.997704;0.746563;0.754259;0.996400;
1.922442;0.997488;0.746240;0.754826;0.996416;
1.937187;0.997273;0.745919;0.755363;0.996435;
1.951933;0.997059;0.745599;0.755871;0.996454;
1.966679;0.996846;0.745280;0.756349;0.996476;
1.981424;0.996634;0.744964;0.756797;0.996498;
1.996170;0.996423;0.744649;0.757216;0.996523;
2.010915;0.996213;0.744335;0.757606;0.996548;
2.025661;0.996005;0.744024;0.757966;0.996575;
2.040407;0.995797;0.743714;0.758296;0.996603;
2.055152;0.995591;0.743405;0.758598;0.996632;
2.069898;0.995385;0.743098;0.758872;0.996662;
2.084643;0.995181;0.742793;0.759116;0.996693;
2.099389;0.994978;0.742489;0.759332;0.996725;
2.114135;0.994775;0.742187;0.759521;0.996758;
2.128880;0.994573;0.741887;0.759681;0.996792;
2.143626;0.994373;0.741588;0.759815;0.996826;
2.158371;0.994176;0.741290;0.759921;0.996862;
2.173117;0.993975;0.740994;0.760001;0.996898;
2.187863;0.993775;0.740700;0.760055;0.996935;
2.202608;0.993590;0.740407;0.760084;0.996972;
2.217354;0.993394;0.740115;0.760087;0.997010;
2.232099;0.993160;0.739826;0.760065;0.997049;
2.246845;0.992999;0.739539;0.760019;0.997088;
2.261591;0.992930;0.739250;0.759950;0.997127;
2.276336;0.992526;0.738962;0.759857;0.997167;
2.291082;0.991992;0.738690;0.759741;0.997207;
2.305827;0.992889;0.738413;0.759603;0.997247;
2.335319;0.991859;0.737839;0.759265;0.997328;
2.364810;0.991486;0.737284;0.758844;0.997410;
2.394301;0.991116;0.736735;0.758347;0.997492;
2.423792;0.990752;0.736192;0.757777;0.997573;
2.453283;0.990390;0.735654;0.757140;0.997655;
2.482775;0.990032;0.735122;0.756439;0.997736;
2.512266;0.989678;0.734595;0.755681;0.997816;
2.541757;0.989326;0.734074;0.754870;0.997896;
2.571248;0.988978;0.733558;0.754011;0.997974;
2.600739;0.988634;0.733047;0.753108;0.998050;
2.630231;0.988293;0.732542;0.752166;0.998125;
2.659722;0.987955;0.732042;0.751189;0.998198;
2.686264;0.987655;0.731596;0.750285;0.998263;
2.712806;0.987357;0.731155;0.749359;0.998325;
2.739348;0.987061;0.730717;0.748416;0.998386;
2.765890;0.986768;0.730284;0.747458;0.998446;
2.792432;0.986478;0.729854;0.746488;0.998503;
2.818974;0.986191;0.729429;0.745508;0.998559;
2.845516;0.985905;0.729007;0.744523;0.998612;
2.872058;0.985623;0.728589;0.743533;0.998664;
2.898601;0.985343;0.728176;0.742542;0.998714;
2.925143;0.985066;0.727766;0.741551;0.998762;
2.951685;0.984791;0.727359;0.740564;0.998808;
2.978227;0.984518;0.726957;0.739581;0.998851;
3.004769;0.984248;0.726558;0.738606;0.998893;
3.031311;0.983980;0.726163;0.737640;0.998933;
3.057853;0.983715;0.725772;0.736684;0.998972;
3.084395;0.983452;0.725384;0.735740;0.999008;
3.110937;0.983191;0.725000;0.734810;0.999042;
3.137479;0.982933;0.724619;0.733895;0.999075;
3.164021;0.982677;0.724242;0.732996;0.999105;
3.190563;0.982424;0.723868;0.732115;0.999134;
3.217106;0.982172;0.723498;0.731251;0.999162;
3.243648;0.981923;0.723131;0.730407;0.999187;
3.270190;0.981676;0.722767;0.729582;0.999212;
3.296732;0.981432;0.722407;0.728778;0.999234;
3.323274;0.981189;0.722050;0.727995;0.999255;
3.349816;0.980949;0.721697;0.727233;0.999275;
3.376358;0.980711;0.721346;0.726493;0.999293;
3.402900;0.980475;0.720999;0.725775;0.999311;
3.429442;0.980241;0.720655;0.725079;0.999326;
3.455984;0.980009;0.720314;0.724406;0.999341;
3.482526;0.979780;0.719977;0.723754;0.999355;
3.509068;0.979552;0.719642;0.723125;0.999368;
3.535610;0.979326;0.719311;0.722518;0.999379;
3.562153;0.979103;0.718982;0.721933;0.999390;
3.588695;0.978881;0.718657;0.721370;0.999400;
3.615237;0.978663;0.718335;0.720828;0.999409;
3.641779;0.978444;0.718015;0.720306;0.999418;
3.668321;0.978229;0.717699;0.719806;0.999426;
3.694863;0.978016;0.717385;0.719325;0.999433;
3.721405;0.977803;0.717074;0.718864;0.999440;
3.747947;0.977593;0.716766;0.718421;0.999446;
3.774489;0.977385;0.716461;0.717997;0.999452;
3.801031;0.977179;0.716159;0.717591;0.999457;
3.827573;0.976974;0.715859;0.717202;0.999462;
3.854115;0.976772;0.715563;0.716830;0.999467;
3.880658;0.976571;0.715269;0.716474;0.999472;
3.933742;0.976175;0.714688;0.715805;0.999480;
3.986826;0.975786;0.714119;0.715192;0.999489;
4.039910;0.975404;0.713560;0.714628;0.999497;
4.092994;0.975029;0.713011;0.714109;0.999505;
4.146078;0.974660;0.712472;0.713629;0.999514;
4.199162;0.974298;0.711943;0.713184;0.999522;
4.252247;0.973942;0.711423;0.712767;0.999532;
4.305331;0.973593;0.710913;0.712375;0.999542;
4.358415;0.973249;0.710412;0.712003;0.999553;
4.411499;0.972912;0.709920;0.711647;0.999565;
4.464583;0.972581;0.709437;0.711304;0.999578;
4.517667;0.972256;0.708963;0.710969;0.999592;
4.570752;0.971937;0.708498;0.710640;0.999606;
4.623836;0.971623;0.708041;0.710315;0.999621;
4.676920;0.971315;0.707592;0.709991;0.999638;
4.730004;0.971013;0.707151;0.709666;0.999655;
4.783088;0.970716;0.706719;0.709339;0.999672;
4.836172;0.970424;0.706294;0.709008;0.999691;
4.889257;0.970138;0.705877;0.708672;0.999709;
4.942341;0.969856;0.705467;0.708332;0.999729;
4.995425;0.969580;0.705065;0.707986;0.999748;
5.048509;0.969309;0.704670;0.707635;0.999768;
5.101593;0.969042;0.704283;0.707278;0.999789;
5.154677;0.968780;0.703902;0.706916;0.999809;
5.207762;0.968523;0.703528;0.706548;0.999829;
5.313930;0.968023;0.702801;0.705802;0.999870;
5.420098;0.967539;0.702099;0.705045;0.999909;
5.526266;0.967073;0.701423;0.704282;0.999948;
5.619723;0.966676;0.700847;0.703611;0.999981;
5.674574;0.966449;0.700518;0.703219;1.000000;
5.674575;0.966449;0.700518;0.703219;1.000000;
5.674576;0.966449;0.700518;0.703219;1.000000;
5.674578;0.966449;0.700518;0.703218;1.000000;
5.674582;0.966449;0.700518;0.703218;1.000000;
5.674590;0.966449;0.700518;0.703218;1.000000;
5.674606;0.966449;0.700518;0.703218;1.000000;
5.674638;0.966449;0.700518;0.703218;1.000000;
5.674702;0.966449;0.700517;0.703218;1.000000;
5.674830;0.966448;0.700517;0.703217;1.000000;
5.675086;0.966447;0.700515;0.703215;1.000000;
5.675598;0.966445;0.700512;0.703211;1.000000;
