time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.005561;0.728046;0.700000;1.000000;
1.000001;1.005562;0.728032;0.700000;1.000000;
1.000002;1.005562;0.728032;0.700000;1.000000;
1.000004;1.005562;0.728033;0.700000;1.000000;
1.000008;1.005562;0.728032;0.700000;1.000000;
1.000016;1.005562;0.728032;0.700000;1.000000;
1.000032;1.005562;0.728032;0.700000;1.000000;
1.000064;1.005562;0.728031;0.700000;1.000000;
1.000128;1.005561;0.728030;0.700000;1.000000;
1.000256;1.005560;0.728029;0.700000;0.999999;
1.000512;1.005558;0.728026;0.700000;0.999998;
1.001024;1.005554;0.728020;0.700000;0.999996;
1.002048;1.005546;0.728008;0.700000;0.999993;
1.004096;1.005530;0.727985;0.700000;0.999986;
1.008192;1.005497;0.727938;0.700000;0.999971;
1.016384;1.005433;0.727845;0.700000;0.999943;
1.032768;1.005304;0.727658;0.700000;0.999886;
1.065536;1.005049;0.727289;0.700001;0.999774;
1.131072;1.004547;0.726562;0.700008;0.999554;
1.196608;1.004054;0.725851;0.700030;0.999341;
1.327680;1.003102;0.724474;0.700152;0.998934;
1.458752;1.002154;0.723154;0.700409;0.998554;
1.589824;1.001175;0.721890;0.700836;0.998203;
1.720896;1.000163;0.720679;0.701456;0.997882;
1.851968;0.999111;0.719520;0.702278;0.997595;
1.983040;0.997938;0.718412;0.703305;0.997342;
2.114112;0.996594;0.717354;0.704528;0.997126;
2.245184;0.995228;0.716346;0.705934;0.996950;
2.363149;0.996852;0.715474;0.707341;0.996827;
2.481113;0.996431;0.714671;0.708864;0.996737;
2.587282;0.995789;0.713903;0.710317;0.996688;
2.693450;0.995281;0.713197;0.711833;0.996667;
2.799618;0.994790;0.712517;0.713394;0.996677;
2.852703;0.994560;0.712188;0.714190;0.996696;
2.907819;0.994327;0.711853;0.715020;0.996725;
2.962936;0.994075;0.711516;0.715850;0.996761;
3.018052;0.993782;0.711192;0.716677;0.996805;
3.128285;0.993555;0.710570;0.718318;0.996911;
3.229593;0.993036;0.710007;0.719797;0.997034;
3.330901;0.992435;0.709466;0.721235;0.997181;
3.432208;0.992014;0.708940;0.722615;0.997352;
3.533516;0.991629;0.708430;0.723923;0.997546;
3.634823;0.991139;0.707939;0.725144;0.997761;
3.736131;0.990873;0.707466;0.726265;0.997997;
3.837438;0.990893;0.707004;0.727273;0.998250;
3.938746;0.990245;0.706554;0.728154;0.998521;
4.040053;0.989222;0.706137;0.728899;0.998806;
4.141361;0.990998;0.705734;0.729496;0.999104;
4.242668;0.992755;0.705306;0.729936;0.999413;
4.343976;0.982877;0.705022;0.730212;0.999729;
4.546591;0.988929;0.704170;0.730241;1.000376;
4.749206;0.988469;0.703481;0.729558;1.001027;
4.959881;0.987984;0.702801;0.728081;1.001687;
5.170555;0.987510;0.702283;0.725836;1.002309;
5.381229;0.985947;0.701851;0.722864;1.002870;
5.568484;0.986787;0.701096;0.719658;1.003309;
5.737013;0.986405;0.700672;0.716369;1.003645;
5.888690;0.986245;0.700328;0.713126;1.003892;
6.025199;0.986010;0.700027;0.710014;1.004064;
6.148057;0.985740;0.699770;0.707087;1.004177;
6.258629;0.985686;0.699536;0.704375;1.004244;
6.369201;0.984914;0.699308;0.701612;1.004275;
6.468716;0.985466;0.699129;0.699098;1.004273;
6.568231;0.985319;0.698944;0.696577;1.004242;
6.667746;0.985143;0.698765;0.694066;1.004182;
6.767261;0.984605;0.698586;0.691581;1.004093;
6.866775;0.984040;0.698421;0.689138;1.003977;
6.966290;0.983877;0.698264;0.686755;1.003833;
7.065805;0.983743;0.698108;0.684448;1.003662;
7.165320;0.982786;0.697956;0.682232;1.003466;
7.264835;0.982279;0.697830;0.680123;1.003246;
7.364350;0.986733;0.697739;0.678135;1.003002;
7.463865;0.992797;0.697655;0.676283;1.002737;
7.563380;0.967774;0.698069;0.674580;1.002448;
7.662895;0.886853;0.704306;0.673039;1.002087;
7.762410;0.984001;0.697146;0.671675;1.001751;
7.812167;0.983958;0.697085;0.671062;1.001586;
7.911682;0.983874;0.696966;0.669982;1.001249;
8.110712;0.983715;0.696741;0.668437;1.000555;
8.309742;0.983554;0.696517;0.667730;0.999847;
8.508772;0.983424;0.696324;0.667874;0.999143;
8.704183;0.983297;0.696149;0.668839;0.998476;
8.899595;0.983075;0.695983;0.670593;0.997851;
9.095007;0.982209;0.695867;0.673089;0.997285;
9.270877;0.982966;0.695681;0.675920;0.996840;
9.429161;0.982824;0.695535;0.678890;0.996502;
9.571616;0.982852;0.695474;0.681862;0.996253;
9.714071;0.982748;0.695372;0.685069;0.996062;
9.842281;0.982530;0.695293;0.688121;0.995942;
9.970491;0.982660;0.695219;0.691290;0.995874;
10.000000;0.982623;0.695195;0.692035;0.995865;
