time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.005561;0.728046;0.700000;1.000000;
1.000001;1.005562;0.728032;0.700000;1.000000;
1.000002;1.005562;0.728032;0.700000;1.000000;
1.000004;1.005562;0.728033;0.700000;1.000000;
1.000008;1.005562;0.728032;0.700000;1.000000;
1.000016;1.005562;0.728032;0.700000;1.000000;
1.000032;1.005562;0.728032;0.700000;1.000000;
1.000064;1.005562;0.728031;0.700000;1.000000;
1.000128;1.005561;0.728030;0.700000;1.000000;
1.000256;1.005560;0.728029;0.700000;0.999999;
1.000512;1.005558;0.728026;0.700000;0.999998;
1.001024;1.005554;0.728020;0.700000;0.999996;
1.002048;1.005546;0.728008;0.700000;0.999993;
1.004096;1.005530;0.727985;0.700000;0.999986;
1.008192;1.005497;0.727938;0.700000;0.999971;
1.016384;1.005433;0.727845;0.700000;0.999943;
1.032768;1.005304;0.727658;0.700000;0.999886;
1.065536;1.005049;0.727289;0.700000;0.999774;
1.131072;1.004547;0.726562;0.700001;0.999554;
1.196608;1.004054;0.725851;0.700003;0.999340;
1.327680;1.003102;0.724474;0.700017;0.998932;
1.458752;1.002158;0.723154;0.700049;0.998548;
1.589824;1.001194;0.721890;0.700102;0.998187;
1.720896;1.000214;0.720679;0.700183;0.997850;
1.851968;0.999210;0.719520;0.700293;0.997535;
1.983040;0.998093;0.718411;0.700434;0.997242;
2.114112;0.996772;0.717352;0.700606;0.996971;
2.245184;0.995331;0.716342;0.700811;0.996721;
2.376256;0.993999;0.715376;0.701047;0.996492;
2.507328;0.992557;0.714450;0.701314;0.996283;
2.638400;0.989191;0.713586;0.701612;0.996095;
2.769472;0.980564;0.712882;0.701939;0.995926;
2.900544;0.971148;0.712686;0.702295;0.995769;
3.031616;1.021256;0.715935;0.702678;0.995585;
3.090003;0.993571;0.710773;0.702858;0.995525;
3.206778;0.993268;0.710097;0.703233;0.995426;
3.323553;0.992670;0.709486;0.703629;0.995349;
3.440328;0.992237;0.708823;0.704043;0.995290;
3.557103;0.991929;0.708203;0.704476;0.995247;
3.673878;0.991446;0.707736;0.704926;0.995219;
3.790652;0.990122;0.707174;0.705391;0.995206;
3.907427;0.988195;0.706666;0.705871;0.995207;
4.024202;0.987156;0.706188;0.706363;0.995223;
4.140977;0.988149;0.705705;0.706867;0.995253;
4.257752;0.987365;0.705204;0.707380;0.995298;
4.374527;0.971629;0.704933;0.707903;0.995354;
4.608077;0.988786;0.703940;0.708966;0.995512;
4.818271;0.988293;0.703240;0.709937;0.995699;
5.028466;0.987783;0.702583;0.710914;0.995929;
5.238661;0.987420;0.701976;0.711886;0.996198;
5.448856;0.986991;0.701397;0.712845;0.996507;
5.659051;0.986616;0.700864;0.713782;0.996852;
5.869245;0.986268;0.700365;0.714687;0.997233;
6.079440;0.986014;0.699912;0.715552;0.997646;
6.289635;0.985595;0.699468;0.716366;0.998090;
6.499830;0.985351;0.699061;0.717122;0.998561;
6.710024;0.984748;0.698585;0.717810;0.999060;
6.920219;0.984683;0.698257;0.718422;0.999582;
7.130414;0.984495;0.697960;0.718950;1.000123;
7.340609;0.984180;0.697672;0.719386;1.000680;
7.550804;0.984148;0.697445;0.719722;1.001249;
7.760998;0.984101;0.697280;0.719953;1.001826;
8.181388;0.983656;0.696659;0.720066;1.002997;
8.601777;0.983375;0.696234;0.719691;1.004164;
8.706875;0.983289;0.696138;0.719520;1.004454;
8.917070;0.983163;0.695955;0.719077;1.005025;
9.127264;0.983049;0.695784;0.718500;1.005583;
9.337459;0.982955;0.695625;0.717788;1.006125;
9.547654;0.982822;0.695476;0.716939;1.006645;
9.757849;0.982724;0.695338;0.715954;1.007141;
9.968043;0.982632;0.695209;0.714835;1.007608;
10.000000;0.982619;0.695189;0.714653;1.007677;
