time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.005561;0.728046;0.700000;1.000000;
1.000001;1.005562;0.728032;0.700000;1.000000;
1.000002;1.005562;0.728032;0.700000;1.000000;
1.000004;1.005562;0.728033;0.700000;1.000000;
1.000008;1.005562;0.728032;0.700000;1.000000;
1.000016;1.005562;0.728032;0.700000;1.000000;
1.000032;1.005562;0.728032;0.700000;1.000000;
1.000064;1.005562;0.728031;0.700000;1.000000;
1.000128;1.005561;0.728030;0.700000;1.000000;
1.000256;1.005560;0.728029;0.700000;0.999999;
1.000512;1.005558;0.728026;0.700000;0.999998;
1.001024;1.005554;0.728020;0.700000;0.999996;
1.002048;1.005546;0.728008;0.700000;0.999993;
1.004096;1.005530;0.727985;0.700000;0.999986;
1.008192;1.005497;0.727938;0.700000;0.999971;
1.016384;1.005433;0.727845;0.700000;0.999943;
1.032768;1.005304;0.727658;0.700000;0.999886;
1.065536;1.005049;0.727289;0.700000;0.999774;
1.098304;1.004796;0.726923;0.700000;0.999663;
1.163840;1.004299;0.726204;0.700000;0.999446;
1.229376;1.003812;0.725501;0.700000;0.999236;
1.294912;1.003333;0.724813;0.700000;0.999032;
1.360448;1.002863;0.724139;0.700000;0.998834;
1.425984;1.002403;0.723480;0.700000;0.998641;
1.557056;1.001530;0.722205;0.700002;0.998274;
1.688128;1.000648;0.720981;0.700005;0.997929;
1.819200;0.999658;0.719810;0.700010;0.997605;
1.950272;0.998590;0.718688;0.700020;0.997301;
2.081344;0.997532;0.717615;0.700035;0.997017;
2.212416;0.996280;0.716589;0.700057;0.996751;
2.343488;0.994406;0.715614;0.700087;0.996504;
2.474560;0.992208;0.714694;0.700129;0.996274;
2.605632;0.992061;0.713803;0.700182;0.996061;
2.736704;0.997226;0.712891;0.700250;0.995865;
2.867776;1.000123;0.712206;0.700333;0.995683;
2.998848;0.943761;0.715706;0.700434;0.995470;
3.129920;0.993415;0.710544;0.700553;0.995304;
3.260992;0.992897;0.709819;0.700691;0.995164;
3.392064;0.992422;0.709129;0.700851;0.995043;
3.523136;0.992008;0.708510;0.701032;0.994937;
3.654208;0.991512;0.707829;0.701236;0.994845;
3.785280;0.989346;0.707159;0.701464;0.994769;
3.916352;0.984983;0.706620;0.701715;0.994707;
4.047424;0.981424;0.706171;0.701991;0.994658;
4.178496;0.986627;0.705721;0.702292;0.994621;
4.309568;1.006057;0.705221;0.702617;0.994597;
4.440640;0.989159;0.704541;0.702967;0.994589;
4.571712;0.988792;0.704025;0.703341;0.994597;
4.702784;0.988560;0.703621;0.703740;0.994617;
4.964928;0.987903;0.702777;0.704607;0.994701;
5.200857;0.987353;0.702076;0.705464;0.994823;
5.436787;0.986876;0.701428;0.706390;0.994991;
5.672717;0.986490;0.700829;0.707377;0.995203;
5.908646;0.986122;0.700275;0.708421;0.995460;
6.144576;0.985783;0.699762;0.709514;0.995763;
6.380505;0.985467;0.699287;0.710648;0.996110;
6.616435;0.985172;0.698848;0.711813;0.996501;
6.852365;0.984897;0.698444;0.713002;0.996935;
7.088294;0.984638;0.698065;0.714203;0.997413;
7.324224;0.984509;0.697745;0.715407;0.997932;
7.560153;0.984173;0.697394;0.716603;0.998491;
7.796083;0.983973;0.697100;0.717780;0.999090;
8.032013;0.983787;0.696826;0.718926;0.999725;
8.267942;0.983599;0.696568;0.720029;1.000396;
8.503872;0.983416;0.696324;0.721079;1.001100;
8.739801;0.983269;0.696117;0.722062;1.001833;
8.975731;0.983076;0.695899;0.722967;1.002594;
9.211661;0.982992;0.695720;0.723782;1.003380;
9.447590;0.982866;0.695547;0.724494;1.004185;
9.683520;0.982750;0.695386;0.725093;1.005007;
9.919449;0.982654;0.695239;0.725566;1.005842;
10.000000;0.982620;0.695190;0.725698;1.006130;
