time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.700000;1.000000;
0.001024;1.000000;0.700000;0.700000;1.000000;
0.002048;1.000000;0.700000;0.700000;1.000000;
0.004096;1.000000;0.700000;0.700000;1.000000;
0.008192;1.000000;0.700000;0.700000;1.000000;
0.016384;1.000000;0.700000;0.700000;1.000000;
0.032768;1.000000;0.700000;0.700000;1.000000;
0.065536;1.000000;0.700000;0.700000;1.000000;
0.131072;1.000000;0.700000;0.700000;1.000000;
0.262144;1.000000;0.700000;0.700000;1.000000;
0.524288;1.000000;0.700000;0.700000;1.000000;
1.000000;1.000000;0.700000;0.700000;1.000000;
1.000000;1.005561;0.728046;0.700000;1.000000;
1.000001;1.005562;0.728032;0.700000;1.000000;
1.000002;1.005562;0.728032;0.700000;1.000000;
1.000004;1.005562;0.728033;0.700000;1.000000;
1.000008;1.005562;0.728032;0.700000;1.000000;
1.000016;1.005562;0.728032;0.700000;1.000000;
1.000032;1.005562;0.728032;0.700000;1.000000;
1.000064;1.005562;0.728031;0.700000;1.000000;
1.000128;1.005561;0.728030;0.700000;1.000000;
1.000256;1.005560;0.728029;0.700000;0.999999;
1.000512;1.005558;0.728026;0.700000;0.999998;
1.001024;1.005554;0.728020;0.700000;0.999996;
1.002048;1.005546;0.728008;0.700000;0.999993;
1.004096;1.005530;0.727985;0.700000;0.999986;
1.008192;1.005497;0.727938;0.700000;0.999971;
1.016384;1.005433;0.727845;0.700000;0.999943;
1.032768;1.005304;0.727658;0.700003;0.999886;
1.065536;1.005049;0.727289;0.700022;0.999774;
1.131072;1.004547;0.726562;0.700139;0.999555;
1.196608;1.004054;0.725851;0.700377;0.999344;
1.262144;1.003569;0.725155;0.700744;0.999141;
1.327680;1.003093;0.724474;0.701233;0.998948;
1.393216;1.002626;0.723808;0.701830;0.998766;
1.458752;1.002166;0.723156;0.702516;0.998594;
1.589824;1.001315;0.721895;0.704067;0.998287;
1.707789;1.000558;0.720806;0.705604;0.998051;
1.825753;0.999709;0.719754;0.707189;0.997855;
1.943718;0.998709;0.718746;0.708766;0.997698;
2.061683;0.997850;0.717780;0.710287;0.997578;
2.179648;0.997176;0.716849;0.711715;0.997495;
2.297613;0.996160;0.715954;0.713025;0.997445;
2.415577;0.994759;0.715107;0.714199;0.997427;
2.533542;0.994761;0.714301;0.715227;0.997437;
2.651507;0.997399;0.713481;0.716102;0.997473;
2.769472;0.994923;0.712708;0.716823;0.997532;
2.887437;0.994087;0.712099;0.717392;0.997611;
3.005401;0.994169;0.711277;0.717815;0.997708;
3.123366;0.992718;0.710561;0.718096;0.997820;
3.241331;0.992005;0.709998;0.718244;0.997945;
3.359296;0.994058;0.709368;0.718268;0.998079;
3.477261;0.992344;0.708621;0.718176;0.998223;
3.595225;0.991710;0.708112;0.717978;0.998372;
3.713190;0.991867;0.707782;0.717684;0.998524;
3.949120;0.990576;0.706495;0.716862;0.998835;
4.185049;0.989708;0.705569;0.715773;0.999144;
4.420979;0.989401;0.704670;0.714484;0.999443;
4.656909;0.988770;0.703791;0.713055;0.999727;
4.892838;0.988249;0.703013;0.711538;0.999989;
5.128768;0.987976;0.702294;0.709980;1.000226;
5.364697;0.987334;0.701604;0.708420;1.000436;
5.600627;0.986869;0.700994;0.706889;1.000619;
5.836557;0.986413;0.700425;0.705413;1.000773;
6.072486;0.985907;0.699893;0.704011;1.000900;
6.308416;0.985403;0.699415;0.702697;1.001001;
6.544345;0.984928;0.698968;0.701482;1.001078;
6.780275;0.984461;0.698557;0.700371;1.001132;
7.016205;0.984014;0.698178;0.699366;1.001167;
7.252134;0.983653;0.697827;0.698467;1.001184;
7.488064;0.983371;0.697499;0.697671;1.001186;
7.723993;0.983037;0.697198;0.696974;1.001175;
7.865223;0.983909;0.697016;0.696617;1.001162;
8.006453;0.983773;0.696851;0.696291;1.001146;
8.147682;0.983594;0.696697;0.695993;1.001127;
8.430142;0.983469;0.696412;0.695459;1.001086;
8.712601;0.983313;0.696146;0.695017;1.001038;
8.995061;0.983202;0.695900;0.694661;1.000986;
9.277520;0.982966;0.695680;0.694381;1.000931;
9.559979;0.982771;0.695476;0.694165;1.000876;
10.000000;0.982546;0.695195;0.693930;1.000792;
