time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;0.700000;0.700000;1.000000;
0.000001;1.000000;0.700000;0.700000;1.000000;
0.000002;1.000000;0.700000;0.700000;1.000000;
0.000004;1.000000;0.700000;0.700000;1.000000;
0.000008;1.000000;0.700000;0.700000;1.000000;
0.000016;1.000000;0.700000;0.700000;1.000000;
0.000032;1.000000;0.700000;0.700000;1.000000;
0.000064;1.000000;0.700000;0.700000;1.000000;
0.000128;1.000000;0.700000;0.700000;1.000000;
0.000256;1.000000;0.700000;0.700000;1.000000;
0.000512;1.000000;0.700000;0.699999;1.000000;
0.001024;1.000000;0.700000;0.699997;1.000000;
0.002048;1.000000;0.700000;0.699990;1.000000;
0.004096;1.000000;0.700000;0.699960;1.000000;
0.006144;1.000000;0.700000;0.699911;1.000000;
0.008192;1.000000;0.700000;0.699845;1.000000;
0.010240;1.000000;0.700000;0.699760;1.000000;
0.012288;1.000000;0.700000;0.699659;1.000000;
0.014336;1.000000;0.700000;0.699541;1.000000;
0.016384;1.000000;0.700000;0.699408;1.000000;
0.018432;1.000000;0.700000;0.699260;0.999999;
0.020480;1.000000;0.700000;0.699098;0.999999;
0.022528;1.000000;0.700000;0.698922;0.999999;
0.024576;1.000000;0.700000;0.698733;0.999999;
0.026624;1.000000;0.700000;0.698532;0.999998;
0.028672;1.000000;0.700000;0.698318;0.999998;
0.030720;1.000000;0.700000;0.698094;0.999997;
0.032768;1.000000;0.700000;0.697858;0.999997;
0.034816;1.000000;0.700000;0.697612;0.999996;
0.036864;1.000000;0.700000;0.697357;0.999996;
0.038912;1.000000;0.700000;0.697092;0.999995;
0.040960;1.000000;0.700000;0.696818;0.999994;
0.043008;1.000000;0.700000;0.696536;0.999993;
0.045056;1.000000;0.700000;0.696246;0.999992;
0.047104;1.000000;0.700000;0.695948;0.999991;
0.049152;1.000000;0.700000;0.695643;0.999990;
0.051200;1.000000;0.700000;0.695332;0.999989;
0.053248;1.000000;0.700000;0.695014;0.999988;
0.055296;1.000000;0.700000;0.694691;0.999987;
0.057344;1.000000;0.700000;0.694362;0.999985;
0.059392;1.000000;0.700000;0.694027;0.999984;
0.061440;1.000000;0.700000;0.693688;0.999982;
0.063488;1.000000;0.700000;0.693345;0.999981;
0.065536;1.000000;0.700000;0.692998;0.999979;
0.067584;1.000000;0.700000;0.692646;0.999977;
0.069632;1.000000;0.700000;0.692292;0.999975;
0.071680;1.000000;0.700000;0.691934;0.999973;
0.073728;1.000000;0.700000;0.691573;0.999971;
0.075776;1.000000;0.700000;0.691209;0.999969;
0.077824;1.000000;0.700000;0.690844;0.999966;
0.079872;1.000000;0.700000;0.690476;0.999964;
0.081920;1.000000;0.700000;0.690107;0.999962;
0.083968;1.000000;0.700000;0.689735;0.999959;
0.086016;1.000000;0.700000;0.689363;0.999956;
0.088064;1.000000;0.700000;0.688990;0.999953;
0.090112;1.000000;0.700000;0.688616;0.999951;
0.092160;1.000000;0.700000;0.688241;0.999948;
0.094208;1.000000;0.700000;0.687866;0.999945;
0.096256;1.000000;0.700000;0.687490;0.999941;
0.098304;1.000000;0.700000;0.687115;0.999938;
0.100352;1.000000;0.700000;0.686740;0.999935;
0.102400;1.000000;0.700000;0.686365;0.999931;
0.104448;1.000000;0.700000;0.685991;0.999928;
0.106496;1.000000;0.700000;0.685617;0.999924;
0.108544;1.000000;0.700000;0.685245;0.999921;
0.110592;1.000000;0.700000;0.684873;0.999917;
0.112640;1.000000;0.700000;0.684503;0.999913;
0.114688;1.000000;0.700000;0.684134;0.999909;
0.116736;1.000000;0.700000;0.683766;0.999905;
0.118784;1.000000;0.700000;0.683401;0.999901;
0.120832;1.000000;0.700000;0.683037;0.999896;
0.122880;1.000000;0.700000;0.682674;0.999892;
0.124928;1.000000;0.700000;0.682314;0.999887;
0.126976;1.000000;0.700000;0.681956;0.999883;
0.129024;1.000000;0.700000;0.681601;0.999878;
0.131072;1.000000;0.700000;0.681247;0.999873;
0.133120;1.000000;0.700000;0.680896;0.999869;
0.135168;1.000000;0.700000;0.680548;0.999864;
0.137216;1.000000;0.700000;0.680202;0.999859;
0.139264;1.000000;0.700000;0.679860;0.999854;
0.141312;1.000000;0.700000;0.679519;0.999848;
0.145408;1.000000;0.700000;0.678848;0.999838;
0.149094;1.000000;0.700000;0.678254;0.999828;
0.152781;1.000000;0.700000;0.677671;0.999818;
0.156467;1.000000;0.700000;0.677098;0.999807;
0.160154;1.000000;0.700000;0.676536;0.999797;
0.163840;1.000000;0.700000;0.675986;0.999786;
0.167526;1.000000;0.700000;0.675447;0.999775;
0.171213;1.000000;0.700000;0.674920;0.999763;
0.174899;1.000000;0.700000;0.674405;0.999752;
0.178586;1.000000;0.700000;0.673902;0.999740;
0.182272;1.000000;0.700000;0.673411;0.999728;
0.185958;1.000000;0.700000;0.672933;0.999715;
0.189645;1.000000;0.700000;0.672468;0.999703;
0.193331;1.000000;0.700000;0.672015;0.999690;
0.197018;1.000000;0.700000;0.671575;0.999677;
0.200704;1.000000;0.700000;0.671148;0.999664;
0.204390;1.000000;0.700000;0.670733;0.999651;
0.208077;1.000000;0.700000;0.670332;0.999637;
0.211763;1.000000;0.700000;0.669943;0.999623;
0.215450;1.000000;0.700000;0.669568;0.999609;
0.219136;1.000000;0.700000;0.669204;0.999595;
0.222822;1.000000;0.700000;0.668854;0.999581;
0.226509;1.000000;0.700000;0.668517;0.999567;
0.230195;1.000000;0.700000;0.668192;0.999552;
0.233882;1.000000;0.700000;0.667880;0.999538;
0.237568;1.000000;0.700000;0.667580;0.999523;
0.241254;1.000000;0.700000;0.667292;0.999508;
0.244941;1.000000;0.700000;0.667017;0.999493;
0.248627;1.000000;0.700000;0.666754;0.999478;
0.252314;1.000000;0.700000;0.666503;0.999462;
0.256000;1.000000;0.700000;0.666264;0.999447;
0.259686;1.000000;0.700000;0.666037;0.999431;
0.263373;1.000000;0.700000;0.665821;0.999416;
0.267059;1.000000;0.700000;0.665617;0.999400;
0.270746;1.000000;0.700000;0.665424;0.999384;
0.274432;1.000000;0.700000;0.665242;0.999368;
0.278118;1.000000;0.700000;0.665071;0.999352;
0.281805;1.000000;0.700000;0.664911;0.999336;
0.285491;1.000000;0.700000;0.664762;0.999320;
0.289178;1.000000;0.700000;0.664623;0.999304;
0.292864;1.000000;0.700000;0.664495;0.999288;
0.296550;1.000000;0.700000;0.664377;0.999272;
0.300237;1.000000;0.700000;0.664268;0.999255;
0.303923;1.000000;0.700000;0.664170;0.999239;
0.307610;1.000000;0.700000;0.664081;0.999222;
0.314982;1.000000;0.700000;0.663931;0.999189;
0.321618;1.000000;0.700000;0.663827;0.999160;
0.328253;1.000000;0.700000;0.663752;0.999130;
0.334889;1.000000;0.700000;0.663703;0.999100;
0.341524;1.000000;0.700000;0.663681;0.999070;
0.348160;1.000000;0.700000;0.663683;0.999040;
0.354796;1.000000;0.700000;0.663710;0.999010;
0.361431;1.000000;0.700000;0.663760;0.998981;
0.368067;1.000000;0.700000;0.663832;0.998951;
0.374702;1.000000;0.700000;0.663924;0.998921;
0.381338;1.000000;0.700000;0.664037;0.998892;
0.387973;1.000000;0.700000;0.664168;0.998862;
0.394609;1.000000;0.700000;0.664318;0.998833;
0.401244;1.000000;0.700000;0.664484;0.998803;
0.407880;1.000000;0.700000;0.664667;0.998774;
0.414515;1.000000;0.700000;0.664865;0.998745;
0.421151;1.000000;0.700000;0.665077;0.998717;
0.427786;1.000000;0.700000;0.665303;0.998688;
0.434422;1.000000;0.700000;0.665542;0.998660;
0.441057;1.000000;0.700000;0.665792;0.998632;
0.447693;1.000000;0.700000;0.666054;0.998604;
0.454328;1.000000;0.700000;0.666326;0.998576;
0.460964;1.000000;0.700000;0.666608;0.998549;
0.467599;1.000000;0.700000;0.666899;0.998521;
0.474235;1.000000;0.700000;0.667199;0.998494;
0.480870;1.000000;0.700000;0.667506;0.998468;
0.487506;1.000000;0.700000;0.667820;0.998441;
0.494141;1.000000;0.700000;0.668141;0.998415;
0.500777;1.000000;0.700000;0.668467;0.998389;
0.507412;1.000000;0.700000;0.668799;0.998364;
0.514048;1.000000;0.700000;0.669136;0.998338;
0.520684;1.000000;0.700000;0.669477;0.998313;
0.527319;1.000000;0.700000;0.669823;0.998289;
0.533955;1.000000;0.700000;0.670171;0.998264;
0.540590;1.000000;0.700000;0.670523;0.998240;
0.547226;1.000000;0.700000;0.670877;0.998216;
0.553861;1.000000;0.700000;0.671233;0.998192;
0.560497;1.000000;0.700000;0.671591;0.998169;
0.567132;1.000000;0.700000;0.671950;0.998146;
0.573768;1.000000;0.700000;0.672310;0.998124;
0.580403;1.000000;0.700000;0.672672;0.998101;
0.587039;1.000000;0.700000;0.673033;0.998079;
0.593674;1.000000;0.700000;0.673395;0.998057;
0.600310;1.000000;0.700000;0.673756;0.998036;
0.613581;1.000000;0.700000;0.674478;0.997994;
0.625525;1.000000;0.700000;0.675124;0.997957;
0.637469;1.000000;0.700000;0.675766;0.997922;
0.649413;1.000000;0.700000;0.676403;0.997887;
0.661357;1.000000;0.700000;0.677033;0.997853;
0.673300;1.000000;0.700000;0.677657;0.997820;
0.685244;1.000000;0.700000;0.678272;0.997788;
0.697188;1.000000;0.700000;0.678880;0.997757;
0.709132;1.000000;0.700000;0.679478;0.997727;
0.721076;1.000000;0.700000;0.680066;0.997698;
0.733020;1.000000;0.700000;0.680644;0.997670;
0.744964;1.000000;0.700000;0.681212;0.997642;
0.756908;1.000000;0.700000;0.681770;0.997616;
0.768852;1.000000;0.700000;0.682316;0.997590;
0.780796;1.000000;0.700000;0.682851;0.997565;
0.792740;1.000000;0.700000;0.683376;0.997541;
0.804684;1.000000;0.700000;0.683889;0.997518;
0.816628;1.000000;0.700000;0.684390;0.997495;
0.828572;1.000000;0.700000;0.684881;0.997473;
0.840516;0.999999;0.700000;0.685360;0.997452;
0.852460;0.999999;0.700000;0.685829;0.997432;
0.864403;0.999999;0.700000;0.686286;0.997412;
0.876347;0.999999;0.700000;0.686732;0.997393;
0.888291;0.999999;0.700000;0.687167;0.997375;
0.900235;0.999999;0.700000;0.687592;0.997357;
0.912179;0.999999;0.700000;0.688007;0.997340;
0.924123;0.999999;0.700000;0.688411;0.997324;
0.936067;0.999999;0.700000;0.688805;0.997308;
0.948011;0.999999;0.700000;0.689189;0.997292;
0.959955;0.999999;0.700000;0.689564;0.997278;
0.971899;0.999999;0.700000;0.689929;0.997264;
0.983843;0.999999;0.700000;0.690285;0.997250;
0.995787;0.999999;0.700000;0.690633;0.997237;
1.000000;0.999999;0.700000;0.690753;0.997233;
1.000000;1.013325;0.770115;0.690753;0.997233;
1.000001;1.013315;0.770105;0.690753;0.997233;
1.000002;1.013315;0.770105;0.690753;0.997233;
1.000004;1.013315;0.770106;0.690753;0.997233;
1.000008;1.013315;0.770105;0.690753;0.997233;
1.000016;1.013315;0.770105;0.690753;0.997233;
1.000032;1.013314;0.770104;0.690754;0.997232;
1.000064;1.013314;0.770103;0.690755;0.997232;
1.000128;1.013312;0.770101;0.690757;0.997231;
1.000256;1.013310;0.770097;0.690760;0.997230;
1.000512;1.013305;0.770090;0.690767;0.997228;
1.001024;1.013294;0.770074;0.690782;0.997223;
1.002048;1.013274;0.770043;0.690811;0.997213;
1.004096;1.013233;0.769981;0.690869;0.997192;
1.008192;1.013151;0.769857;0.690984;0.997152;
1.016384;1.012988;0.769609;0.691211;0.997072;
1.024576;1.012826;0.769362;0.691434;0.996993;
1.032768;1.012664;0.769116;0.691653;0.996914;
1.040960;1.012502;0.768871;0.691869;0.996836;
1.049152;1.012341;0.768626;0.692082;0.996758;
1.057344;1.012180;0.768382;0.692291;0.996681;
1.065536;1.012020;0.768139;0.692498;0.996604;
1.073728;1.011860;0.767896;0.692702;0.996527;
1.081920;1.011701;0.767654;0.692903;0.996451;
