time;OEL_limiter_IfdPu;OEL_limiter_UOelPu;
0.000000;0.800000;-0.000000;
0.000001;0.800000;-0.000000;
0.000002;0.800000;-0.000000;
0.000004;0.800000;-0.000000;
0.000008;0.800000;-0.000000;
0.000016;0.800000;-0.000000;
0.000032;0.800000;-0.000000;
0.000064;0.800000;-0.000000;
0.000128;0.800000;-0.000000;
0.000256;0.800000;-0.000000;
0.000512;0.800000;-0.000000;
0.001024;0.800000;-0.000000;
0.002048;0.800000;-0.000000;
0.004096;0.800000;-0.000000;
0.008192;0.800000;-0.000000;
0.016384;0.800000;-0.000000;
0.032768;0.800000;-0.000000;
0.065536;0.800000;-0.000000;
0.131072;0.800000;-0.000000;
0.262144;0.800000;-0.000000;
0.524288;0.800000;-0.000000;
1.000000;0.800000;-0.000000;
1.000000;1.300000;-0.000000;
1.000001;1.300000;-0.000000;
1.000002;1.300000;-0.000000;
1.000004;1.300000;-0.000000;
1.000008;1.300000;-0.000000;
1.000016;1.300000;-0.000000;
1.000032;1.300000;-0.000000;
1.000064;1.300000;-0.000000;
1.000128;1.300000;-0.000000;
1.000256;1.300000;-0.000000;
1.000512;1.300000;-0.000000;
1.001024;1.300000;-0.000000;
1.002048;1.300000;-0.000000;
1.004096;1.300000;-0.000000;
1.008192;1.300000;-0.000000;
1.016384;1.300000;-0.000000;
1.032768;1.300000;-0.000000;
1.065536;1.300000;-0.000000;
1.131072;1.300000;-0.000000;
1.262144;1.300000;-0.000000;
1.524288;1.300000;-0.000000;
2.048576;1.300000;-0.000000;
2.785714;1.300000;-0.000000;
2.785714;1.300000;-0.700000;
2.785715;1.300000;-0.700000;
2.785716;1.300000;-0.700000;
2.785718;1.300000;-0.700000;
2.785722;1.300000;-0.700000;
2.785730;1.300000;-0.700000;
2.785746;1.300000;-0.700000;
2.785778;1.300000;-0.700000;
2.785842;1.300000;-0.700000;
2.785970;1.300000;-0.700000;
2.786226;1.300000;-0.700000;
2.786738;1.300000;-0.700000;
2.787762;1.300000;-0.700000;
2.789810;1.300000;-0.700000;
2.793906;1.300000;-0.700000;
2.802098;1.300000;-0.700000;
2.818482;1.300000;-0.700000;
2.851250;1.300000;-0.700000;
2.916786;1.300000;-0.700000;
3.047858;1.300000;-0.700000;
3.310002;1.300000;-0.700000;
3.834290;1.300000;-0.700000;
4.834290;1.300000;-0.700000;
5.834290;1.300000;-0.700000;
6.834290;1.300000;-0.700000;
7.834290;1.300000;-0.700000;
8.834290;1.300000;-0.700000;
9.834290;1.300000;-0.700000;
10.000000;1.300000;-0.700000;
