time;OEL_limiter_IfdPu;OEL_limiter_UOelPu;
0.000000;0.800000;-0.000000;
0.000001;0.800000;-0.000000;
0.000002;0.800000;-0.000000;
0.000004;0.800000;-0.000000;
0.000008;0.800000;-0.000000;
0.000016;0.800000;-0.000000;
0.000032;0.800000;-0.000000;
0.000064;0.800000;-0.000000;
0.000128;0.800000;-0.000000;
0.000256;0.800000;-0.000000;
0.000512;0.800000;-0.000000;
0.001024;0.800000;-0.000000;
0.002048;0.800000;-0.000000;
0.004096;0.800000;-0.000000;
0.008192;0.800000;-0.000000;
0.016384;0.800000;-0.000000;
0.032768;0.800000;-0.000000;
0.065536;0.800000;-0.000000;
0.131072;0.800000;-0.000000;
0.262144;0.800000;-0.000000;
0.524288;0.800000;-0.000000;
1.000000;0.800000;-0.000000;
1.000000;1.300000;-0.000000;
1.000001;1.300000;-0.000000;
1.000002;1.300000;-0.000000;
1.000004;1.300000;-0.000001;
1.000008;1.300000;-0.000001;
1.000016;1.300000;-0.000002;
1.000032;1.300000;-0.000004;
1.000064;1.300000;-0.000009;
1.000128;1.300000;-0.000018;
1.000256;1.300000;-0.000036;
1.000512;1.300000;-0.000072;
1.001024;1.300000;-0.000143;
1.002048;1.300000;-0.000287;
1.004096;1.300000;-0.000573;
1.008192;1.300000;-0.001147;
1.016384;1.300000;-0.002294;
1.032768;1.300000;-0.004588;
1.065536;1.300000;-0.009175;
1.131072;1.300000;-0.018350;
1.262144;1.300000;-0.036700;
1.524288;1.300000;-0.073400;
2.048576;1.300000;-0.146801;
3.048576;1.300000;-0.286801;
4.048576;1.300000;-0.426801;
5.048576;1.300000;-0.566801;
6.048576;1.300000;-0.706801;
7.048576;1.300000;-0.846801;
8.048576;1.300000;-0.986801;
8.142858;1.300000;-1.000000;
8.142859;1.300000;-1.000000;
8.142860;1.300000;-1.000000;
8.142862;1.300000;-1.000000;
8.142866;1.300000;-1.000000;
8.142874;1.300000;-1.000000;
8.142890;1.300000;-1.000000;
8.142922;1.300000;-1.000000;
8.142986;1.300000;-1.000000;
8.143114;1.300000;-1.000000;
8.143370;1.300000;-1.000000;
8.143882;1.300000;-1.000000;
8.144906;1.300000;-1.000000;
8.146954;1.300000;-1.000000;
8.151050;1.300000;-1.000000;
8.159242;1.300000;-1.000000;
8.175626;1.300000;-1.000000;
8.208394;1.300000;-1.000000;
8.273930;1.300000;-1.000000;
8.405002;1.300000;-1.000000;
8.667146;1.300000;-1.000000;
9.191434;1.300000;-1.000000;
10.000000;1.300000;-1.000000;
