time;OEL_limiter_EfdPu;OEL_limiter_UOelPu;
0.000000;1.500000;0.000000;
0.000001;1.500000;0.000000;
0.000002;1.500000;0.000000;
0.000004;1.500000;0.000000;
0.000008;1.500000;0.000000;
0.000016;1.500000;0.000000;
0.000032;1.500000;0.000000;
0.000064;1.500000;0.000000;
0.000128;1.500000;0.000000;
0.000256;1.500000;0.000000;
0.000512;1.500000;0.000000;
0.001024;1.500000;0.000000;
0.002048;1.500000;0.000000;
0.004096;1.500000;0.000000;
0.008192;1.500000;0.000000;
0.016384;1.500000;0.000000;
0.032768;1.500000;0.000000;
0.065536;1.500000;0.000000;
0.131072;1.500000;0.000000;
0.262144;1.500000;0.000000;
0.524288;1.500000;0.000000;
1.000000;1.500000;0.000000;
1.000000;2.500000;0.000000;
1.000001;2.500000;0.000000;
1.000002;2.500000;0.000000;
1.000004;2.500000;0.000000;
1.000008;2.500000;0.000000;
1.000016;2.500000;0.000000;
1.000032;2.500000;0.000000;
1.000064;2.500000;0.000000;
1.000128;2.500000;0.000000;
1.000256;2.500000;0.000000;
1.000512;2.500000;0.000000;
1.001024;2.500000;0.000000;
1.002048;2.500000;0.000000;
1.004096;2.500000;0.000000;
1.008192;2.500000;0.000000;
1.016384;2.500000;0.000003;
1.032768;2.500000;0.000024;
1.065536;2.500000;0.000187;
1.098304;2.500000;0.000575;
1.131072;2.500000;0.001264;
1.163840;2.500000;0.002319;
1.196608;2.500000;0.003787;
1.229376;2.500000;0.005706;
1.262144;2.500000;0.008099;
1.294912;2.500000;0.010979;
1.327680;2.500000;0.014352;
1.360448;2.500000;0.018215;
1.393216;2.500000;0.022559;
1.425984;2.500000;0.027370;
1.458752;2.500000;0.032630;
1.491520;2.500000;0.038317;
1.524288;2.500000;0.044408;
1.547460;2.500000;0.048944;
1.547461;2.500000;0.048944;
1.547462;2.500000;0.048944;
1.547464;2.500000;0.048945;
1.547468;2.500000;0.048945;
1.547476;2.500000;0.048947;
1.547492;2.500000;0.048950;
1.547524;2.500000;0.048957;
1.547588;2.500000;0.048969;
1.547716;2.500000;0.048995;
1.547972;2.500000;0.049046;
1.548484;2.500000;0.049149;
1.549508;2.500000;0.049353;
1.551556;2.500000;0.049763;
1.555652;2.500000;0.050582;
1.563844;2.500000;0.052221;
1.580228;2.500000;0.055497;
1.612996;2.500000;0.062051;
1.678532;2.500000;0.075158;
1.744068;2.500000;0.088265;
1.809604;2.500000;0.101373;
1.875140;2.500000;0.114480;
1.940676;2.500000;0.127587;
2.006212;2.500000;0.140694;
2.071748;2.500000;0.153801;
2.137284;2.500000;0.166909;
2.202820;2.500000;0.180016;
2.268356;2.500000;0.193123;
2.333892;2.500000;0.206230;
2.399428;2.500000;0.219337;
2.464964;2.500000;0.232445;
2.530500;2.500000;0.245552;
2.596036;2.500000;0.258659;
2.727108;2.500000;0.284873;
2.845073;2.500000;0.308466;
2.963038;2.500000;0.332059;
3.081003;2.500000;0.355652;
3.198967;2.500000;0.379245;
3.316932;2.500000;0.402838;
3.434897;2.500000;0.426431;
3.487512;2.500000;0.436954;
3.487513;2.500000;0.436954;
3.487514;2.500000;0.436954;
3.487516;2.500000;0.436955;
3.487520;2.500000;0.436956;
3.487528;2.500000;0.436957;
3.487544;2.500000;0.436960;
3.487576;2.500000;0.436967;
3.487640;2.500000;0.436979;
3.487768;2.500000;0.437002;
3.488024;2.500000;0.437044;
3.488536;2.500000;0.437117;
3.489560;2.500000;0.437235;
3.491608;2.500000;0.437428;
3.495704;2.500000;0.437767;
3.503896;2.500000;0.438452;
3.520280;2.500000;0.439799;
3.553048;2.500000;0.442389;
3.585816;2.500000;0.444878;
3.618584;2.500000;0.447269;
3.684120;2.500000;0.451832;
3.749656;2.500000;0.456061;
3.880728;2.500000;0.463546;
4.011800;2.500000;0.469863;
4.142872;2.500000;0.475161;
4.273944;2.500000;0.479585;
4.405016;2.500000;0.483264;
4.536088;2.500000;0.486313;
4.667160;2.500000;0.488831;
4.798232;2.500000;0.490905;
4.929304;2.500000;0.492609;
5.060376;2.500000;0.494004;
5.322520;2.500000;0.496125;
5.584664;2.500000;0.497536;
5.846808;2.500000;0.498454;
6.108952;2.500000;0.499041;
6.371096;2.500000;0.499412;
6.633240;2.500000;0.499643;
6.895384;2.500000;0.499786;
7.419672;2.500000;0.499945;
7.943960;2.500000;0.500000;
8.468248;2.500000;0.500012;
9.468248;2.500000;0.500015;
10.000000;2.500000;0.500008;
