time;PFC_controller_PGenPu;PFC_controller_QGenPu;PFC_controller_pfActual;PFC_controller_VPfPu;
0.000000;0.700000;0.230000;0.950032;0.000000;
0.000001;0.700000;0.230000;0.950032;0.000000;
0.000002;0.700000;0.230000;0.950032;0.000000;
0.000004;0.700000;0.230000;0.950032;0.000000;
0.000008;0.700000;0.230000;0.950032;0.000000;
0.000016;0.700000;0.230000;0.950032;0.000000;
0.000032;0.700000;0.230000;0.950032;0.000000;
0.000064;0.700000;0.230000;0.950032;0.000000;
0.000128;0.700000;0.230000;0.950032;0.000000;
0.000256;0.700000;0.230000;0.950032;0.000000;
0.000512;0.700000;0.230000;0.950032;0.000000;
0.001024;0.700000;0.230000;0.950032;0.000000;
0.002048;0.700000;0.230000;0.950032;0.000000;
0.004096;0.700000;0.230000;0.950032;0.000000;
0.008192;0.700000;0.230000;0.950032;0.000000;
0.016384;0.700000;0.230000;0.950032;0.000000;
0.032768;0.700000;0.230000;0.950032;0.000000;
0.065536;0.700000;0.230000;0.950032;0.000000;
0.131072;0.700000;0.230000;0.950032;0.000000;
0.262144;0.700000;0.230000;0.950032;0.000000;
0.524288;0.700000;0.230000;0.950032;0.000000;
1.000000;0.700000;0.230000;0.950032;0.000000;
1.000000;0.700000;0.500000;0.813733;0.000000;
1.000001;0.700000;0.500000;0.813733;0.000000;
1.000002;0.700000;0.500000;0.813733;0.000000;
1.000004;0.700000;0.500000;0.813733;0.000000;
1.000008;0.700000;0.500000;0.813733;0.000000;
1.000016;0.700000;0.500000;0.813733;0.000000;
1.000032;0.700000;0.500000;0.813733;0.000001;
1.000064;0.700000;0.500000;0.813733;0.000002;
1.000128;0.700000;0.500000;0.813733;0.000003;
1.000256;0.700000;0.500000;0.813733;0.000006;
1.000512;0.700000;0.500000;0.813733;0.000013;
1.001024;0.700000;0.500000;0.813733;0.000026;
1.002048;0.700000;0.500000;0.813733;0.000052;
1.004096;0.700000;0.500000;0.813733;0.000103;
1.008192;0.700000;0.500000;0.813733;0.000207;
1.016384;0.700000;0.500000;0.813733;0.000414;
1.032768;0.700000;0.500000;0.813733;0.000828;
1.065536;0.700000;0.500000;0.813733;0.001655;
1.131072;0.700000;0.500000;0.813733;0.003310;
1.262144;0.700000;0.500000;0.813733;0.006620;
1.524288;0.700000;0.500000;0.813733;0.013240;
2.048576;0.700000;0.500000;0.813733;0.026480;
3.048576;0.700000;0.500000;0.813733;0.051733;
4.048576;0.700000;0.500000;0.813733;0.076987;
4.959885;0.700000;0.500000;0.813733;0.100000;
4.959886;0.700000;0.500000;0.813733;0.100000;
4.959887;0.700000;0.500000;0.813733;0.100000;
4.959889;0.700000;0.500000;0.813733;0.100000;
4.959893;0.700000;0.500000;0.813733;0.100000;
4.959901;0.700000;0.500000;0.813733;0.100000;
4.959917;0.700000;0.500000;0.813733;0.100000;
4.959949;0.700000;0.500000;0.813733;0.100000;
4.960013;0.700000;0.500000;0.813733;0.100000;
4.960141;0.700000;0.500000;0.813733;0.100000;
4.960397;0.700000;0.500000;0.813733;0.100000;
4.960909;0.700000;0.500000;0.813733;0.100000;
4.961933;0.700000;0.500000;0.813733;0.100000;
4.963981;0.700000;0.500000;0.813733;0.100000;
4.968077;0.700000;0.500000;0.813733;0.100000;
4.976269;0.700000;0.500000;0.813733;0.100000;
4.992653;0.700000;0.500000;0.813733;0.100000;
5.025421;0.700000;0.500000;0.813733;0.100000;
5.090957;0.700000;0.500000;0.813733;0.100000;
5.222029;0.700000;0.500000;0.813733;0.100000;
5.484173;0.700000;0.500000;0.813733;0.100000;
6.008461;0.700000;0.500000;0.813733;0.100000;
7.008461;0.700000;0.500000;0.813733;0.100000;
8.008461;0.700000;0.500000;0.813733;0.100000;
9.008461;0.700000;0.500000;0.813733;0.100000;
10.000000;0.700000;0.500000;0.813733;0.100000;
