time;VADJ_adjuster_errPu;VADJ_adjuster_VAdjPu;
0.000000;0.000000;0.000000;
0.000001;0.000000;0.000000;
0.000002;0.000000;0.000000;
0.000004;0.000000;0.000000;
0.000008;0.000000;0.000000;
0.000016;0.000000;0.000000;
0.000032;0.000000;0.000000;
0.000064;0.000000;0.000000;
0.000128;0.000000;0.000000;
0.000256;0.000000;0.000000;
0.000512;0.000000;0.000000;
0.001024;0.000000;0.000000;
0.002048;0.000000;0.000000;
0.004096;0.000000;0.000000;
0.008192;0.000000;0.000000;
0.016384;0.000000;0.000000;
0.032768;0.000000;0.000000;
0.065536;0.000000;0.000000;
0.131072;0.000000;0.000000;
0.262144;0.000000;0.000000;
0.524288;0.000000;0.000000;
1.048576;0.000000;0.000000;
2.048576;0.000000;0.000000;
3.048576;0.000000;0.000000;
4.048576;0.000000;0.000000;
4.999999;0.000000;0.000000;
4.999999;0.100000;0.000000;
5.000000;0.100000;0.000000;
5.000001;0.100000;0.000000;
5.000003;0.100000;0.000000;
5.000007;0.100000;0.000000;
5.000015;0.100000;0.000000;
5.000031;0.100000;0.000000;
5.000063;0.100000;0.000000;
5.000127;0.100000;0.000000;
5.000255;0.100000;0.000001;
5.000511;0.100000;0.000001;
5.001023;0.100000;0.000003;
5.002047;0.100000;0.000005;
5.004095;0.100000;0.000011;
5.008191;0.100000;0.000022;
5.016383;0.100000;0.000044;
5.032767;0.100000;0.000087;
5.065535;0.100000;0.000175;
5.131071;0.100000;0.000350;
5.262143;0.100000;0.000699;
5.524287;0.100000;0.001398;
6.048575;0.100000;0.002796;
7.048575;0.100000;0.005463;
8.048575;0.100000;0.008130;
9.048575;0.100000;0.010796;
10.048575;0.100000;0.013463;
11.048575;0.100000;0.016130;
12.048575;0.100000;0.018796;
13.048575;0.100000;0.021463;
14.048575;0.100000;0.024130;
15.048575;0.100000;0.026796;
16.048575;0.100000;0.029463;
17.048575;0.100000;0.032130;
18.048575;0.100000;0.034796;
19.048575;0.100000;0.037463;
20.048575;0.100000;0.040130;
21.048575;0.100000;0.042796;
22.048575;0.100000;0.045463;
23.048575;0.100000;0.048130;
23.750074;0.100000;0.050000;
23.750075;0.100000;0.050000;
23.750076;0.100000;0.050000;
23.750078;0.100000;0.050000;
23.750082;0.100000;0.050000;
23.750090;0.100000;0.050000;
23.750106;0.100000;0.050000;
23.750138;0.100000;0.050000;
23.750202;0.100000;0.050000;
23.750330;0.100000;0.050000;
23.750586;0.100000;0.050000;
23.751098;0.100000;0.050000;
23.752122;0.100000;0.050000;
23.754170;0.100000;0.050000;
23.758266;0.100000;0.050000;
23.766458;0.100000;0.050000;
23.782842;0.100000;0.050000;
23.815610;0.100000;0.050000;
23.881146;0.100000;0.050000;
24.012218;0.100000;0.050000;
24.274362;0.100000;0.050000;
24.798650;0.100000;0.050000;
25.798650;0.100000;0.050000;
26.798650;0.100000;0.050000;
27.798650;0.100000;0.050000;
28.798650;0.100000;0.050000;
29.798650;0.100000;0.050000;
30.798650;0.100000;0.050000;
31.798650;0.100000;0.050000;
32.798650;0.100000;0.050000;
33.798650;0.100000;0.050000;
34.798650;0.100000;0.050000;
35.798650;0.100000;0.050000;
36.798650;0.100000;0.050000;
37.798650;0.100000;0.050000;
38.798650;0.100000;0.050000;
39.798650;0.100000;0.050000;
40.798650;0.100000;0.050000;
41.798650;0.100000;0.050000;
42.798650;0.100000;0.050000;
43.798650;0.100000;0.050000;
44.798650;0.100000;0.050000;
45.798650;0.100000;0.050000;
46.798650;0.100000;0.050000;
47.798650;0.100000;0.050000;
48.798650;0.100000;0.050000;
49.798650;0.100000;0.050000;
50.798650;0.100000;0.050000;
51.798650;0.100000;0.050000;
52.798650;0.100000;0.050000;
53.798650;0.100000;0.050000;
54.798650;0.100000;0.050000;
55.798650;0.100000;0.050000;
56.798650;0.100000;0.050000;
57.798650;0.100000;0.050000;
58.798650;0.100000;0.050000;
59.798650;0.100000;0.050000;
60.000000;0.100000;0.050000;
