time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;19.979030;1.000014;2.420747;
0.000001;1.000000;19.979030;1.000014;2.420747;
0.000002;1.000000;19.979030;1.000014;2.420746;
0.000004;1.000000;19.979030;1.000014;2.420746;
0.000008;1.000000;19.979030;1.000014;2.420745;
0.000016;1.000000;19.979030;1.000014;2.420744;
0.000032;1.000000;19.979030;1.000014;2.420741;
0.000064;1.000000;19.979030;1.000014;2.420735;
0.000128;1.000000;19.979030;1.000014;2.420723;
0.000256;1.000000;19.979031;1.000014;2.420700;
0.000512;1.000000;19.979032;1.000014;2.420659;
0.001024;1.000000;19.979035;1.000014;2.420588;
0.002048;1.000000;19.979039;1.000014;2.420493;
0.004096;1.000000;19.979048;1.000015;2.420449;
0.008192;1.000000;19.979065;1.000015;2.420717;
0.016384;1.000000;19.979107;1.000016;2.421696;
0.032768;1.000000;19.979223;1.000017;2.422444;
0.065536;1.000000;19.979407;1.000019;2.421572;
0.131072;1.000000;19.979621;1.000018;2.420477;
0.262144;1.000001;19.979919;1.000012;2.420168;
0.524288;1.000000;19.980131;1.000003;2.420259;
1.000000;1.000000;19.980086;0.999999;2.420520;
1.000000;1.000000;2.300817;0.496323;2.420520;
1.000001;1.000000;2.300818;0.496320;2.427236;
1.000002;1.000000;2.300817;0.496317;2.433954;
1.000004;1.000001;2.300815;0.496310;2.447389;
1.000008;1.000001;2.300812;0.496297;2.474269;
1.000016;1.000002;2.300806;0.496272;2.528063;
1.000032;1.000004;2.300793;0.496221;2.635785;
1.000064;1.000007;2.300768;0.496119;2.851764;
1.000128;1.000014;2.300724;0.495915;3.285847;
1.000256;1.000029;2.300655;0.495512;4.162315;
1.000512;1.000057;2.300598;0.494719;5.946988;
1.000660;1.000074;2.300615;0.494267;7.000001;
1.000661;1.000074;2.300616;0.494264;7.000000;
1.000662;1.000074;2.300616;0.494261;7.000000;
1.000664;1.000074;2.300616;0.494255;6.999999;
1.000668;1.000074;2.300617;0.494243;7.000000;
1.000676;1.000075;2.300619;0.494219;7.000000;
1.000692;1.000077;2.300623;0.494170;7.000000;
1.000724;1.000081;2.300631;0.494074;7.000000;
1.000788;1.000088;2.300647;0.493881;7.000000;
1.000916;1.000102;2.300682;0.493497;7.000000;
1.001172;1.000130;2.300764;0.492734;7.000000;
1.001684;1.000187;2.300973;0.491230;7.000000;
1.002708;1.000301;2.301568;0.488305;7.000000;
1.003732;1.000415;2.302388;0.485487;7.000000;
1.004756;1.000529;2.303423;0.482773;7.000000;
1.005780;1.000643;2.304663;0.480160;7.000000;
1.006804;1.000757;2.306099;0.477643;7.000000;
1.007828;1.000871;2.307720;0.475219;7.000000;
1.008852;1.000985;2.309518;0.472885;7.000000;
1.009812;1.001092;2.311355;0.470777;7.000000;
1.009813;1.001092;2.311357;0.470775;7.000000;
1.009814;1.001092;2.311359;0.470773;7.000000;
1.009816;1.001092;2.311363;0.470768;7.000000;
1.009820;1.001093;2.311371;0.470760;7.000000;
1.009828;1.001094;2.311387;0.470742;7.000000;
1.009844;1.001095;2.311419;0.470708;7.000000;
1.009876;1.001099;2.311483;0.470639;7.000000;
1.009940;1.001106;2.311612;0.470501;7.000000;
1.010068;1.001120;2.311870;0.470227;7.000000;
1.010324;1.001149;2.312395;0.469682;7.000000;
1.010836;1.001206;2.313474;0.468608;7.000000;
1.011860;1.001320;2.315745;0.466520;7.000000;
1.012884;1.001434;2.318160;0.464508;7.000000;
1.014932;1.001662;2.323396;0.460704;7.000000;
1.016980;1.001889;2.329136;0.457176;7.000000;
1.019028;1.002117;2.335335;0.453904;7.000000;
1.021076;1.002345;2.341954;0.450871;7.000000;
1.023124;1.002573;2.348955;0.448059;7.000000;
1.025172;1.002800;2.356304;0.445452;7.000000;
1.027220;1.003028;2.363973;0.443034;7.000000;
