time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;19.979030;1.000014;2.409820;
0.000001;1.000000;19.979030;1.000014;2.409821;
0.000002;1.000000;19.979030;1.000014;2.409821;
0.000004;1.000000;19.979030;1.000014;2.409821;
0.000008;1.000000;19.979030;1.000014;2.409821;
0.000016;1.000000;19.979029;1.000014;2.409823;
0.000032;1.000000;19.979029;1.000014;2.409825;
0.000064;1.000000;19.979029;1.000014;2.409829;
0.000128;1.000000;19.979028;1.000014;2.409838;
0.000256;1.000000;19.979026;1.000014;2.409855;
0.000512;1.000000;19.979022;1.000014;2.409890;
0.001024;1.000000;19.979015;1.000014;2.409957;
0.002048;1.000000;19.978999;1.000014;2.410086;
0.004096;1.000000;19.978968;1.000013;2.410323;
0.008192;1.000000;19.978901;1.000012;2.410738;
0.016384;1.000000;19.978759;1.000009;2.411454;
0.032768;1.000000;19.978472;1.000003;2.412981;
0.065536;1.000001;19.978115;0.999994;2.417634;
0.131072;1.000001;19.978807;0.999998;2.428155;
0.262144;1.000001;19.981207;1.000025;2.429159;
0.524288;1.000000;19.980467;1.000007;2.419224;
1.000000;1.000000;19.980080;1.000000;2.420305;
1.000000;1.000000;2.300818;0.496324;-6.400022;
1.000001;1.000000;2.300816;0.496320;-6.400000;
1.000002;1.000000;2.300813;0.496317;-6.400000;
1.000004;1.000000;2.300808;0.496310;-6.400001;
1.000008;1.000001;2.300797;0.496296;-6.400000;
1.000016;1.000002;2.300777;0.496269;-6.400000;
1.000032;1.000004;2.300735;0.496214;-6.400000;
1.000064;1.000007;2.300652;0.496105;-6.400000;
1.000128;1.000014;2.300486;0.495887;-6.400000;
1.000256;1.000028;2.300156;0.495453;-6.400000;
1.000512;1.000057;2.299506;0.494588;-6.400000;
1.001024;1.000114;2.298241;0.492880;-6.400000;
1.002048;1.000228;2.295846;0.489540;-6.400000;
1.003487;1.000388;2.292767;0.485014;-6.400000;
1.003487;1.000388;2.292768;0.485014;-6.399990;
1.003488;1.000388;2.292766;0.485011;-6.394547;
1.003489;1.000388;2.292764;0.485008;-6.389093;
1.003491;1.000388;2.292760;0.485002;-6.378186;
1.003495;1.000389;2.292752;0.484990;-6.356376;
1.003503;1.000390;2.292736;0.484965;-6.312771;
1.003519;1.000392;2.292704;0.484916;-6.225622;
1.003551;1.000395;2.292642;0.484818;-6.051572;
1.003615;1.000402;2.292520;0.484623;-5.704459;
1.003743;1.000416;2.292292;0.484234;-5.014155;
1.003999;1.000445;2.291897;0.483469;-3.649086;
1.004511;1.000502;2.291346;0.481982;-0.979859;
1.005535;1.000616;2.291173;0.479175;4.124492;
1.006139;1.000683;2.291623;0.477620;7.000001;
1.006140;1.000683;2.291625;0.477617;7.000000;
1.006141;1.000684;2.291626;0.477615;7.000000;
1.006143;1.000684;2.291628;0.477610;7.000000;
1.006147;1.000684;2.291633;0.477600;7.000000;
1.006155;1.000685;2.291642;0.477579;7.000000;
1.006171;1.000687;2.291660;0.477539;7.000000;
1.006203;1.000690;2.291696;0.477459;7.000000;
1.006267;1.000698;2.291770;0.477300;7.000000;
1.006395;1.000712;2.291919;0.476981;7.000000;
1.006651;1.000740;2.292227;0.476349;7.000000;
1.007163;1.000797;2.292880;0.475102;7.000000;
1.008187;1.000911;2.294328;0.472677;7.000000;
1.010235;1.001140;2.297757;0.468089;7.000000;
1.012283;1.001368;2.301849;0.463833;7.000000;
1.014331;1.001596;2.306547;0.459887;7.000000;
1.016379;1.001824;2.311796;0.456228;7.000000;
1.018427;1.002052;2.317545;0.452836;7.000000;
1.020475;1.002280;2.323751;0.449691;7.000000;
1.022523;1.002508;2.330373;0.446775;7.000000;
1.024571;1.002736;2.337375;0.444071;7.000000;
1.026619;1.002964;2.344723;0.441564;7.000000;
1.030715;1.003419;2.360318;0.437069;7.000000;
1.034401;1.003828;2.375280;0.433563;7.000000;
1.038088;1.004237;2.390994;0.430497;7.000000;
1.041774;1.004645;2.407356;0.427815;7.000000;
1.045460;1.005053;2.424284;0.425468;7.000000;
1.047142;1.005239;2.432169;0.424494;7.000000;
1.047142;1.005239;2.432161;0.424493;7.000000;
1.047143;1.005239;2.432166;0.424492;7.000000;
