time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;19.979030;1.000014;2.420747;
0.000001;1.000000;19.979030;1.000014;2.420747;
0.000002;1.000000;19.979030;1.000014;2.420746;
0.000004;1.000000;19.979030;1.000014;2.420746;
0.000008;1.000000;19.979030;1.000014;2.420745;
0.000016;1.000000;19.979030;1.000014;2.420743;
0.000032;1.000000;19.979030;1.000014;2.420740;
0.000064;1.000000;19.979030;1.000014;2.420733;
0.000128;1.000000;19.979030;1.000014;2.420720;
0.000256;1.000000;19.979031;1.000014;2.420693;
0.000512;1.000000;19.979032;1.000014;2.420640;
0.001024;1.000000;19.979035;1.000014;2.420536;
0.002048;1.000000;19.979039;1.000014;2.420337;
0.004096;1.000000;19.979046;1.000015;2.419973;
0.008192;1.000000;19.979056;1.000015;2.419364;
0.016384;1.000000;19.979059;1.000015;2.418504;
0.032118;1.000000;19.979027;1.000014;2.417693;
0.032119;1.000000;19.979027;1.000014;2.418073;
0.032120;1.000000;19.979027;1.000014;2.418073;
0.032122;1.000000;19.979027;1.000014;2.418049;
0.032126;1.000000;19.979027;1.000014;2.418073;
0.032134;1.000000;19.979027;1.000014;2.418073;
0.032150;1.000000;19.979027;1.000014;2.418073;
0.032182;1.000000;19.979027;1.000014;2.418073;
0.032246;1.000000;19.979027;1.000014;2.418073;
0.032374;1.000000;19.979026;1.000014;2.418073;
0.032630;1.000000;19.979025;1.000014;2.418074;
0.033142;1.000000;19.979024;1.000014;2.418076;
0.034166;1.000000;19.979020;1.000014;2.418080;
0.036214;1.000000;19.979013;1.000014;2.418095;
0.040310;1.000000;19.978999;1.000013;2.418140;
0.048502;1.000000;19.978971;1.000012;2.418283;
0.064886;1.000000;19.978927;1.000010;2.418693;
0.097654;1.000001;19.978915;1.000007;2.419657;
0.163190;1.000001;19.979210;1.000004;2.421197;
0.294262;1.000001;19.980270;1.000002;2.422093;
0.556406;1.000000;19.980564;1.000001;2.420685;
0.557787;1.000000;19.980562;1.000001;2.420685;
0.557788;1.000000;19.980562;1.000001;2.420305;
0.557789;1.000000;19.980562;1.000001;2.420305;
0.557791;1.000000;19.980562;1.000001;2.420328;
0.557795;1.000000;19.980562;1.000001;2.420305;
0.557803;1.000000;19.980562;1.000001;2.420305;
0.557819;1.000000;19.980562;1.000001;2.420305;
0.557851;1.000000;19.980562;1.000001;2.420305;
0.557915;1.000000;19.980562;1.000001;2.420305;
0.558043;1.000000;19.980562;1.000001;2.420305;
0.558299;1.000000;19.980563;1.000001;2.420306;
0.558811;1.000000;19.980563;1.000001;2.420307;
0.559835;1.000000;19.980563;1.000001;2.420309;
0.561883;1.000000;19.980564;1.000001;2.420314;
0.565979;1.000000;19.980565;1.000001;2.420326;
0.574171;1.000000;19.980565;1.000001;2.420352;
0.590555;1.000000;19.980559;1.000000;2.420410;
0.623323;1.000000;19.980532;1.000000;2.420506;
0.678048;1.000000;19.980443;1.000000;2.420573;
0.678049;1.000000;19.980443;1.000000;2.420193;
0.678050;1.000000;19.980443;1.000000;2.420193;
0.678052;1.000000;19.980443;1.000000;2.420216;
0.678056;1.000000;19.980443;1.000000;2.420193;
0.678064;1.000000;19.980443;1.000000;2.420193;
0.678080;1.000000;19.980443;1.000000;2.420193;
0.678112;1.000000;19.980443;1.000000;2.420193;
0.678176;1.000000;19.980443;1.000000;2.420193;
0.678304;1.000000;19.980443;1.000000;2.420192;
0.678560;1.000000;19.980442;1.000000;2.420191;
0.679072;1.000000;19.980440;1.000000;2.420189;
0.680096;1.000000;19.980438;1.000000;2.420184;
0.682144;1.000000;19.980432;1.000000;2.420176;
0.686240;1.000000;19.980419;1.000000;2.420160;
0.694432;1.000000;19.980393;0.999999;2.420134;
0.710816;1.000000;19.980334;0.999999;2.420098;
0.743584;1.000000;19.980205;0.999999;2.420076;
