time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_pss_UPssPu;
0.000000;1.000000;19.979030;1.000014;2.420747;0.000000;
0.000001;1.000000;19.979030;1.000014;2.420747;-0.000000;
0.000002;1.000000;19.979030;1.000014;2.420746;-0.000000;
0.000004;1.000000;19.979030;1.000014;2.420746;-0.000000;
0.000008;1.000000;19.979030;1.000014;2.420745;-0.000000;
0.000016;1.000000;19.979030;1.000014;2.420744;-0.000000;
0.000032;1.000000;19.979030;1.000014;2.420741;-0.000000;
0.000064;1.000000;19.979030;1.000014;2.420735;-0.000000;
0.000128;1.000000;19.979030;1.000014;2.420723;-0.000000;
0.000256;1.000000;19.979031;1.000014;2.420698;-0.000000;
0.000512;1.000000;19.979032;1.000014;2.420651;-0.000000;
0.001024;1.000000;19.979035;1.000014;2.420558;-0.000000;
0.002048;1.000000;19.979039;1.000014;2.420379;-0.000000;
0.004096;1.000000;19.979047;1.000015;2.420053;-0.000000;
0.008192;1.000000;19.979057;1.000015;2.419506;-0.000000;
0.016384;1.000000;19.979063;1.000015;2.418731;-0.000000;
0.032768;1.000000;19.979038;1.000014;2.417973;-0.000000;
0.065536;1.000000;19.978944;1.000011;2.417881;-0.000001;
0.131072;1.000001;19.979066;1.000004;2.419391;-0.000001;
0.262144;1.000001;19.979878;0.999999;2.420743;-0.000000;
0.524288;1.000000;19.980401;1.000000;2.420889;0.000000;
1.000000;1.000000;19.980121;1.000000;2.420663;0.000000;
1.000000;1.000000;2.300821;0.496324;2.420663;0.000000;
1.000001;1.000000;2.300822;0.496321;2.427379;0.000000;
1.000002;1.000000;2.300821;0.496318;2.434093;0.000000;
1.000004;1.000000;2.300820;0.496311;2.447522;0.000000;
1.000008;1.000001;2.300816;0.496298;2.474375;0.000000;
1.000016;1.000002;2.300810;0.496273;2.528062;0.000000;
1.000032;1.000004;2.300797;0.496222;2.635357;0.000000;
1.000064;1.000007;2.300772;0.496119;2.849638;0.000000;
1.000128;1.000014;2.300728;0.495916;3.276961;0.000000;
1.000256;1.000028;2.300659;0.495513;4.126683;0.000000;
1.000512;1.000057;2.300597;0.494719;5.806616;0.000000;
1.000696;1.000077;2.300614;0.494158;7.000001;-0.000000;
1.000697;1.000077;2.300614;0.494155;7.000000;-0.000000;
1.000698;1.000078;2.300614;0.494152;7.000000;-0.000000;
1.000700;1.000078;2.300615;0.494146;6.999999;-0.000000;
1.000704;1.000078;2.300616;0.494134;7.000000;-0.000000;
1.000712;1.000079;2.300618;0.494110;7.000000;-0.000000;
1.000728;1.000081;2.300621;0.494062;7.000000;-0.000000;
1.000760;1.000085;2.300629;0.493965;7.000000;-0.000000;
1.000824;1.000092;2.300646;0.493773;7.000000;-0.000000;
1.000952;1.000106;2.300682;0.493389;7.000000;-0.000000;
1.001208;1.000134;2.300767;0.492628;7.000000;-0.000001;
1.001720;1.000191;2.300980;0.491126;7.000000;-0.000002;
1.002744;1.000305;2.301582;0.488204;7.000000;-0.000007;
1.004792;1.000533;2.303443;0.482676;7.000000;-0.000034;
1.005000;1.000556;2.303677;0.482138;7.000000;-0.000038;
1.005000;1.000556;20.020773;0.974432;7.000000;-0.000038;
1.005001;1.000556;20.020815;0.974434;7.000000;-0.000038;
1.005002;1.000556;20.020834;0.974435;7.000000;-0.000038;
1.005004;1.000556;20.020870;0.974437;7.000000;-0.000038;
1.005008;1.000556;20.020948;0.974440;7.000000;-0.000038;
1.005016;1.000556;20.021099;0.974446;7.000000;-0.000039;
1.005032;1.000556;20.021403;0.974459;7.000000;-0.000039;
1.005064;1.000556;20.022011;0.974485;7.000000;-0.000040;
