time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;19.979030;1.000014;2.420747;
0.000001;1.000000;19.979030;1.000014;2.420747;
0.000002;1.000000;19.979030;1.000014;2.420748;
0.000004;1.000000;19.979030;1.000014;2.420749;
0.000008;1.000000;19.979030;1.000014;2.420750;
0.000016;1.000000;19.979030;1.000014;2.420754;
0.000032;1.000000;19.979030;1.000014;2.420761;
0.000064;1.000000;19.979030;1.000014;2.420775;
0.000128;1.000000;19.979030;1.000014;2.420803;
0.000256;1.000000;19.979031;1.000014;2.420858;
0.000512;1.000000;19.979032;1.000014;2.420967;
0.001024;1.000000;19.979035;1.000014;2.421176;
0.002048;1.000000;19.979041;1.000015;2.421562;
0.004096;1.000000;19.979055;1.000015;2.422222;
0.008192;1.000000;19.979088;1.000015;2.423156;
0.016384;1.000000;19.979165;1.000017;2.423930;
0.032768;1.000000;19.979315;1.000019;2.423351;
0.065536;1.000000;19.979462;1.000021;2.421001;
0.131072;1.000000;19.979617;1.000018;2.420175;
0.262144;1.000001;19.979901;1.000012;2.420139;
0.524288;1.000000;19.980127;1.000003;2.420258;
1.000000;1.000000;19.980087;0.999999;2.420521;
1.000000;1.000000;2.300817;0.496323;2.420521;
1.000001;1.000000;2.300818;0.496320;2.438353;
1.000002;1.000000;2.300817;0.496317;2.456185;
1.000004;1.000001;2.300816;0.496310;2.491844;
1.000008;1.000001;2.300812;0.496297;2.563147;
1.000016;1.000002;2.300806;0.496272;2.705692;
1.000032;1.000004;2.300794;0.496221;2.990533;
1.000064;1.000007;2.300773;0.496119;3.559221;
1.000128;1.000014;2.300742;0.495917;4.692631;
1.000256;1.000029;2.300727;0.495520;6.943667;
1.000259;1.000029;2.300728;0.495510;7.000001;
1.000260;1.000029;2.300728;0.495507;7.000000;
1.000261;1.000029;2.300728;0.495504;7.000000;
1.000263;1.000029;2.300728;0.495498;6.999999;
1.000267;1.000030;2.300729;0.495486;7.000000;
1.000275;1.000031;2.300730;0.495461;7.000000;
1.000291;1.000032;2.300732;0.495412;7.000000;
1.000323;1.000036;2.300737;0.495314;7.000000;
1.000387;1.000043;2.300748;0.495119;7.000000;
1.000515;1.000057;2.300771;0.494729;7.000000;
1.000771;1.000086;2.300830;0.493956;7.000000;
1.001283;1.000143;2.300994;0.492429;7.000000;
1.002307;1.000257;2.301500;0.489461;7.000000;
1.003040;1.000338;2.302000;0.487402;7.000000;
1.003040;1.000338;2.302001;0.487402;6.999960;
1.003041;1.000338;2.302002;0.487399;7.000000;
1.003042;1.000338;2.302002;0.487396;7.000000;
1.003044;1.000339;2.302004;0.487391;6.999998;
1.003048;1.000339;2.302007;0.487380;7.000000;
1.003056;1.000340;2.302013;0.487358;7.000000;
1.003072;1.000342;2.302026;0.487313;7.000000;
1.003104;1.000345;2.302050;0.487225;7.000000;
1.003168;1.000352;2.302101;0.487048;7.000000;
1.003296;1.000367;2.302205;0.486697;7.000000;
1.003552;1.000395;2.302422;0.485998;7.000000;
1.004064;1.000452;2.302898;0.484620;7.000000;
1.005088;1.000566;2.304005;0.481940;7.000000;
1.007136;1.000794;2.306806;0.476869;7.000000;
1.009184;1.001022;2.310335;0.472166;7.000000;
1.011232;1.001250;2.314527;0.467805;7.000000;
1.013280;1.001478;2.319322;0.463761;7.000000;
1.015328;1.001706;2.324664;0.460012;7.000000;
1.017376;1.001933;2.330503;0.456536;7.000000;
1.019424;1.002161;2.336794;0.453314;7.000000;
1.021472;1.002389;2.343496;0.450327;7.000000;
1.023520;1.002617;2.350573;0.447557;7.000000;
1.025568;1.002844;2.357993;0.444989;7.000000;
1.027616;1.003072;2.365725;0.442608;7.000000;
1.031712;1.003526;2.382000;0.438338;7.000000;
1.035808;1.003980;2.399246;0.434660;7.000000;
1.039904;1.004434;2.417321;0.431493;7.000000;
