time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;19.979030;1.000014;2.420747;
0.000001;1.000000;19.979030;1.000014;2.420747;
0.000002;1.000000;19.979030;1.000014;2.420747;
0.000004;1.000000;19.979030;1.000014;2.420746;
0.000008;1.000000;19.979030;1.000014;2.420746;
0.000016;1.000000;19.979030;1.000014;2.420744;
0.000032;1.000000;19.979030;1.000014;2.420742;
0.000064;1.000000;19.979030;1.000014;2.420737;
0.000128;1.000000;19.979030;1.000014;2.420726;
0.000256;1.000000;19.979031;1.000014;2.420706;
0.000512;1.000000;19.979032;1.000014;2.420666;
0.001024;1.000000;19.979035;1.000014;2.420589;
0.002048;1.000000;19.979039;1.000014;2.420443;
0.004096;1.000000;19.979047;1.000015;2.420188;
0.008192;1.000000;19.979060;1.000015;2.419804;
0.016384;1.000000;19.979074;1.000015;2.419432;
0.032768;1.000000;19.979093;1.000015;2.419676;
0.065536;1.000000;19.979205;1.000016;2.421518;
0.131072;1.000000;19.979721;1.000020;2.422358;
0.262144;1.000000;19.980071;1.000017;2.420528;
0.524288;1.000000;19.980096;1.000006;2.420092;
1.000000;1.000000;19.980062;1.000000;2.420435;
1.000000;1.000000;2.300814;0.496323;2.420435;
1.000001;1.000000;2.300815;0.496320;2.427672;
1.000002;1.000000;2.300815;0.496317;2.434909;
1.000004;1.000001;2.300813;0.496310;2.449382;
1.000008;1.000001;2.300810;0.496298;2.478323;
1.000016;1.000002;2.300803;0.496272;2.536189;
1.000032;1.000004;2.300790;0.496221;2.651848;
1.000064;1.000007;2.300766;0.496119;2.882881;
1.000128;1.000014;2.300722;0.495916;3.343806;
1.000256;1.000029;2.300656;0.495512;4.261120;
1.000512;1.000057;2.300604;0.494720;6.077803;
1.000643;1.000072;2.300619;0.494321;7.000001;
1.000644;1.000072;2.300619;0.494318;7.000000;
1.000645;1.000072;2.300619;0.494315;7.000000;
1.000647;1.000072;2.300620;0.494308;6.999999;
1.000651;1.000073;2.300621;0.494296;7.000000;
1.000659;1.000073;2.300623;0.494272;7.000000;
1.000675;1.000075;2.300626;0.494224;7.000000;
1.000707;1.000079;2.300634;0.494127;7.000000;
1.000771;1.000086;2.300650;0.493935;7.000000;
1.000899;1.000100;2.300685;0.493550;7.000000;
1.001155;1.000129;2.300766;0.492787;7.000000;
1.001667;1.000186;2.300973;0.491282;7.000000;
1.002691;1.000299;2.301564;0.488355;7.000000;
1.004739;1.000527;2.303403;0.482816;7.000000;
1.006787;1.000755;2.306061;0.477678;7.000000;
1.008835;1.000983;2.309464;0.472912;7.000000;
1.010883;1.001211;2.313543;0.468494;7.000000;
1.012931;1.001439;2.318235;0.464397;7.000000;
1.014979;1.001667;2.323484;0.460599;7.000000;
1.017027;1.001895;2.329239;0.457078;7.000000;
1.019075;1.002122;2.335452;0.453814;7.000000;
1.021123;1.002350;2.342085;0.450787;7.000000;
1.023171;1.002578;2.349098;0.447982;7.000000;
1.026759;1.002976;2.362174;0.443535;7.000000;
1.026759;1.002976;2.362175;0.443535;6.999960;
1.026760;1.002977;2.362178;0.443534;7.000000;
1.026761;1.002977;2.362182;0.443533;7.000000;
1.026763;1.002977;2.362190;0.443530;6.999998;
1.026767;1.002977;2.362205;0.443526;7.000000;
1.026775;1.002978;2.362235;0.443517;7.000000;
1.026791;1.002980;2.362296;0.443498;7.000000;
1.026823;1.002984;2.362418;0.443461;7.000000;
1.026887;1.002991;2.362661;0.443388;7.000000;
1.027015;1.003005;2.363148;0.443241;7.000000;
1.027271;1.003033;2.364125;0.442950;7.000000;
1.027783;1.003090;2.366094;0.442376;7.000000;
1.028807;1.003204;2.370083;0.441260;7.000000;
1.030855;1.003431;2.378259;0.439148;7.000000;
1.034951;1.003885;2.395321;0.435359;7.000000;
1.039047;1.004339;2.413230;0.432091;7.000000;
