time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;19.979030;1.000014;2.420747;
0.000001;1.000000;19.979030;1.000014;2.420747;
0.000002;1.000000;19.979030;1.000014;2.420746;
0.000004;1.000000;19.979030;1.000014;2.420746;
0.000008;1.000000;19.979030;1.000014;2.420745;
0.000016;1.000000;19.979030;1.000014;2.420744;
0.000032;1.000000;19.979030;1.000014;2.420741;
0.000064;1.000000;19.979030;1.000014;2.420735;
0.000128;1.000000;19.979030;1.000014;2.420723;
0.000256;1.000000;19.979031;1.000014;2.420699;
0.000512;1.000000;19.979032;1.000014;2.420654;
0.001024;1.000000;19.979035;1.000014;2.420570;
0.002048;1.000000;19.979039;1.000014;2.420428;
0.004096;1.000000;19.979047;1.000015;2.420226;
0.008192;1.000000;19.979061;1.000015;2.420059;
0.016384;1.000000;19.979084;1.000015;2.420214;
0.032768;1.000000;19.979137;1.000016;2.420919;
0.065536;1.000000;19.979269;1.000017;2.421464;
0.131072;1.000001;19.979514;1.000015;2.420509;
0.262144;1.000001;19.979900;1.000008;2.420136;
0.524288;1.000000;19.980190;1.000000;2.420332;
1.000000;1.000000;19.980106;0.999999;2.420588;
1.000000;1.000000;2.300819;0.496322;2.420588;
1.000001;1.000000;2.300820;0.496320;2.427304;
1.000002;1.000000;2.300819;0.496316;2.434020;
1.000004;1.000000;2.300818;0.496310;2.447451;
1.000008;1.000001;2.300814;0.496297;2.474315;
1.000016;1.000002;2.300808;0.496272;2.528046;
1.000032;1.000004;2.300795;0.496220;2.635518;
1.000064;1.000007;2.300770;0.496118;2.850502;
1.000128;1.000014;2.300726;0.495915;3.280628;
1.000256;1.000029;2.300657;0.495512;4.141459;
1.000512;1.000057;2.300597;0.494718;5.865068;
1.000680;1.000076;2.300614;0.494206;7.000001;
1.000681;1.000076;2.300614;0.494203;7.000000;
1.000682;1.000076;2.300615;0.494200;7.000000;
1.000684;1.000076;2.300615;0.494194;6.999999;
1.000688;1.000077;2.300616;0.494181;7.000000;
1.000696;1.000077;2.300618;0.494157;7.000000;
1.000712;1.000079;2.300622;0.494109;7.000000;
1.000744;1.000083;2.300630;0.494013;7.000000;
1.000808;1.000090;2.300646;0.493820;7.000000;
1.000936;1.000104;2.300682;0.493436;7.000000;
1.001192;1.000133;2.300765;0.492674;7.000000;
1.001704;1.000190;2.300977;0.491171;7.000000;
1.002728;1.000303;2.301575;0.488248;7.000000;
1.004776;1.000531;2.303430;0.482717;7.000000;
1.006824;1.000759;2.306101;0.477585;7.000000;
1.008872;1.000987;2.309516;0.472826;7.000000;
1.010920;1.001215;2.313606;0.468414;7.000000;
1.012968;1.001443;2.318308;0.464322;7.000000;
1.015016;1.001671;2.323566;0.460529;7.000000;
1.017064;1.001899;2.329328;0.457013;7.000000;
1.019112;1.002127;2.335550;0.453753;7.000000;
1.021160;1.002354;2.342188;0.450731;7.000000;
1.021592;1.002402;2.343637;0.450122;7.000000;
1.021592;1.002402;2.343636;0.450122;6.999960;
1.021593;1.002402;2.343640;0.450121;7.000000;
1.021594;1.002402;2.343643;0.450119;7.000000;
1.021596;1.002403;2.343650;0.450117;6.999998;
1.021600;1.002403;2.343663;0.450111;7.000000;
1.021608;1.002404;2.343690;0.450100;7.000000;
1.021624;1.002406;2.343744;0.450077;7.000000;
1.021656;1.002409;2.343853;0.450033;7.000000;
1.021720;1.002416;2.344070;0.449944;7.000000;
1.021848;1.002431;2.344505;0.449767;7.000000;
1.022104;1.002459;2.345379;0.449414;7.000000;
1.022616;1.002516;2.347144;0.448720;7.000000;
1.023640;1.002630;2.350739;0.447369;7.000000;
1.025688;1.002857;2.358177;0.444813;7.000000;
1.027736;1.003085;2.365925;0.442442;7.000000;
1.031832;1.003539;2.382227;0.438190;7.000000;
1.035928;1.003993;2.399494;0.434528;7.000000;
