time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;19.979030;1.000014;2.420747;
0.000001;1.000000;19.979030;1.000014;2.420746;
0.000002;1.000000;19.979030;1.000014;2.420746;
0.000004;1.000000;19.979030;1.000014;2.420745;
0.000008;1.000000;19.979030;1.000014;2.420744;
0.000016;1.000000;19.979030;1.000014;2.420740;
0.000032;1.000000;19.979030;1.000014;2.420734;
0.000064;1.000000;19.979030;1.000014;2.420721;
0.000128;1.000000;19.979030;1.000014;2.420695;
0.000256;1.000000;19.979031;1.000014;2.420645;
0.000512;1.000000;19.979032;1.000014;2.420545;
0.001024;1.000000;19.979034;1.000014;2.420355;
0.002048;1.000000;19.979038;1.000014;2.420008;
0.004096;1.000000;19.979044;1.000015;2.419430;
0.008192;1.000000;19.979049;1.000015;2.418653;
0.016384;1.000000;19.979045;1.000015;2.418099;
0.032768;1.000000;19.979027;1.000014;2.418771;
0.065536;1.000000;19.979081;1.000013;2.421042;
0.131072;1.000001;19.979459;1.000013;2.421243;
0.262144;1.000001;19.979939;1.000008;2.420311;
0.524288;1.000000;19.980212;0.999999;2.420325;
1.000000;1.000000;19.980109;0.999998;2.420593;
1.000000;1.000000;2.300819;0.496322;2.420593;
1.000001;1.000000;2.300820;0.496319;2.423238;
1.000002;1.000000;2.300820;0.496316;2.425883;
1.000004;1.000000;2.300818;0.496310;2.431174;
1.000008;1.000001;2.300815;0.496297;2.441758;
1.000016;1.000002;2.300808;0.496271;2.462936;
1.000032;1.000004;2.300795;0.496220;2.505334;
1.000064;1.000007;2.300769;0.496118;2.590302;
1.000128;1.000014;2.300720;0.495914;2.760915;
1.000256;1.000029;2.300631;0.495508;3.104826;
1.000512;1.000057;2.300491;0.494705;3.803160;
1.001024;1.000114;2.300365;0.493133;5.240128;
1.001628;1.000181;2.300492;0.491338;7.000001;
1.001629;1.000181;2.300493;0.491335;7.000000;
1.001630;1.000181;2.300493;0.491332;7.000000;
1.001632;1.000182;2.300494;0.491326;6.999999;
1.001636;1.000182;2.300496;0.491315;7.000000;
1.001644;1.000183;2.300499;0.491291;7.000000;
1.001660;1.000185;2.300507;0.491245;7.000000;
1.001692;1.000188;2.300521;0.491151;7.000000;
1.001756;1.000195;2.300551;0.490965;7.000000;
1.001884;1.000210;2.300614;0.490595;7.000000;
1.002140;1.000238;2.300750;0.489858;7.000000;
1.002652;1.000295;2.301066;0.488406;7.000000;
1.003676;1.000409;2.301865;0.485581;7.000000;
1.005724;1.000637;2.304091;0.480237;7.000000;
1.007772;1.000865;2.307100;0.475279;7.000000;
1.009820;1.001093;2.310820;0.470681;7.000000;
1.011868;1.001321;2.315187;0.466418;7.000000;
1.013916;1.001549;2.320140;0.462466;7.000000;
1.015964;1.001776;2.325625;0.458802;7.000000;
1.018012;1.002004;2.331594;0.455405;7.000000;
1.020060;1.002232;2.338003;0.452256;7.000000;
1.022108;1.002460;2.344813;0.449336;7.000000;
1.024156;1.002687;2.351988;0.446629;7.000000;
1.026204;1.002915;2.359497;0.444119;7.000000;
1.030300;1.003370;2.375378;0.439619;7.000000;
1.034396;1.003824;2.392290;0.435744;7.000000;
1.038492;1.004278;2.410082;0.432407;7.000000;
1.042588;1.004731;2.428621;0.429532;7.000000;
1.044967;1.004994;2.439680;0.428045;7.000000;
1.044967;1.004994;2.439671;0.428044;6.999960;
1.044968;1.004994;2.439676;0.428044;7.000000;
1.044969;1.004994;2.439681;0.428043;7.000000;
1.044971;1.004994;2.439690;0.428042;6.999998;
1.044975;1.004994;2.439709;0.428039;7.000000;
1.044983;1.004995;2.439746;0.428035;7.000000;
1.044999;1.004997;2.439822;0.428025;7.000000;
1.045031;1.005001;2.439972;0.428006;7.000000;
1.045095;1.005008;2.440273;0.427968;7.000000;
1.045223;1.005022;2.440876;0.427893;7.000000;
1.045479;1.005050;2.442083;0.427743;7.000000;
1.045991;1.005107;2.444504;0.427447;7.000000;
1.047015;1.005220;2.449371;0.426871;7.000000;
1.049063;1.005446;2.459204;0.425780;7.000000;
1.053159;1.005897;2.479229;0.423812;7.000000;
1.057255;1.006348;2.499690;0.422102;7.000000;
1.061351;1.006798;2.520530;0.420614;7.000000;
1.065447;1.007248;2.541694;0.419315;7.000000;
1.069543;1.007696;2.563134;0.418176;7.000000;
1.070000;1.007746;2.565539;0.418056;7.000000;
1.070000;1.007746;18.082300;0.850649;7.000000;
1.070001;1.007746;18.082408;0.850654;7.000000;
1.070002;1.007746;18.082485;0.850658;7.000000;
1.070004;1.007746;18.082638;0.850665;7.000000;
1.070008;1.007746;18.082948;0.850680;7.000000;
1.070016;1.007746;18.083564;0.850711;7.000000;
1.070032;1.007747;18.084796;0.850771;7.000000;
