time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_pss_UPssPu;
0.000000;1.000000;19.979030;1.000014;2.420747;0.000000;
0.000001;1.000000;19.979030;1.000014;2.420747;-0.000000;
0.000002;1.000000;19.979030;1.000014;2.420746;-0.000000;
0.000004;1.000000;19.979030;1.000014;2.420746;-0.000000;
0.000008;1.000000;19.979030;1.000014;2.420745;-0.000000;
0.000016;1.000000;19.979030;1.000014;2.420744;-0.000000;
0.000032;1.000000;19.979030;1.000014;2.420741;-0.000000;
0.000064;1.000000;19.979030;1.000014;2.420735;-0.000000;
0.000128;1.000000;19.979030;1.000014;2.420723;-0.000000;
0.000256;1.000000;19.979031;1.000014;2.420698;-0.000000;
0.000512;1.000000;19.979032;1.000014;2.420650;-0.000000;
0.001024;1.000000;19.979035;1.000014;2.420554;-0.000000;
0.002048;1.000000;19.979039;1.000014;2.420352;-0.000000;
0.004096;1.000000;19.979046;1.000015;2.419856;-0.000001;
0.008192;1.000000;19.979050;1.000015;2.418194;-0.000007;
0.016384;1.000000;19.978972;1.000013;2.411215;-0.000038;
0.032768;1.000000;19.978020;0.999995;2.379562;-0.000201;
0.040960;1.000000;19.977033;0.999976;2.353993;-0.000337;
0.057344;1.000001;19.972546;0.999890;2.258715;-0.000861;
0.073728;1.000003;19.961674;0.999681;2.039521;-0.002079;
0.088474;1.000006;19.940279;0.999270;1.606999;-0.004485;
0.097713;1.000009;19.917709;0.998836;1.148372;-0.007036;
0.106953;1.000014;19.882571;0.998161;0.431873;-0.011018;
0.115269;1.000020;19.834799;0.997243;-0.543691;-0.016439;
0.122753;1.000029;19.772631;0.996050;-1.813742;-0.023496;
0.129489;1.000040;19.694759;0.994558;-3.404576;-0.032334;
0.135522;1.000053;19.601040;0.992764;-5.318823;-0.042968;
0.138286;1.000061;19.548101;0.991753;-6.400001;-0.048974;
0.138287;1.000061;19.548082;0.991752;-6.400000;-0.048976;
0.138288;1.000061;19.548062;0.991752;-6.400000;-0.048978;
0.138290;1.000061;19.548022;0.991751;-6.400000;-0.048983;
0.138294;1.000061;19.547942;0.991750;-6.400000;-0.048992;
0.138302;1.000061;19.547783;0.991747;-6.400000;-0.049010;
0.138318;1.000061;19.547465;0.991740;-6.400000;-0.049046;
0.138350;1.000061;19.546829;0.991728;-6.400000;-0.049118;
0.138414;1.000061;19.545555;0.991704;-6.400000;-0.049263;
0.138542;1.000061;19.543006;0.991655;-6.400000;-0.049554;
0.138798;1.000062;19.537898;0.991558;-6.400000;-0.050142;
0.139310;1.000064;19.527646;0.991362;-6.400000;-0.051338;
0.140334;1.000067;19.507000;0.990967;-6.400000;-0.053818;
0.142382;1.000073;19.465182;0.990166;-6.400000;-0.059149;
0.146478;1.000088;19.379718;0.988525;-6.400000;-0.071479;
0.150574;1.000105;19.292146;0.986837;-6.400000;-0.086260;
0.153838;1.000120;19.221168;0.985462;-6.400000;-0.100000;
0.153839;1.000120;19.221146;0.985462;-6.400000;-0.100000;
0.153840;1.000120;19.221124;0.985461;-6.400000;-0.100000;
0.153842;1.000120;19.221080;0.985460;-6.400000;-0.100000;
0.153846;1.000120;19.220992;0.985459;-6.400000;-0.100000;
0.153854;1.000121;19.220817;0.985455;-6.400000;-0.100000;
0.153870;1.000121;19.220466;0.985449;-6.400000;-0.100000;
0.153902;1.000121;19.219764;0.985435;-6.400000;-0.100000;
0.153966;1.000121;19.218360;0.985408;-6.400000;-0.100000;
0.154094;1.000122;19.215551;0.985353;-6.400000;-0.100000;
0.154350;1.000123;19.209929;0.985244;-6.400000;-0.100000;
