time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_pss_UPssPu;
0.000000;1.000000;19.979030;1.000014;2.420791;0.000000;
0.000001;1.000000;19.979030;1.000014;2.420790;0.000000;
0.000002;1.000000;19.979030;1.000014;2.420790;0.000000;
0.000004;1.000000;19.979030;1.000014;2.420790;0.000000;
0.000008;1.000000;19.979030;1.000014;2.420789;0.000000;
0.000016;1.000000;19.979030;1.000014;2.420787;0.000000;
0.000032;1.000000;19.979030;1.000014;2.420784;0.000000;
0.000064;1.000000;19.979030;1.000014;2.420778;0.000000;
0.000128;1.000000;19.979030;1.000014;2.420766;0.000000;
0.000256;1.000000;19.979031;1.000014;2.420742;0.000000;
0.000512;1.000000;19.979032;1.000014;2.420693;0.000000;
0.001024;1.000000;19.979035;1.000014;2.420599;0.000000;
0.002048;1.000000;19.979039;1.000014;2.420418;0.000000;
0.004096;1.000000;19.979047;1.000015;2.420088;0.000000;
0.008192;1.000000;19.979058;1.000015;2.419535;0.000000;
0.016384;1.000000;19.979064;1.000015;2.418756;0.000000;
0.032768;1.000000;19.979040;1.000014;2.418018;0.000000;
0.065536;1.000000;19.978954;1.000011;2.417997;-0.000000;
0.131072;1.000001;19.979090;1.000005;2.419498;-0.000000;
0.262144;1.000001;19.979876;1.000000;2.420692;-0.000000;
0.524288;1.000000;19.980388;0.999999;2.420848;-0.000000;
1.000000;1.000000;19.980123;1.000000;2.420669;0.000000;
1.000000;1.000000;2.300821;0.496323;3.217034;0.003982;
1.000001;1.000000;2.300822;0.496321;3.223709;0.003982;
1.000002;1.000000;2.300822;0.496318;3.230383;0.003981;
1.000004;1.000000;2.300820;0.496311;3.243731;0.003981;
1.000008;1.000001;2.300818;0.496298;3.270421;0.003980;
1.000016;1.000002;2.300812;0.496273;3.323783;0.003979;
1.000032;1.000004;2.300802;0.496222;3.430430;0.003975;
1.000064;1.000007;2.300783;0.496121;3.643415;0.003969;
1.000128;1.000014;2.300749;0.495918;4.068152;0.003956;
1.000256;1.000028;2.300700;0.495517;4.912721;0.003930;
1.000512;1.000057;2.300678;0.494728;6.582440;0.003879;
1.000576;1.000064;2.300688;0.494532;7.000001;0.003866;
1.000577;1.000064;2.300688;0.494529;7.000000;0.003866;
1.000578;1.000064;2.300689;0.494526;7.000000;0.003866;
1.000580;1.000065;2.300689;0.494520;6.999999;0.003866;
1.000584;1.000065;2.300690;0.494508;7.000000;0.003865;
1.000592;1.000066;2.300692;0.494484;7.000000;0.003863;
1.000608;1.000068;2.300695;0.494435;7.000000;0.003860;
1.000640;1.000071;2.300702;0.494338;7.000000;0.003854;
1.000704;1.000078;2.300717;0.494145;7.000000;0.003841;
1.000832;1.000093;2.300750;0.493760;7.000000;0.003816;
1.001088;1.000121;2.300828;0.492995;7.000000;0.003767;
1.001600;1.000178;2.301028;0.491486;7.000000;0.003669;
1.002624;1.000292;2.301605;0.488552;7.000000;0.003482;
1.004672;1.000520;2.303419;0.483000;7.000000;0.003134;
1.005000;1.000556;2.303785;0.482150;7.000000;0.003082;
1.005000;1.000556;20.021740;0.974450;7.000000;-0.000909;
1.005001;1.000556;20.021781;0.974452;7.000000;-0.000909;
1.005002;1.000556;20.021800;0.974453;7.000000;-0.000909;
1.005004;1.000556;20.021837;0.974454;7.000000;-0.000909;
1.005008;1.000556;20.021914;0.974457;7.000000;-0.000908;
1.005016;1.000556;20.022067;0.974464;7.000000;-0.000908;
1.005032;1.000556;20.022371;0.974477;7.000000;-0.000908;
1.005064;1.000556;20.022979;0.974503;7.000000;-0.000906;
1.005128;1.000556;20.024195;0.974555;7.000000;-0.000904;
1.005256;1.000556;20.026624;0.974658;7.000000;-0.000898;
1.005512;1.000556;20.031474;0.974864;7.000000;-0.000888;
1.006024;1.000556;20.041141;0.975274;7.000000;-0.000868;
1.007048;1.000555;20.060343;0.976080;7.000000;-0.000829;
1.009096;1.000554;20.098255;0.977647;7.000000;-0.000756;
1.013192;1.000550;20.172335;0.980610;7.000000;-0.000630;
1.017288;1.000544;20.244336;0.983362;7.000000;-0.000526;
1.021384;1.000536;20.314568;0.985926;7.000000;-0.000442;
1.025480;1.000526;20.383294;0.988322;7.000000;-0.000373;
1.029576;1.000514;20.450731;0.990569;7.000000;-0.000316;
1.033672;1.000501;20.517048;0.992683;7.000000;-0.000270;
1.037768;1.000486;20.582377;0.994678;7.000000;-0.000232;
1.039647;1.000479;20.612047;0.995559;7.000000;-0.000217;
1.039648;1.000479;20.612065;0.995559;6.999754;-0.000217;
1.039649;1.000479;20.612080;0.995560;6.999506;-0.000217;
1.039651;1.000479;20.612113;0.995561;6.999012;-0.000217;
1.039655;1.000478;20.612175;0.995562;6.998022;-0.000217;
1.039663;1.000478;20.612300;0.995566;6.996043;-0.000217;
1.039679;1.000478;20.612552;0.995574;6.992088;-0.000217;
1.039711;1.000478;20.613055;0.995588;6.984185;-0.000217;
1.039775;1.000478;20.614058;0.995618;6.968410;-0.000216;
1.039903;1.000477;20.616060;0.995676;6.936988;-0.000215;
1.040159;1.000476;20.620039;0.995793;6.874646;-0.000213;
1.040671;1.000474;20.627901;0.996024;6.751936;-0.000210;
1.041695;1.000470;20.643250;0.996475;6.514153;-0.000202;
1.043743;1.000461;20.672474;0.997334;6.067201;-0.000189;
1.047839;1.000442;20.725323;0.998895;5.274401;-0.000164;
1.056031;1.000400;20.810787;1.001459;4.011399;-0.000122;
1.064223;1.000355;20.871900;1.003368;3.096282;-0.000090;
1.072415;1.000307;20.912138;1.004736;2.438196;-0.000065;
1.080607;1.000257;20.934771;1.005663;1.969679;-0.000045;
1.088799;1.000206;20.942758;1.006240;1.642269;-0.000029;
1.096991;1.000155;20.938714;1.006541;1.421044;-0.000017;
1.105183;1.000105;20.924918;1.006631;1.280315;-0.000007;
1.121567;1.000008;20.877436;1.006430;1.150667;0.000008;
1.137951;0.999917;20.810126;1.005891;1.166274;0.000017;
1.154335;0.999833;20.730870;1.005211;1.260899;0.000023;
1.170719;0.999758;20.645221;1.004518;1.389381;0.000025;
1.187103;0.999692;20.556758;1.003888;1.523316;0.000027;
1.203487;0.999636;20.467598;1.003359;1.646465;0.000027;
1.236255;0.999551;20.291758;1.002612;1.833700;0.000026;
1.269023;0.999503;20.120713;1.002203;1.948780;0.000025;
1.301791;0.999490;19.956846;1.002016;2.007685;0.000023;
1.334559;0.999511;19.803174;1.001938;2.032901;0.000021;
1.367327;0.999563;19.663833;1.001879;2.045127;0.000018;
1.400095;0.999642;19.543858;1.001781;2.059479;0.000015;
1.432863;0.999743;19.448553;1.001614;2.084913;0.000011;
1.498399;0.999981;19.352457;1.001072;2.178801;0.000003;
1.563935;1.000228;19.387436;1.000326;2.317123;-0.000007;
1.629471;1.000433;19.544294;0.999512;2.475950;-0.000015;
1.695007;1.000555;19.791128;0.998771;2.626414;-0.000020;
1.760543;1.000568;20.079078;0.998245;2.739849;-0.000021;
1.826079;1.000467;20.351391;0.998056;2.791800;-0.000018;
1.857530;1.000370;20.456195;0.998229;2.778383;-0.000015;
1.888982;1.000258;20.532266;0.998431;2.747510;-0.000011;
1.920434;1.000135;20.578115;0.998712;2.699879;-0.000006;
1.983337;0.999890;20.594401;0.999410;2.574971;0.000002;
2.046241;0.999669;20.495309;1.000218;2.418533;0.000011;
2.109144;0.999509;20.296190;1.001030;2.257366;0.000017;
2.172048;0.999442;20.032301;1.001633;2.126139;0.000021;
2.234951;0.999481;19.753525;1.001918;2.051912;0.000020;
2.297855;0.999620;19.514007;1.001838;2.048361;0.000016;
2.354468;0.999813;19.369980;1.001472;2.105187;0.000009;
2.411081;1.000039;19.320671;1.000888;2.208973;0.000000;
2.467694;1.000262;19.374806;1.000176;2.343647;-0.000008;
2.524307;1.000448;19.524666;0.999433;2.490318;-0.000015;
2.580920;1.000566;19.747808;0.998759;2.629064;-0.000020;
2.637533;1.000598;20.010178;0.998251;2.740343;-0.000022;
2.694146;1.000538;20.271896;0.997992;2.806707;-0.000020;
2.728824;1.000442;20.407337;0.998043;2.808258;-0.000017;
2.763502;1.000322;20.511334;0.998219;2.784884;-0.000013;
2.798181;1.000188;20.578079;0.998502;2.738739;-0.000009;
2.832859;1.000047;20.618312;0.998853;2.678843;-0.000004;
2.867537;0.999904;20.622285;0.999275;2.602813;0.000002;
2.902215;0.999765;20.586902;0.999754;2.513365;0.000007;
2.971571;0.999542;20.411072;1.000717;2.324304;0.000016;
3.040927;0.999423;20.131280;1.001502;2.156865;0.000021;
3.110283;0.999433;19.811374;1.001910;2.052395;0.000022;
3.172703;0.999555;19.548567;1.001967;2.028362;0.000018;
3.201631;0.999653;19.455218;1.001807;2.050428;0.000014;
3.230559;0.999764;19.388209;1.001577;2.087579;0.000010;
3.259487;0.999882;19.349462;1.001289;2.137484;0.000006;
3.317343;1.000118;19.339274;1.000626;2.258777;-0.000003;
3.375198;1.000334;19.432649;0.999876;2.402566;-0.000011;
3.433054;1.000496;19.616141;0.999145;2.549535;-0.000017;
3.490910;1.000580;19.860997;0.998528;2.679435;-0.000021;
3.548765;1.000571;20.128640;0.998122;2.772777;-0.000021;
3.606621;1.000469;20.376813;0.998003;2.813122;-0.000018;
3.636931;1.000371;20.479124;0.998117;2.800740;-0.000015;
3.667241;1.000258;20.554512;0.998322;2.769879;-0.000011;
3.697551;1.000136;20.600369;0.998606;2.722222;-0.000007;
3.758172;0.999891;20.619985;0.999310;2.596512;0.000002;
3.818792;0.999666;20.527235;1.000146;2.437443;0.000011;
3.879412;0.999498;20.334379;1.000967;2.272702;0.000018;
3.940032;0.999417;20.073629;1.001610;2.134120;0.000021;
4.000652;0.999440;19.790724;1.001956;2.048372;0.000021;
4.061273;0.999563;19.536980;1.001946;2.030640;0.000018;
4.115831;0.999745;19.370996;1.001642;2.074342;0.000011;
4.170389;0.999968;19.293001;1.001101;2.167642;0.000003;
4.224947;1.000199;19.315630;1.000417;2.295766;-0.000006;
4.279505;1.000404;19.436131;0.999666;2.441796;-0.000014;
4.338260;1.000561;19.654669;0.998900;2.597064;-0.000020;
4.397015;1.000626;19.930237;0.998286;2.728419;-0.000023;
4.455770;1.000587;20.218057;0.997926;2.814845;-0.000022;
4.514525;1.000449;20.471286;0.997898;2.839497;-0.000018;
4.573280;1.000233;20.647611;0.998229;2.793716;-0.000010;
4.632035;0.999974;20.716180;0.998887;2.680642;-0.000001;
4.690790;0.999715;20.662968;0.999769;2.517254;0.000008;
4.749545;0.999498;20.493101;1.000713;2.332098;0.000017;
4.808300;0.999361;20.231932;1.001540;2.159848;0.000023;
4.867055;0.999331;19.921847;1.002096;2.033074;0.000025;
4.925810;0.999413;19.615499;1.002284;1.974466;0.000023;
4.956763;0.999514;19.479450;1.002176;1.984415;0.000020;
4.987716;0.999635;19.373852;1.001964;2.015325;0.000015;
5.018669;0.999770;19.302733;1.001669;2.064511;0.000010;
5.080575;1.000052;19.246245;1.000938;2.194989;-0.000000;
5.142481;1.000321;19.324916;1.000062;2.361044;-0.000010;
5.204387;1.000533;19.525179;0.999177;2.537350;-0.000019;
5.266293;1.000648;19.810873;0.998413;2.696704;-0.000023;
5.328199;1.000646;20.130890;0.997902;2.812721;-0.000024;
5.383915;1.000542;20.403587;0.997745;2.861783;-0.000021;
5.413214;1.000439;20.519852;0.997846;2.852887;-0.000018;
5.442514;1.000320;20.608755;0.998044;2.824247;-0.000014;
