time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_pss_UPssPu;
0.000000;1.000000;19.979030;1.000014;2.420747;0.000000;
0.000001;1.000000;19.979030;1.000014;2.420747;-0.000000;
0.000002;1.000000;19.979030;1.000014;2.420746;-0.000000;
0.000004;1.000000;19.979030;1.000014;2.420746;-0.000000;
0.000008;1.000000;19.979030;1.000014;2.420745;-0.000000;
0.000016;1.000000;19.979030;1.000014;2.420744;-0.000000;
0.000032;1.000000;19.979030;1.000014;2.420740;-0.000000;
0.000064;1.000000;19.979030;1.000014;2.420734;-0.000000;
0.000128;1.000000;19.979030;1.000014;2.420720;-0.000000;
0.000256;1.000000;19.979031;1.000014;2.420694;-0.000000;
0.000512;1.000000;19.979032;1.000014;2.420642;-0.000000;
0.001024;1.000000;19.979035;1.000014;2.420541;-0.000000;
0.002048;1.000000;19.979039;1.000014;2.420347;-0.000000;
0.004096;1.000000;19.979047;1.000015;2.419993;-0.000000;
0.008192;1.000000;19.979056;1.000015;2.419400;-0.000001;
0.016384;1.000000;19.979060;1.000015;2.418562;-0.000001;
0.032768;1.000000;19.979027;1.000014;2.417741;-0.000001;
0.065536;1.000000;19.978918;1.000010;2.417659;-0.000002;
0.131072;1.000001;19.979065;1.000004;2.419544;-0.000000;
0.262144;1.000001;19.979930;1.000001;2.420990;0.000003;
0.524288;1.000000;19.980371;0.999999;2.420738;-0.000001;
1.000000;1.000000;19.980111;0.999997;2.420574;-0.000003;
1.000000;1.000000;2.300819;0.496322;2.420574;-0.000003;
1.000001;1.000000;2.300820;0.496319;2.427440;-0.000003;
1.000002;1.000000;2.300820;0.496316;2.434306;-0.000002;
1.000004;1.000000;2.300818;0.496309;2.448036;-0.000000;
1.000008;1.000001;2.300815;0.496297;2.475492;0.000003;
1.000016;1.000002;2.300808;0.496271;2.530386;0.000009;
1.000032;1.000004;2.300795;0.496220;2.640102;0.000021;
1.000064;1.000007;2.300771;0.496118;2.859243;0.000045;
1.000128;1.000014;2.300727;0.495914;3.296367;0.000094;
1.000256;1.000028;2.300658;0.495511;4.166001;0.000194;
1.000512;1.000057;2.300599;0.494717;5.887004;0.000399;
1.000679;1.000076;2.300616;0.494208;7.000001;0.000538;
1.000680;1.000076;2.300616;0.494205;7.000000;0.000539;
1.000681;1.000076;2.300616;0.494202;7.000000;0.000539;
1.000683;1.000076;2.300617;0.494196;6.999999;0.000541;
1.000687;1.000076;2.300618;0.494184;7.000000;0.000544;
1.000695;1.000077;2.300619;0.494160;7.000000;0.000551;
1.000711;1.000079;2.300623;0.494111;7.000000;0.000565;
1.000743;1.000083;2.300631;0.494015;7.000000;0.000592;
1.000807;1.000090;2.300648;0.493822;7.000000;0.000646;
1.000935;1.000104;2.300683;0.493439;7.000000;0.000757;
1.001191;1.000132;2.300766;0.492676;7.000000;0.000983;
1.001703;1.000189;2.300978;0.491173;7.000000;0.001459;
1.002727;1.000303;2.301576;0.488250;7.000000;0.002497;
1.004775;1.000531;2.303430;0.482719;7.000000;0.004868;
1.005000;1.000556;2.303683;0.482137;7.000000;0.005149;
1.005000;1.000556;20.020832;0.974431;7.000000;0.005149;
1.005001;1.000556;20.020874;0.974432;7.000000;0.005150;
1.005002;1.000556;20.020893;0.974433;7.000000;0.005150;
1.005004;1.000556;20.020929;0.974435;7.000000;0.005151;
1.005008;1.000556;20.021007;0.974438;7.000000;0.005154;
1.005016;1.000556;20.021159;0.974445;7.000000;0.005158;
1.005032;1.000556;20.021463;0.974458;7.000000;0.005166;
1.005064;1.000556;20.022070;0.974484;7.000000;0.005184;
