time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;19.979030;1.000014;2.420747;
0.000001;1.000000;19.979030;1.000014;2.420747;
0.000002;1.000000;19.979030;1.000014;2.420747;
0.000004;1.000000;19.979030;1.000014;2.420746;
0.000008;1.000000;19.979030;1.000014;2.420746;
0.000016;1.000000;19.979030;1.000014;2.420746;
0.000032;1.000000;19.979030;1.000014;2.420746;
0.000064;1.000000;19.979030;1.000014;2.420748;
0.000128;1.000000;19.979030;1.000014;2.420753;
0.000256;1.000000;19.979031;1.000014;2.420762;
0.000512;1.000000;19.979032;1.000014;2.420780;
0.001024;1.000000;19.979035;1.000014;2.420814;
0.002048;1.000000;19.979040;1.000015;2.420880;
0.004096;1.000000;19.979050;1.000015;2.420999;
0.008192;1.000000;19.979071;1.000015;2.421183;
0.016384;1.000000;19.979113;1.000016;2.421365;
0.032768;1.000000;19.979190;1.000017;2.421276;
0.065536;1.000000;19.979306;1.000017;2.420707;
0.131072;1.000001;19.979491;1.000015;2.420157;
0.262144;1.000001;19.979861;1.000007;2.420069;
0.524288;1.000000;19.980185;0.999999;2.420335;
1.000000;1.000000;19.980112;0.999998;2.420608;
1.000000;1.000000;2.300820;0.496322;2.420608;
1.000001;1.000000;2.300821;0.496319;2.427741;
1.000002;1.000000;2.300820;0.496316;2.435255;
1.000004;1.000000;2.300818;0.496310;2.451068;
1.000008;1.000001;2.300815;0.496297;2.485887;
1.000016;1.000002;2.300808;0.496271;2.563679;
1.000032;1.000004;2.300796;0.496220;2.734502;
1.000064;1.000007;2.300772;0.496118;3.092733;
1.000128;1.000014;2.300738;0.495916;3.816237;
1.000256;1.000029;2.300711;0.495518;5.245149;
1.000415;1.000046;2.300776;0.495038;7.000001;
1.000416;1.000046;2.300777;0.495034;7.000000;
1.000417;1.000046;2.300777;0.495031;7.000000;
1.000419;1.000047;2.300777;0.495025;6.999999;
1.000423;1.000047;2.300778;0.495013;7.000000;
1.000431;1.000048;2.300779;0.494989;7.000000;
1.000447;1.000050;2.300782;0.494940;7.000000;
1.000479;1.000053;2.300788;0.494843;7.000000;
1.000543;1.000060;2.300801;0.494648;7.000000;
1.000671;1.000075;2.300829;0.494261;7.000000;
1.000927;1.000103;2.300897;0.493491;7.000000;
1.001439;1.000160;2.301080;0.491974;7.000000;
1.002463;1.000274;2.301622;0.489023;7.000000;
1.004511;1.000502;2.303372;0.483438;7.000000;
1.006559;1.000730;2.305949;0.478257;7.000000;
1.008607;1.000958;2.309278;0.473453;7.000000;
1.010655;1.001186;2.313291;0.468997;7.000000;
1.011407;1.001269;2.314919;0.467443;7.000000;
1.011408;1.001269;2.314922;0.467441;7.000000;
1.011409;1.001269;2.314924;0.467439;7.000000;
1.011411;1.001270;2.314929;0.467435;7.000000;
1.011415;1.001270;2.314938;0.467427;7.000000;
1.011423;1.001271;2.314956;0.467411;7.000000;
1.011439;1.001273;2.314991;0.467378;7.000000;
1.011471;1.001276;2.315063;0.467313;7.000000;
1.011535;1.001284;2.315207;0.467183;7.000000;
1.011663;1.001298;2.315496;0.466925;7.000000;
1.011919;1.001326;2.316081;0.466412;7.000000;
1.012431;1.001383;2.317279;0.465400;7.000000;
1.013455;1.001497;2.319778;0.463431;7.000000;
1.015503;1.001725;2.325169;0.459709;7.000000;
1.017551;1.001953;2.331050;0.456256;7.000000;
1.019599;1.002181;2.337377;0.453055;7.000000;
1.021647;1.002408;2.344113;0.450087;7.000000;
1.023695;1.002636;2.351220;0.447335;7.000000;
1.025743;1.002864;2.358667;0.444783;7.000000;
1.029839;1.003318;2.374439;0.440209;7.000000;
1.033526;1.003727;2.389538;0.436641;7.000000;
1.037212;1.004136;2.405372;0.433521;7.000000;
1.040899;1.004544;2.421837;0.430793;7.000000;
1.044585;1.004951;2.438853;0.428405;7.000000;
