time;SCL_limiter_ISclPu;SCL_limiter_VSclPu;
0.000000;0.800000;0.000000;
0.000001;0.800000;0.000000;
0.000002;0.800000;0.000000;
0.000004;0.800000;0.000000;
0.000008;0.800000;0.000000;
0.000016;0.800000;0.000000;
0.000032;0.800000;0.000000;
0.000064;0.800000;0.000000;
0.000128;0.800000;0.000000;
0.000256;0.800000;0.000000;
0.000512;0.800000;0.000000;
0.001024;0.800000;0.000000;
0.002048;0.800000;0.000000;
0.004096;0.800000;0.000000;
0.008192;0.800000;0.000000;
0.016384;0.800000;0.000000;
0.032768;0.800000;0.000000;
0.065536;0.800000;0.000000;
0.131072;0.800000;0.000000;
0.262144;0.800000;0.000000;
0.524288;0.800000;0.000000;
1.000000;0.800000;0.000000;
1.000000;1.400000;0.000000;
1.000001;1.400000;0.000000;
1.000002;1.400000;0.000000;
1.000004;1.400000;0.000001;
1.000008;1.400000;0.000002;
1.000016;1.400000;0.000004;
1.000032;1.400000;0.000008;
1.000064;1.400000;0.000015;
1.000128;1.400000;0.000031;
1.000256;1.400000;0.000061;
1.000512;1.400000;0.000123;
1.001024;1.400000;0.000246;
1.002048;1.400000;0.000491;
1.004096;1.400000;0.000979;
1.008192;1.400000;0.001950;
1.016384;1.400000;0.003869;
1.032768;1.400000;0.007613;
1.065536;1.400000;0.014749;
1.131072;1.400000;0.027726;
1.196608;1.400000;0.039120;
1.262144;1.400000;0.049112;
1.327680;1.400000;0.057871;
1.393216;1.400000;0.065549;
1.458752;1.400000;0.072278;
1.524288;1.400000;0.078176;
1.589824;1.400000;0.083345;
1.655360;1.400000;0.087875;
1.720896;1.400000;0.091845;
1.786432;1.400000;0.095325;
1.851968;1.400000;0.098374;
1.917504;1.400000;0.100000;
2.048576;1.400000;0.100000;
2.166541;1.400000;0.100000;
2.284505;1.400000;0.100000;
2.402470;1.400000;0.100000;
2.520435;1.400000;0.100000;
2.638400;1.400000;0.100000;
2.756365;1.400000;0.100000;
2.874329;1.400000;0.100000;
3.110259;1.400000;0.100000;
3.346189;1.400000;0.100000;
3.582118;1.400000;0.100000;
3.818048;1.400000;0.100000;
4.053977;1.400000;0.100000;
4.289907;1.400000;0.100000;
4.761766;1.400000;0.100000;
5.233625;1.400000;0.100000;
5.705485;1.400000;0.100000;
6.649203;1.400000;0.100000;
7.649203;1.400000;0.100000;
8.649203;1.400000;0.100000;
9.649203;1.400000;0.100000;
10.000000;1.400000;0.100000;
