time;UEL_limiter_QGenPu;UEL_limiter_UUelPu;
0.000000;-0.500000;0.000000;
0.000001;-0.500000;-0.000015;
0.000001;-0.500000;-0.000020;
0.000002;-0.500000;0.000000;
0.000003;-0.500000;0.000000;
0.000005;-0.500000;-0.000001;
0.000009;-0.500000;0.000000;
0.000017;-0.500000;0.000000;
0.000033;-0.500000;0.000000;
0.000065;-0.500000;0.000000;
0.000129;-0.500000;0.000000;
0.000257;-0.500000;0.000000;
0.000513;-0.500000;0.000000;
0.001025;-0.500000;0.000000;
0.002049;-0.500000;0.000000;
0.004097;-0.500000;0.000000;
0.008193;-0.500000;0.000000;
0.016385;-0.500000;0.000000;
0.032769;-0.500000;0.000000;
0.065537;-0.500000;0.000000;
0.131073;-0.500000;-0.000000;
0.262145;-0.500000;-0.000000;
0.524289;-0.500000;-0.000000;
1.000000;-0.500000;-0.000000;
1.000000;-2.000000;-0.000000;
1.000001;-2.000000;-0.000000;
1.000002;-2.000000;-0.000000;
1.000004;-2.000000;-0.000000;
1.000008;-2.000000;-0.000000;
1.000016;-2.000000;-0.000000;
1.000032;-2.000000;-0.000000;
1.000064;-2.000000;-0.000000;
1.000128;-2.000000;-0.000000;
1.000256;-2.000000;-0.000000;
1.000512;-2.000000;-0.000000;
1.001024;-2.000000;-0.000000;
1.002048;-2.000000;-0.000000;
1.004096;-2.000000;-0.000000;
1.008192;-2.000000;-0.000000;
1.016384;-2.000000;-0.000000;
1.032768;-2.000000;-0.000000;
1.065536;-2.000000;-0.000000;
1.111111;-2.000000;-0.000000;
1.111112;-2.000000;0.000115;
1.111113;-2.000000;0.000250;
1.111115;-2.000000;0.000521;
1.111119;-2.000000;0.001060;
1.111127;-2.000000;0.002139;
1.111143;-2.000000;0.004298;
1.111175;-2.000000;0.008610;
1.111239;-2.000000;0.017220;
1.111367;-2.000000;0.034381;
1.111623;-2.000000;0.068467;
1.112135;-2.000000;0.135702;
1.113159;-2.000000;0.266505;
1.115207;-2.000000;0.514027;
1.117255;-2.000000;0.743510;
1.121351;-2.000000;1.153567;
1.125037;-2.000000;1.470620;
1.128724;-2.000000;1.743910;
1.132410;-2.000000;1.977856;
1.136096;-2.000000;2.176654;
1.139783;-2.000000;2.344126;
1.143469;-2.000000;2.483744;
1.147156;-2.000000;2.598647;
1.150842;-2.000000;2.691672;
1.154528;-2.000000;2.765378;
1.158215;-2.000000;2.822071;
1.161901;-2.000000;2.863825;
1.165588;-2.000000;2.892506;
1.169274;-2.000000;2.909791;
1.176647;-2.000000;2.917529;
1.184020;-2.000000;2.895709;
1.191392;-2.000000;2.852106;
1.198765;-2.000000;2.793188;
1.206138;-2.000000;2.724153;
1.213511;-2.000000;2.649089;
1.228256;-2.000000;2.495278;
1.243002;-2.000000;2.345017;
1.257748;-2.000000;2.207210;
1.272493;-2.000000;2.086617;
1.287239;-2.000000;1.984939;
1.301984;-2.000000;1.901906;
1.316730;-2.000000;1.836125;
1.331476;-2.000000;1.785656;
1.346221;-2.000000;1.748386;
1.360967;-2.000000;1.722255;
1.375712;-2.000000;1.705369;
1.390458;-2.000000;1.696057;
1.405204;-2.000000;1.692887;
1.419949;-2.000000;1.694653;
1.434695;-2.000000;1.700358;
1.464186;-2.000000;1.719763;
1.493677;-2.000000;1.747263;
1.523168;-2.000000;1.779909;
1.552660;-2.000000;1.815678;
1.582151;-2.000000;1.853274;
1.641133;-2.000000;1.930672;
1.700116;-2.000000;2.010210;
1.759098;-2.000000;2.089803;
1.877063;-2.000000;2.249039;
2.112992;-2.000000;2.567540;
2.584852;-2.000000;3.204550;
2.592593;-2.000000;3.215000;
2.592594;-2.000000;3.214827;
2.592595;-2.000000;3.214693;
2.592597;-2.000000;3.214428;
2.592601;-2.000000;3.213891;
2.592609;-2.000000;3.212823;
2.592625;-2.000000;3.210686;
2.592657;-2.000000;3.206417;
2.592721;-2.000000;3.197893;
2.592849;-2.000000;3.180905;
2.593105;-2.000000;3.147166;
2.593617;-2.000000;3.080623;
2.594641;-2.000000;2.951204;
2.596689;-2.000000;2.706451;
2.600785;-2.000000;2.268902;
2.604881;-2.000000;1.895307;
2.608977;-2.000000;1.578724;
2.613073;-2.000000;1.312629;
2.617169;-2.000000;1.091082;
2.621265;-2.000000;0.908729;
2.625361;-2.000000;0.760773;
2.629457;-2.000000;0.642927;
2.637649;-2.000000;0.478612;
2.645841;-2.000000;0.394206;
2.654033;-2.000000;0.370311;
2.662225;-2.000000;0.390851;
2.670417;-2.000000;0.442974;
2.678609;-2.000000;0.516621;
2.686801;-2.000000;0.604030;
2.703185;-2.000000;0.793439;
2.719569;-2.000000;0.986995;
2.740393;-2.000000;1.212927;
2.761216;-2.000000;1.405737;
2.782040;-2.000000;1.561487;
2.802864;-2.000000;1.683945;
2.823688;-2.000000;1.776207;
2.844512;-2.000000;1.844224;
2.865336;-2.000000;1.893115;
2.886160;-2.000000;1.927622;
2.906984;-2.000000;1.951559;
2.927808;-2.000000;1.967923;
2.948632;-2.000000;1.978963;
2.969455;-2.000000;1.986326;
3.011103;-2.000000;1.995043;
3.052751;-2.000000;1.998527;
3.094399;-2.000000;1.999656;
3.136047;-2.000000;1.999948;
3.219342;-2.000000;2.000207;
3.385933;-2.000000;2.000050;
3.719116;-2.000000;2.000007;
4.385480;-2.000000;2.000001;
5.385480;-2.000000;2.000002;
6.385480;-2.000000;2.000000;
7.385480;-2.000000;2.000000;
8.385480;-2.000000;2.000000;
9.385480;-2.000000;2.000000;
10.000000;-2.000000;2.000000;
