time;UEL_limiter_IfdPu;UEL_limiter_UUelPu;
0.000000;0.000000;0.000000;
0.000001;0.000000;0.000000;
0.000002;0.000000;0.000000;
0.000004;0.000000;0.000000;
0.000008;0.000000;0.000000;
0.000016;0.000000;0.000000;
0.000032;0.000000;0.000000;
0.000064;0.000000;0.000000;
0.000128;0.000000;0.000000;
0.000256;0.000000;0.000000;
0.000512;0.000000;0.000000;
0.001024;0.000000;0.000000;
0.002048;0.000000;0.000000;
0.004096;0.000000;0.000000;
0.008192;0.000000;0.000000;
0.016384;0.000000;0.000000;
0.032768;0.000000;0.000000;
0.065536;0.000000;0.000000;
0.131072;0.000000;0.000000;
0.262144;0.000000;0.000000;
0.524288;0.000000;0.000000;
1.000000;0.000000;0.000000;
1.000000;1.500000;0.000000;
1.000001;1.500000;0.000030;
1.000002;1.500000;0.000060;
1.000004;1.500000;0.000120;
1.000008;1.500000;0.000240;
1.000016;1.500000;0.000480;
1.000032;1.500000;0.000960;
1.000064;1.500000;0.001919;
1.000128;1.500000;0.003838;
1.000256;1.500000;0.007670;
1.000512;1.500000;0.015321;
1.001024;1.500000;0.030563;
1.002048;1.500000;0.060815;
1.004096;1.500000;0.120396;
1.008192;1.500000;0.235951;
1.012288;1.500000;0.346802;
1.016384;1.500000;0.453095;
1.020480;1.500000;0.554976;
1.024576;1.500000;0.652589;
1.028672;1.500000;0.746075;
1.032768;1.500000;0.835571;
1.036864;1.500000;0.921209;
1.040960;1.500000;1.003117;
1.045056;1.500000;1.081423;
1.049152;1.500000;1.156246;
1.053248;1.500000;1.227705;
1.057344;1.500000;1.295914;
1.061440;1.500000;1.360985;
1.065536;1.500000;1.423026;
1.073728;1.500000;1.538563;
1.081101;1.500000;1.633200;
1.088473;1.500000;1.719574;
1.095846;1.500000;1.798181;
1.103219;1.500000;1.869512;
1.110592;1.500000;1.934031;
1.117965;1.500000;1.992180;
1.125337;1.500000;2.044378;
1.132710;1.500000;2.091020;
1.140083;1.500000;2.132479;
1.147456;1.500000;2.169108;
1.154829;1.500000;2.201240;
1.162201;1.500000;2.229189;
1.169574;1.500000;2.253250;
1.176947;1.500000;2.273704;
1.184320;1.500000;2.290813;
1.191693;1.500000;2.304825;
1.199065;1.500000;2.315973;
1.206438;1.500000;2.324477;
1.213811;1.500000;2.330542;
1.221184;1.500000;2.334363;
1.228557;1.500000;2.336122;
1.235929;1.500000;2.335990;
1.243302;1.500000;2.334127;
1.258048;1.500000;2.325965;
1.271319;1.500000;2.314095;
1.284590;1.500000;2.298693;
1.297861;1.500000;2.280350;
1.311132;1.500000;2.259615;
1.324403;1.500000;2.236972;
1.337674;1.500000;2.212849;
1.350945;1.500000;2.187622;
1.364216;1.500000;2.161619;
1.377487;1.500000;2.135124;
1.390758;1.500000;2.108382;
1.404029;1.500000;2.081606;
1.417300;1.500000;2.054975;
1.430571;1.500000;2.028641;
1.443842;1.500000;2.002734;
1.470384;1.500000;1.952695;
1.496927;1.500000;1.905368;
1.523469;1.500000;1.861126;
1.550011;1.500000;1.820191;
1.576553;1.500000;1.782650;
1.603095;1.500000;1.748490;
1.629637;1.500000;1.717618;
1.656179;1.500000;1.689888;
1.682721;1.500000;1.665116;
1.709263;1.500000;1.643097;
1.735805;1.500000;1.623615;
1.762347;1.500000;1.606450;
1.788889;1.500000;1.591388;
1.815431;1.500000;1.578220;
1.841974;1.500000;1.566749;
1.868516;1.500000;1.556791;
1.895058;1.500000;1.548173;
1.921600;1.500000;1.540740;
1.948142;1.500000;1.534348;
1.974684;1.500000;1.528869;
2.001226;1.500000;1.524185;
2.027768;1.500000;1.520194;
2.080852;1.500000;1.513836;
2.133936;1.500000;1.509281;
2.187021;1.500000;1.506082;
2.240105;1.500000;1.503876;
2.293189;1.500000;1.502383;
2.346273;1.500000;1.501395;
2.399357;1.500000;1.500756;
2.452441;1.500000;1.500356;
2.558610;1.500000;1.499926;
2.664778;1.500000;1.499810;
2.770946;1.500000;1.499825;
2.877115;1.500000;1.499877;
3.089451;1.500000;1.499945;
3.514125;1.500000;1.499985;
4.363471;1.500000;1.499998;
5.363471;1.500000;1.500000;
6.363471;1.500000;1.500000;
7.363471;1.500000;1.500000;
8.363471;1.500000;1.500000;
9.363471;1.500000;1.500000;
10.000000;1.500000;1.500000;
