time;UEL_limiter_QGenPu;UEL_limiter_UUelPu;
0.000000;-0.500000;0.000000;
0.000001;-0.500000;-0.000007;
0.000002;-0.500000;-0.000015;
0.000003;-0.500000;-0.000020;
0.000004;-0.500000;0.000000;
0.000005;-0.500000;0.000000;
0.000007;-0.500000;-0.000001;
0.000011;-0.500000;0.000000;
0.000019;-0.500000;0.000000;
0.000035;-0.500000;0.000000;
0.000067;-0.500000;0.000000;
0.000131;-0.500000;0.000000;
0.000259;-0.500000;0.000000;
0.000515;-0.500000;0.000000;
0.001027;-0.500000;0.000000;
0.002051;-0.500000;0.000000;
0.004099;-0.500000;0.000000;
0.008195;-0.500000;0.000000;
0.016387;-0.500000;0.000000;
0.032771;-0.500000;0.000000;
0.065539;-0.500000;0.000000;
0.131075;-0.500000;-0.000000;
0.262147;-0.500000;-0.000000;
0.524291;-0.500000;-0.000000;
1.000000;-0.500000;-0.000000;
1.000000;-2.000000;-0.000000;
1.000001;-2.000000;-0.000000;
1.000002;-2.000000;-0.000000;
1.000004;-2.000000;-0.000000;
1.000008;-2.000000;-0.000000;
1.000016;-2.000000;-0.000000;
1.000032;-2.000000;-0.000000;
1.000064;-2.000000;-0.000000;
1.000128;-2.000000;-0.000000;
1.000256;-2.000000;-0.000000;
1.000512;-2.000000;-0.000000;
1.001024;-2.000000;-0.000000;
1.002048;-2.000000;-0.000000;
1.004096;-2.000000;-0.000000;
1.008192;-2.000000;-0.000000;
1.016384;-2.000000;-0.000000;
1.032768;-2.000000;-0.000000;
1.065536;-2.000000;-0.000000;
1.111111;-2.000000;-0.000000;
1.111112;-2.000000;0.000047;
1.111113;-2.000000;0.000115;
1.111115;-2.000000;0.000251;
1.111119;-2.000000;0.000520;
1.111127;-2.000000;0.001060;
1.111143;-2.000000;0.002139;
1.111175;-2.000000;0.004295;
1.111239;-2.000000;0.008600;
1.111367;-2.000000;0.017181;
1.111623;-2.000000;0.034224;
1.112135;-2.000000;0.067842;
1.113159;-2.000000;0.133243;
1.115207;-2.000000;0.257005;
1.119303;-2.000000;0.478549;
1.123399;-2.000000;0.668116;
1.127495;-2.000000;0.829176;
1.131591;-2.000000;0.964992;
1.135687;-2.000000;1.078533;
1.139783;-2.000000;1.172477;
1.143879;-2.000000;1.249222;
1.147975;-2.000000;1.310912;
1.152071;-2.000000;1.359461;
1.156167;-2.000000;1.396574;
1.160263;-2.000000;1.423769;
1.164359;-2.000000;1.442398;
1.172551;-2.000000;1.459872;
1.180743;-2.000000;1.448098;
1.187978;-2.000000;1.428268;
1.194491;-2.000000;1.404996;
1.200351;-2.000000;1.380832;
1.206212;-2.000000;1.354437;
1.212073;-2.000000;1.326530;
1.223795;-2.000000;1.269118;
1.235517;-2.000000;1.210886;
1.247239;-2.000000;1.154430;
1.270683;-2.000000;1.055855;
1.290775;-2.000000;0.987585;
1.310867;-2.000000;0.934862;
1.330959;-2.000000;0.896602;
1.351051;-2.000000;0.870747;
1.371143;-2.000000;0.855000;
1.391234;-2.000000;0.847171;
1.411326;-2.000000;0.845361;
1.431418;-2.000000;0.848021;
1.451510;-2.000000;0.853934;
1.471602;-2.000000;0.862182;
1.491694;-2.000000;0.872081;
1.531878;-2.000000;0.894661;
1.572061;-2.000000;0.919718;
1.612245;-2.000000;0.946013;
1.652429;-2.000000;0.972864;
1.732796;-2.000000;1.026937;
1.893532;-2.000000;1.135583;
2.215002;-2.000000;1.352619;
2.857942;-2.000000;1.786611;
3.857942;-2.000000;2.461609;
4.074074;-2.000000;2.607499;
4.074075;-2.000000;2.607392;
4.074076;-2.000000;2.607325;
4.074078;-2.000000;2.607194;
4.074082;-2.000000;2.606925;
4.074090;-2.000000;2.606390;
4.074106;-2.000000;2.605322;
4.074138;-2.000000;2.603187;
4.074202;-2.000000;2.598925;
4.074330;-2.000000;2.590432;
4.074586;-2.000000;2.573562;
4.075098;-2.000000;2.540291;
4.076122;-2.000000;2.475582;
4.078170;-2.000000;2.353207;
4.082266;-2.000000;2.134435;
4.086362;-2.000000;1.947640;
4.094554;-2.000000;1.652455;
4.101927;-2.000000;1.464562;
4.109300;-2.000000;1.334358;
4.116673;-2.000000;1.250153;
4.124046;-2.000000;1.201874;
4.131418;-2.000000;1.181269;
4.138791;-2.000000;1.181635;
4.146164;-2.000000;1.197574;
4.153537;-2.000000;1.224774;
4.168282;-2.000000;1.297289;
4.183028;-2.000000;1.383639;
4.197774;-2.000000;1.472651;
4.227265;-2.000000;1.631232;
4.253807;-2.000000;1.746422;
4.280349;-2.000000;1.832914;
4.306891;-2.000000;1.893877;
4.333433;-2.000000;1.934775;
4.359975;-2.000000;1.961095;
4.386517;-2.000000;1.977438;
4.413059;-2.000000;1.987266;
4.439601;-2.000000;1.993005;
4.466144;-2.000000;1.996262;
4.519228;-2.000000;1.999596;
4.572312;-2.000000;1.999826;
4.625396;-2.000000;1.999927;
4.731564;-2.000000;1.999980;
4.943901;-2.000000;1.999997;
5.368574;-2.000000;2.000000;
6.217921;-2.000000;2.000000;
7.217921;-2.000000;2.000000;
8.217921;-2.000000;2.000000;
9.217921;-2.000000;2.000000;
10.000000;-2.000000;2.000000;
