time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_generator_UStatorPu;SM_compensator_VcPu;
0.000000;1.000000;19.979030;1.000014;2.420747;1.000014;1.000014;
0.000001;1.000000;19.979030;1.000014;2.420746;1.000014;1.000014;
0.000002;1.000000;19.979030;1.000014;2.420746;1.000014;1.000014;
0.000004;1.000000;19.979030;1.000014;2.420745;1.000014;1.000014;
0.000008;1.000000;19.979030;1.000014;2.420744;1.000014;1.000014;
0.000016;1.000000;19.979030;1.000014;2.420740;1.000014;1.000014;
0.000032;1.000000;19.979030;1.000014;2.420734;1.000014;1.000014;
0.000064;1.000000;19.979030;1.000014;2.420721;1.000014;1.000014;
0.000128;1.000000;19.979030;1.000014;2.420695;1.000014;1.000014;
0.000256;1.000000;19.979031;1.000014;2.420645;1.000014;1.000014;
0.000512;1.000000;19.979032;1.000014;2.420545;1.000014;1.000014;
0.001024;1.000000;19.979034;1.000014;2.420355;1.000014;1.000014;
0.002048;1.000000;19.979038;1.000014;2.420008;1.000014;1.000014;
0.004096;1.000000;19.979044;1.000015;2.419430;1.000015;1.000015;
0.008192;1.000000;19.979049;1.000015;2.418653;1.000015;1.000015;
0.016384;1.000000;19.979045;1.000015;2.418099;1.000015;1.000015;
0.032768;1.000000;19.979027;1.000014;2.418767;1.000014;1.000014;
0.065536;1.000000;19.979079;1.000013;2.420996;1.000013;1.000014;
0.131072;1.000001;19.979414;1.000012;2.420941;1.000012;1.000016;
0.262144;1.000001;19.979933;1.000007;2.420372;1.000007;1.000007;
0.278528;1.000001;19.979996;1.000006;2.420339;1.000006;1.000006;
0.311296;1.000001;19.980105;1.000004;2.420229;1.000004;1.000004;
0.327680;1.000001;19.980154;1.000004;2.420153;1.000004;1.000004;
0.335872;1.000001;19.980177;1.000003;2.420130;1.000003;1.000003;
0.352256;1.000001;19.980219;1.000002;2.420095;1.000002;1.000002;
0.360448;1.000001;19.980239;1.000002;2.420090;1.000002;1.000002;
0.376832;1.000001;19.980274;1.000001;2.420088;1.000001;1.000001;
0.385024;1.000001;19.980291;1.000000;2.420097;1.000000;1.000000;
0.401408;1.000001;19.980321;1.000000;2.420115;1.000000;1.000000;
0.409600;1.000001;19.980336;0.999999;2.420132;0.999999;0.999999;
0.425984;1.000000;19.980361;0.999998;2.420160;0.999998;0.999998;
0.434176;1.000000;19.980373;0.999998;2.420179;0.999998;0.999998;
0.450560;1.000000;19.980393;0.999997;2.420208;0.999997;0.999997;
0.458752;1.000000;19.980402;0.999997;2.420228;0.999997;0.999997;
0.475136;1.000000;19.980417;0.999996;2.420254;0.999996;0.999996;
0.483328;1.000000;19.980424;0.999996;2.420272;0.999996;0.999996;
0.499712;1.000000;19.980433;0.999996;2.420296;0.999996;0.999996;
0.507904;1.000000;19.980437;0.999995;2.420313;0.999995;0.999995;
0.524288;1.000000;19.980440;0.999995;2.420336;0.999995;0.999995;
0.532480;1.000000;19.980441;0.999995;2.420353;0.999995;0.999995;
0.548864;1.000000;19.980439;0.999994;2.420376;0.999994;0.999994;
0.557056;1.000000;19.980437;0.999994;2.420394;0.999994;0.999994;
0.573440;1.000000;19.980429;0.999994;2.420419;0.999994;0.999994;
0.581632;1.000000;19.980424;0.999994;2.420437;0.999994;0.999994;
0.598016;1.000000;19.980411;0.999993;2.420465;0.999993;0.999994;
0.606208;1.000000;19.980404;0.999993;2.420483;0.999993;0.999993;
0.622592;1.000000;19.980387;0.999993;2.420513;0.999993;0.999993;
0.630784;1.000000;19.980378;0.999993;2.420532;0.999993;0.999993;
0.647168;1.000000;19.980357;0.999993;2.420562;0.999993;0.999993;
0.679936;1.000000;19.980309;0.999993;2.420634;0.999993;0.999993;
0.745472;1.000000;19.980201;0.999994;2.420744;0.999994;0.999994;
0.778240;1.000000;19.980144;0.999995;2.420768;0.999995;0.999995;
0.843776;1.000000;19.980038;0.999996;2.420812;0.999996;0.999996;
0.876544;1.000000;19.979992;0.999997;2.420864;0.999997;0.999997;
0.892928;1.000000;19.979969;0.999997;2.420867;0.999997;0.999997;
0.925696;1.000000;19.979930;0.999998;2.420883;0.999998;0.999998;
0.942080;1.000000;19.979912;0.999999;2.420875;0.999999;0.999999;
0.974848;1.000000;19.979882;0.999999;2.420880;0.999999;0.999999;
0.991232;1.000000;19.979869;1.000000;2.420865;1.000000;1.000000;
1.000000;1.000000;19.979863;1.000000;2.420859;1.000000;1.000000;
1.000000;1.000000;2.300795;0.496323;2.420859;0.496323;0.496323;
1.000001;1.000000;2.300794;0.496320;2.423503;0.496320;0.496320;
1.000002;1.000000;2.300793;0.496317;2.426148;0.496317;0.496317;
1.000004;1.000000;2.300791;0.496310;2.431439;0.496310;0.496310;
1.000008;1.000001;2.300788;0.496297;2.442023;0.496297;0.496297;
1.000016;1.000002;2.300781;0.496272;2.463202;0.496272;0.496272;
1.000032;1.000003;2.300768;0.496221;2.505601;0.496221;0.496221;
1.000064;1.000007;2.300742;0.496118;2.590571;0.496118;0.496118;
1.000128;1.000014;2.300693;0.495914;2.761189;0.495914;0.495914;
1.000256;1.000028;2.300604;0.495508;3.105107;0.495508;0.495508;
1.000512;1.000057;2.300464;0.494705;3.803456;0.494705;0.494705;
1.001024;1.000114;2.300339;0.493134;5.240455;0.493134;0.493134;
1.001628;1.000181;2.300466;0.491339;7.000001;0.491339;0.491339;
1.001629;1.000181;2.300466;0.491336;7.000000;0.491336;0.491336;
1.001630;1.000181;2.300467;0.491333;7.000000;0.491333;0.491333;
1.001632;1.000181;2.300468;0.491327;6.999999;0.491327;0.491327;
1.001636;1.000182;2.300469;0.491315;7.000000;0.491315;0.491315;
1.001644;1.000183;2.300473;0.491292;7.000000;0.491292;0.491292;
1.001660;1.000184;2.300480;0.491245;7.000000;0.491245;0.491245;
1.001692;1.000188;2.300495;0.491152;7.000000;0.491152;0.491152;
1.001756;1.000195;2.300525;0.490966;7.000000;0.490966;0.490966;
1.001884;1.000209;2.300587;0.490595;7.000000;0.490595;0.490595;
1.002140;1.000238;2.300724;0.489859;7.000000;0.489859;0.489859;
1.002652;1.000295;2.301039;0.488406;7.000000;0.488406;0.488406;
1.003676;1.000409;2.301838;0.485582;7.000000;0.485582;0.485582;
1.005724;1.000637;2.304065;0.480238;7.000000;0.480238;0.480238;
1.007772;1.000864;2.307074;0.475280;7.000000;0.475280;0.475289;
1.009820;1.001092;2.310794;0.470682;7.000000;0.470682;0.470694;
1.011868;1.001320;2.315161;0.466419;7.000000;0.466419;0.466430;
1.013916;1.001548;2.320114;0.462466;7.000000;0.462466;0.462477;
1.015964;1.001776;2.325599;0.458802;7.000000;0.458802;0.458812;
1.018012;1.002004;2.331568;0.455405;7.000000;0.455405;0.455414;
1.020060;1.002232;2.337977;0.452256;7.000000;0.452256;0.452264;
1.022108;1.002459;2.344787;0.449336;7.000000;0.449336;0.449343;
1.024156;1.002687;2.351962;0.446629;7.000000;0.446629;0.446635;
1.028252;1.003142;2.367256;0.441777;7.000000;0.441777;0.441777;
1.031939;1.003551;2.381990;0.437993;7.000000;0.437993;0.437994;
1.035625;1.003960;2.397508;0.434688;7.000000;0.434688;0.434690;
1.039311;1.004368;2.413703;0.431799;7.000000;0.431799;0.431801;
1.042998;1.004776;2.430485;0.429272;7.000000;0.429272;0.429274;
1.044960;1.004993;2.439624;0.428055;7.000000;0.428055;0.428056;
1.044960;1.004993;2.439625;0.428055;6.999960;0.428055;0.428055;
1.044961;1.004993;2.439629;0.428055;7.000000;0.428055;0.428055;
1.044962;1.004993;2.439634;0.428054;7.000000;0.428054;0.428054;
1.044964;1.004993;2.439643;0.428053;6.999998;0.428053;0.428053;
