time;VADJ_adjuster_VRefIn;VADJ_adjuster_VRefOut;
0.000000;0.000000;0.000000;
0.000001;0.000000;0.000000;
0.000002;0.000000;0.000000;
0.000004;0.000000;0.000000;
0.000008;0.000000;0.000000;
0.000016;0.000000;0.000000;
0.000032;0.000000;0.000000;
0.000064;0.000000;0.000000;
0.000128;0.000000;0.000000;
0.000256;0.000000;0.000000;
0.000512;0.000000;0.000000;
0.001024;0.000000;0.000000;
0.002048;0.000000;0.000000;
0.004096;0.000000;0.000000;
0.008192;0.000000;0.000000;
0.016384;0.000000;0.000000;
0.032768;0.000000;0.000000;
0.065536;0.000000;0.000000;
0.131072;0.000000;0.000000;
0.262144;0.000000;0.000000;
0.524288;0.000000;0.000000;
1.048576;0.000000;0.000000;
2.048576;0.000000;0.000000;
3.048576;0.000000;0.000000;
4.048576;0.000000;0.000000;
4.999999;0.000000;0.000000;
4.999999;0.200000;0.000000;
5.000000;0.200000;0.000000;
5.000001;0.200000;0.000000;
5.000003;0.200000;0.000000;
5.000007;0.200000;0.000000;
5.000015;0.200000;0.000000;
5.000031;0.200000;0.000000;
5.000063;0.200000;0.000001;
5.000127;0.200000;0.000001;
5.000255;0.200000;0.000003;
5.000511;0.200000;0.000005;
5.001023;0.200000;0.000010;
5.002047;0.200000;0.000020;
5.004095;0.200000;0.000041;
5.008191;0.200000;0.000082;
5.016383;0.200000;0.000164;
5.032767;0.200000;0.000328;
5.065535;0.200000;0.000655;
5.131071;0.200000;0.001311;
5.262143;0.200000;0.002621;
5.524287;0.200000;0.005243;
6.048575;0.200000;0.010486;
7.048575;0.200000;0.020486;
8.048575;0.200000;0.030486;
9.048575;0.200000;0.040486;
10.048575;0.200000;0.050486;
11.048575;0.200000;0.060486;
12.048575;0.200000;0.070486;
13.048575;0.200000;0.080486;
14.048575;0.200000;0.090486;
15.048575;0.200000;0.100000;
16.048575;0.200000;0.100000;
17.048575;0.200000;0.100000;
18.048575;0.200000;0.100000;
19.048575;0.200000;0.100000;
20.048575;0.200000;0.100000;
21.048575;0.200000;0.100000;
22.048575;0.200000;0.100000;
23.048575;0.200000;0.100000;
24.048575;0.200000;0.100000;
24.998999;0.200000;0.100000;
24.999000;0.200000;0.100000;
24.999001;0.200000;0.100000;
24.999003;0.200000;0.100000;
24.999007;0.200000;0.100000;
24.999015;0.200000;0.100000;
24.999031;0.200000;0.100000;
24.999063;0.200000;0.100000;
24.999127;0.200000;0.100000;
24.999255;0.200000;0.100000;
24.999511;0.200000;0.100000;
25.000023;0.200000;0.100000;
25.001047;0.200000;0.100000;
25.003095;0.200000;0.100000;
25.007191;0.200000;0.100000;
25.015383;0.200000;0.100000;
25.031767;0.200000;0.100000;
25.064535;0.200000;0.100000;
25.130071;0.200000;0.100000;
25.261143;0.200000;0.100000;
25.523287;0.200000;0.100000;
26.047575;0.200000;0.100000;
27.047575;0.200000;0.100000;
28.047575;0.200000;0.100000;
29.047575;0.200000;0.100000;
30.000000;0.200000;0.100000;
