time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_omegaRef_grp_0_value;NETWORK_BUS_Upu_value;
0.000000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000001;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000002;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000004;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000008;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000016;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000032;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000064;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000128;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000256;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000512;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.001024;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.002048;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.004096;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.008192;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.016384;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.032768;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.065536;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.131072;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.262144;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.500000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.500000;1.000000;1.200000;0.199988;0.990593;0.189988;1.200000;0.200000;1.000000;0.990593;
0.500001;1.000000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;1.000000;0.990591;
0.500002;1.000000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;1.000000;0.990591;
0.500004;1.000000;1.200000;0.199999;0.990591;0.189988;1.200000;0.200000;1.000000;0.990591;
0.500008;1.000000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;1.000000;0.990591;
0.500016;1.000000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;1.000000;0.990591;
0.500032;0.999999;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999999;0.990591;
0.500064;0.999999;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999999;0.990591;
0.500128;0.999997;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999997;0.990591;
0.500256;0.999995;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999995;0.990591;
0.500512;0.999990;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999990;0.990591;
0.501024;0.999980;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999980;0.990591;
0.502048;0.999959;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999959;0.990591;
0.504096;0.999918;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999918;0.990591;
0.508192;0.999836;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999836;0.990591;
0.516384;0.999672;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999672;0.990591;
0.532768;0.999345;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.999345;0.990591;
0.565536;0.998689;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.998689;0.990591;
0.631072;0.997379;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.997379;0.990591;
0.762144;0.994757;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.994757;0.990591;
1.024288;0.989514;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.989514;0.990591;
1.548576;0.979028;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.979028;0.990591;
2.597152;0.958057;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.958057;0.990591;
4.694304;0.916114;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.916114;0.990591;
8.888608;0.832228;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.832228;0.990591;
10.000000;0.810000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.810000;0.990591;
