time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_omegaRef_grp_0_value;NETWORK_BUS_Upu_value;
0.000000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.100000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.200000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.300000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.400000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.500000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.600000;0.998000;1.200000;0.199691;0.990660;0.189988;1.200000;0.200000;0.998000;0.990660;
0.700000;0.996000;1.200000;0.199988;0.990593;0.189988;1.200000;0.200000;0.996000;0.990593;
0.800000;0.994000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.994000;0.990591;
0.900000;0.992000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.992000;0.990591;
1.000000;0.990000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.990000;0.990591;
1.100000;0.988000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.988000;0.990591;
1.200000;0.986000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.986000;0.990591;
1.300000;0.984000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.984000;0.990591;
1.400000;0.982000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.982000;0.990591;
1.500000;0.980000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.980000;0.990591;
1.600000;0.978000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.978000;0.990591;
1.700000;0.976000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.976000;0.990591;
1.800000;0.974000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.974000;0.990591;
1.900000;0.972000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.972000;0.990591;
2.000000;0.970000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.970000;0.990591;
2.100000;0.968000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.968000;0.990591;
2.200000;0.966000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.966000;0.990591;
2.300000;0.964000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.964000;0.990591;
2.400000;0.962000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.962000;0.990591;
2.500000;0.960000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.960000;0.990591;
2.600000;0.958000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.958000;0.990591;
2.700000;0.956000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.956000;0.990591;
2.800000;0.954000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.954000;0.990591;
2.900000;0.952000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.952000;0.990591;
3.000000;0.950000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.950000;0.990591;
3.100000;0.948000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.948000;0.990591;
3.200000;0.946000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.946000;0.990591;
3.300000;0.944000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.944000;0.990591;
3.400000;0.942000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.942000;0.990591;
3.500000;0.940000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.940000;0.990591;
3.600000;0.938000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.938000;0.990591;
3.700000;0.936000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.936000;0.990591;
3.800000;0.934000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.934000;0.990591;
3.900000;0.932000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.932000;0.990591;
4.000000;0.930000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.930000;0.990591;
4.100000;0.928000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.928000;0.990591;
4.200000;0.926000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.926000;0.990591;
4.300000;0.924000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.924000;0.990591;
4.400000;0.922000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.922000;0.990591;
4.500000;0.920000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.920000;0.990591;
4.600000;0.918000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.918000;0.990591;
4.700000;0.916000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.916000;0.990591;
4.800000;0.914000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.914000;0.990591;
4.900000;0.912000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.912000;0.990591;
5.000000;0.910000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.910000;0.990591;
5.100000;0.908000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.908000;0.990591;
5.200000;0.906000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.906000;0.990591;
5.300000;0.904000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.904000;0.990591;
5.400000;0.902000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.902000;0.990591;
5.500000;0.900000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.900000;0.990591;
5.600000;0.898000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.898000;0.990591;
5.700000;0.896000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.896000;0.990591;
5.800000;0.894000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.894000;0.990591;
5.900000;0.892000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.892000;0.990591;
6.000000;0.890000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.890000;0.990591;
6.100000;0.888000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.888000;0.990591;
6.200000;0.886000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.886000;0.990591;
6.300000;0.884000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.884000;0.990591;
