time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_setPoint_setPoint;NETWORK_BUS_Upu_value;
0.000000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000001;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000002;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000004;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000008;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000016;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000032;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000064;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000128;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000256;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.000512;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.001024;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.002048;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.004096;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.008192;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.016384;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.032768;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.065536;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.131072;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.262144;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.500000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.500000;1.000000;1.200000;0.199988;0.990593;0.189988;1.200000;0.200000;1.000000;0.990593;
0.500001;1.000000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;1.000000;0.990591;
0.500002;1.000000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;1.000000;0.990591;
