time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_setPoint_setPoint;NETWORK_BUS_Upu_value;
0.000000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.100000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.200000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.300000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.400000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.500000;1.000000;1.000000;0.200000;1.000000;0.189988;1.000000;0.200000;1.000000;1.000000;
0.600000;0.998039;1.200000;0.199370;0.990680;0.128388;1.200000;0.200000;1.000000;0.990680;
0.700000;0.996117;1.200000;0.200356;0.990514;0.006397;1.200000;0.200000;1.000000;0.990514;
0.800000;0.994232;1.200000;0.200911;0.990391;-0.174803;1.200000;0.200000;1.000000;0.990391;
0.900000;0.992385;1.200000;0.200000;0.990591;-0.414050;1.200000;0.200000;1.000000;0.990591;
1.000000;0.990573;1.200000;0.200107;0.990611;-0.710205;1.200000;0.200000;1.000000;0.990611;
1.100000;0.988797;1.200000;0.199997;0.990591;-1.062153;1.200000;0.200000;1.000000;0.990591;
1.200000;0.987056;1.200000;0.199662;0.990635;-1.468801;1.200000;0.200000;1.000000;0.990635;
1.300000;0.985349;1.200000;0.199845;0.990625;-1.929074;1.200000;0.200000;1.000000;0.990625;
1.400000;0.983676;1.200000;0.200000;0.990591;-2.441923;1.200000;0.200000;1.000000;0.990591;
1.500000;0.982035;1.200000;0.199999;0.990591;-3.006315;1.200000;0.200000;1.000000;0.990591;
1.600000;0.980426;1.200000;0.199997;0.990591;-3.621241;1.200000;0.200000;1.000000;0.990591;
1.700000;0.978849;1.200000;0.199992;0.990593;-4.285709;1.200000;0.200000;1.000000;0.990593;
1.800000;0.977303;1.200000;0.199978;0.990596;-4.998749;1.200000;0.200000;1.000000;0.990596;
1.900000;0.975788;1.200000;0.199943;0.990603;-5.759407;1.200000;0.200000;1.000000;0.990603;
2.000000;0.974301;1.200000;0.199865;0.990621;-6.566750;1.200000;0.200000;1.000000;0.990621;
2.100000;0.972845;1.200000;0.199697;0.990659;-7.419862;1.200000;0.200000;1.000000;0.990659;
2.200000;0.971416;1.200000;0.199351;0.990736;-8.317847;1.200000;0.200000;1.000000;0.990736;
2.300000;0.970016;1.200000;0.199992;0.990593;-9.259824;1.200000;0.200000;1.000000;0.990593;
2.400000;0.968643;1.200000;0.199959;0.990600;-10.244931;1.200000;0.200000;1.000000;0.990600;
2.500000;0.967297;1.200000;0.199851;0.990624;-11.272322;1.200000;0.200000;1.000000;0.990624;
2.600000;0.965978;1.200000;0.199569;0.990687;-12.341168;1.200000;0.200000;1.000000;0.990687;
2.700000;0.964684;1.200000;0.199911;0.990611;-13.450656;1.200000;0.200000;1.000000;0.990611;
2.800000;0.963416;1.200000;0.199780;0.990640;-14.599989;1.200000;0.200000;1.000000;0.990640;
2.900000;0.962172;1.200000;0.199662;0.990666;-15.788386;1.200000;0.200000;1.000000;0.990666;
3.000000;0.960953;1.200000;0.199775;0.990641;-17.015081;1.200000;0.200000;1.000000;0.990641;
3.100000;0.959758;1.200000;0.199788;0.990638;-18.279323;1.200000;0.200000;1.000000;0.990638;
3.200000;0.958586;1.200000;0.199659;0.990667;-19.580375;1.200000;0.200000;1.000000;0.990667;
3.300000;0.957437;1.200000;0.199442;0.990716;-20.917517;1.200000;0.200000;1.000000;0.990716;
3.400000;0.956311;1.200000;0.199760;0.990644;-22.290040;1.200000;0.200000;1.000000;0.990644;
3.450000;0.955754;1.200000;0.199993;0.990592;-22.985060;1.200000;0.200000;1.000000;0.990592;
3.550000;0.954660;1.200000;0.200155;0.990558;-24.409443;1.200000;0.200000;1.000000;0.990558;
3.650000;0.953589;1.200000;0.199742;0.990648;-25.867496;1.200000;0.200000;1.000000;0.990648;
3.750000;0.952538;1.200000;0.200573;0.245672;-27.358560;1.200000;0.200000;1.000000;0.245672;
3.800000;0.952018;1.200000;0.199976;0.245619;-28.112264;1.200000;0.200000;1.000000;0.245619;
3.900000;0.950998;1.200000;0.199939;0.245648;-29.651713;1.200000;0.200000;1.000000;0.245648;
4.000000;0.949998;1.200000;0.199999;0.245622;-31.222576;1.200000;0.200000;1.000000;0.245622;
4.050000;0.949503;1.200000;0.199947;0.245617;-32.015784;1.200000;0.200000;1.000000;0.245617;
4.150000;0.948532;1.200000;0.199959;0.245660;-33.632693;1.200000;0.200000;1.000000;0.245660;
4.250000;0.947581;1.200000;0.199962;0.245618;-35.279498;1.200000;0.200000;1.000000;0.245618;
4.300000;0.947109;1.200000;0.199890;0.245612;-36.110300;1.200000;0.200000;1.000000;0.245612;
4.400000;0.946186;1.200000;0.199999;0.245668;-37.800924;1.200000;0.200000;1.000000;0.245668;
4.500000;0.945280;1.200000;0.199689;0.245594;-39.519998;1.200000;0.200000;1.000000;0.245594;
4.550000;0.944832;1.200000;0.199789;0.245603;-40.386578;1.200000;0.200000;1.000000;0.245603;
4.650000;0.943953;1.200000;0.200039;0.245660;-42.147353;1.200000;0.200000;1.000000;0.245660;
4.750000;0.943091;1.200000;0.199092;0.245541;-43.935203;1.200000;0.200000;1.000000;0.245541;
4.800000;0.942664;1.200000;0.199618;0.245588;-44.835829;1.200000;0.200000;1.000000;0.245588;
4.900000;0.941828;1.200000;0.199468;0.245620;-46.663364;1.200000;0.200000;1.000000;0.245620;
5.000000;0.941008;1.200000;0.199960;0.245618;-48.516664;1.200000;0.200000;1.000000;0.245618;
5.050000;0.940602;1.200000;0.199327;0.245562;-49.449692;1.200000;0.200000;1.000000;0.245562;
5.150000;0.939805;1.200000;0.199661;0.245465;-51.340758;1.200000;0.200000;1.000000;0.245465;
5.250000;0.939025;1.200000;0.199413;0.245570;-53.256345;1.200000;0.200000;1.000000;0.245570;
5.300000;0.938639;1.200000;0.200015;0.245623;-54.220207;1.200000;0.200000;1.000000;0.245623;
5.400000;0.937881;1.200000;0.199613;0.245508;-56.171734;1.200000;0.200000;1.000000;0.245508;
5.500000;0.937138;1.200000;0.199977;0.245620;-58.146595;1.200000;0.200000;1.000000;0.245620;
5.600000;0.936410;1.200000;0.200334;0.245651;-60.144333;1.200000;0.200000;1.000000;0.245651;
5.650000;0.936050;1.200000;0.200053;0.245626;-61.148864;1.200000;0.200000;1.000000;0.245626;
5.750000;0.935343;1.200000;0.199365;0.245475;-63.180134;1.200000;0.200000;1.000000;0.245475;
