time;Generator_generator_PGenPu;Generator_generator_QGenPu;Generator_generator_UPu;Load_load_PPu;Load_load_QPu;
0.000000;1.000000;0.200000;1.000000;1.000000;0.200000;
0.000001;1.000000;0.200000;1.000000;1.000000;0.200000;
0.000002;1.000000;0.200000;1.000000;1.000000;0.200000;
0.000004;1.000000;0.200000;1.000000;1.000000;0.200000;
0.000008;1.000000;0.200000;1.000000;1.000000;0.200000;
0.000016;1.000000;0.200000;1.000000;1.000000;0.200000;
0.000032;1.000000;0.200000;1.000000;1.000000;0.200000;
0.000064;1.000000;0.200000;1.000000;1.000000;0.200000;
0.000128;1.000000;0.200000;1.000000;1.000000;0.200000;
0.000256;1.000000;0.200000;1.000000;1.000000;0.200000;
0.000512;1.000000;0.200000;1.000000;1.000000;0.200000;
0.001024;1.000000;0.200000;1.000000;1.000000;0.200000;
0.002048;1.000000;0.200000;1.000000;1.000000;0.200000;
0.004096;1.000000;0.200000;1.000000;1.000000;0.200000;
0.008192;1.000000;0.200000;1.000000;1.000000;0.200000;
0.016384;1.000000;0.200000;1.000000;1.000000;0.200000;
0.032768;1.000000;0.200000;1.000000;1.000000;0.200000;
0.065536;1.000000;0.200000;1.000000;1.000000;0.200000;
0.131072;1.000000;0.200000;1.000000;1.000000;0.200000;
0.262144;1.000000;0.200000;1.000000;1.000000;0.200000;
0.500000;1.000000;0.200000;1.000000;1.000000;0.200000;
0.500000;1.000000;0.200000;1.000000;1.200000;0.200000;
0.500001;1.000000;0.200000;1.000000;1.200000;0.200000;
0.500002;1.000000;0.200000;1.000000;1.200000;0.200000;
0.500004;1.000000;0.200000;1.000000;1.200000;0.200000;
0.500008;1.000000;0.200000;1.000000;1.200000;0.200000;
0.500016;1.000000;0.200000;1.000000;1.200000;0.200000;
0.500032;1.000000;0.200000;1.000000;1.200000;0.200000;
0.500064;1.000000;0.200000;1.000000;1.200000;0.200000;
0.500128;1.000000;0.200000;1.000000;1.200000;0.200000;
0.500256;1.000000;0.200000;1.000000;1.200000;0.200000;
0.500512;1.000000;0.200000;1.000000;1.200000;0.200000;
0.501024;1.000000;0.200000;1.000000;1.200000;0.200000;
0.502048;1.000000;0.200000;1.000000;1.200000;0.200000;
0.504096;1.000000;0.200000;1.000000;1.200000;0.200000;
0.508192;1.000000;0.200000;1.000000;1.200000;0.200000;
0.516384;1.000000;0.200000;1.000000;1.200000;0.200000;
0.532768;1.000000;0.200000;1.000000;1.200000;0.200000;
0.565536;1.000000;0.200000;1.000000;1.200000;0.200000;
0.631072;1.000000;0.200000;1.000000;1.200000;0.200000;
0.762144;1.000000;0.200000;1.000000;1.200000;0.200000;
1.024288;1.000000;0.200000;1.000000;1.200000;0.200000;
1.548576;1.000000;0.200000;1.000000;1.200000;0.200000;
2.597152;1.000000;0.200000;1.000000;1.200000;0.200000;
4.694304;1.000000;0.200000;1.000000;1.200000;0.200000;
8.888608;1.000000;0.200000;1.000000;1.200000;0.200000;
10.000000;1.000000;0.200000;1.000000;1.200000;0.200000;
