time;GEN1_generator_delta;GEN1_generator_omegaPu;GEN1_generator_PGenPu;GEN1_generator_UPu;GEN2_generator_delta;GEN2_generator_omegaPu;GEN2_generator_PGenPu;GEN2_generator_UPu;
0.000000;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.000001;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.000002;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.000004;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.000008;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.000016;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.000032;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.000064;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.000128;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.000256;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.000512;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.001024;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.002048;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.004096;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.008192;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.016384;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.032768;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.065536;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.131072;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.262144;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
0.524288;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
1.000000;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;
1.000000;0.781179;1.000000;1.851328;0.460491;0.711009;1.000000;1.245984;0.420005;
1.000001;0.781179;1.000000;1.851328;0.460491;0.711009;1.000000;1.245984;0.420005;
1.000002;0.781179;1.000001;1.851328;0.460491;0.711009;1.000001;1.245984;0.420005;
1.000004;0.781179;1.000002;1.851328;0.460491;0.711009;1.000001;1.245984;0.420005;
1.000008;0.781179;1.000003;1.851328;0.460491;0.711009;1.000003;1.245984;0.420005;
1.000016;0.781179;1.000006;1.851328;0.460491;0.711009;1.000006;1.245984;0.420005;
1.000032;0.781179;1.000013;1.851328;0.460491;0.711009;1.000011;1.245984;0.420005;
1.000064;0.781179;1.000026;1.851328;0.460491;0.711009;1.000022;1.245984;0.420005;
1.000128;0.781179;1.000051;1.851328;0.460491;0.711009;1.000044;1.245984;0.420005;
1.000256;0.781180;1.000102;1.851329;0.460491;0.711009;1.000088;1.245984;0.420005;
1.000512;0.781180;1.000204;1.851331;0.460491;0.711008;1.000175;1.245981;0.420005;
1.001024;0.781184;1.000409;1.851341;0.460491;0.711004;1.000350;1.245971;0.420005;
1.002048;0.781196;1.000817;1.851378;0.460490;0.710989;1.000701;1.245931;0.420005;
1.004096;0.781247;1.001634;1.851526;0.460489;0.710928;1.001402;1.245772;0.420005;
1.008192;0.781451;1.003268;1.852119;0.460483;0.710683;1.002804;1.245136;0.420005;
1.016384;0.782263;1.006535;1.854480;0.460460;0.709709;1.005609;1.242602;0.420002;
1.032768;0.785467;1.013055;1.863771;0.460363;0.705864;1.011233;1.232586;0.419989;
1.060000;0.795040;1.023832;1.891264;0.460031;0.694377;1.020649;1.202484;0.419909;
1.060000;0.795040;1.023832;5.915919;0.998865;0.694377;1.020649;4.579594;0.999493;
1.060001;0.795040;1.023832;5.915920;0.998865;0.694376;1.020649;4.579591;0.999493;
1.060002;0.795041;1.023832;5.915923;0.998865;0.694376;1.020649;4.579588;0.999493;
1.060004;0.795042;1.023832;5.915927;0.998865;0.694375;1.020649;4.579582;0.999493;
1.060008;0.795044;1.023832;5.915937;0.998865;0.694372;1.020649;4.579570;0.999493;
1.060016;0.795047;1.023832;5.915956;0.998865;0.694368;1.020649;4.579547;0.999492;
1.060032;0.795054;1.023832;5.915995;0.998864;0.694359;1.020649;4.579500;0.999492;
1.060064;0.795069;1.023832;5.916072;0.998863;0.694342;1.020649;4.579407;0.999491;
1.060128;0.795098;1.023831;5.916225;0.998860;0.694307;1.020650;4.579219;0.999490;
1.060256;0.795156;1.023830;5.916533;0.998854;0.694237;1.020651;4.578845;0.999487;
1.060512;0.795272;1.023828;5.917146;0.998844;0.694098;1.020653;4.578098;0.999482;
1.061024;0.795504;1.023824;5.918370;0.998822;0.693820;1.020658;4.576605;0.999470;
1.062048;0.795966;1.023816;5.920805;0.998779;0.693266;1.020668;4.573631;0.999448;
1.064096;0.796881;1.023799;5.925623;0.998691;0.692168;1.020689;4.567730;0.999402;
1.068192;0.798675;1.023761;5.935034;0.998517;0.690014;1.020733;4.556133;0.999309;
1.076384;0.802101;1.023675;5.952873;0.998169;0.685903;1.020836;4.533897;0.999116;
1.092768;0.808159;1.023464;5.983992;0.997508;0.678634;1.021091;4.494287;0.998728;
1.109152;0.812996;1.023210;6.008436;0.996937;0.672829;1.021403;4.462385;0.998376;
1.125536;0.816426;1.022922;6.025551;0.996509;0.668713;1.021757;4.439624;0.998102;
1.141920;0.818312;1.022615;6.034892;0.996267;0.666451;1.022139;4.427067;0.997945;
1.174688;0.817316;1.022006;6.029990;0.996398;0.667645;1.022893;4.433714;0.998031;
1.207456;0.810488;1.021470;5.995752;0.997232;0.675839;1.023552;4.478924;0.998558;
1.240224;0.799082;1.021088;5.936782;0.998438;0.689526;1.024015;4.553287;0.999248;
1.272992;0.785012;1.020924;5.861229;0.999616;0.706410;1.024215;4.642961;0.999789;
1.302483;0.771860;1.020985;5.789658;1.000593;0.722193;1.024150;4.725773;1.000170;
1.318089;0.765468;1.021126;5.753498;1.000919;0.729863;1.023993;4.765075;1.000206;
1.333694;0.759970;1.021316;5.721964;1.001144;0.736461;1.023786;4.798425;1.000181;
1.349300;0.755536;1.021545;5.696268;1.001292;0.741782;1.023537;4.825069;1.000127;
1.380511;0.749496;1.022062;5.660848;1.001445;0.749030;1.022981;4.861014;1.000006;
1.411723;0.748215;1.022625;5.653361;1.001470;0.750567;1.022378;4.868496;0.999973;
1.442934;0.751781;1.023155;5.674270;1.001386;0.746287;1.021808;4.847381;1.000051;
1.472639;0.759173;1.023565;5.717389;1.001175;0.737417;1.021364;4.803250;1.000176;
1.502344;0.769411;1.023826;5.775711;1.000708;0.725132;1.021077;4.740774;1.000174;
1.532048;0.781087;1.023910;5.840385;0.999958;0.711120;1.020988;4.667952;0.999954;
1.561753;0.792624;1.023812;5.902375;0.999000;0.697276;1.021109;4.594508;0.999518;
1.576605;0.797730;1.023677;5.930085;0.998609;0.691148;1.021269;4.562243;0.999358;
1.591458;0.802053;1.023509;5.952580;0.998169;0.685962;1.021471;4.534175;0.999113;
1.606310;0.805468;1.023315;5.970137;0.997798;0.681863;1.021705;4.511856;0.998897;
1.636015;0.809933;1.022893;5.993001;0.997302;0.676504;1.022219;4.482603;0.998603;
1.665720;0.810524;1.022445;5.996000;0.997234;0.675795;1.022765;4.478720;0.998561;
1.695424;0.807124;1.022019;5.978725;0.997626;0.679876;1.023285;4.501084;0.998800;
1.725145;0.800282;1.021678;5.943423;0.998356;0.688086;1.023695;4.545719;0.999220;
1.754866;0.790967;1.021464;5.894139;0.999217;0.699264;1.023950;4.605625;0.999660;
1.784587;0.780464;1.021406;5.836998;1.000011;0.711868;1.024021;4.671975;0.999978;
1.814307;0.770195;1.021513;5.779663;1.000615;0.724190;1.023905;4.735608;1.000117;
1.829718;0.765574;1.021650;5.754084;1.000912;0.729736;1.023752;4.764417;1.000204;
1.845129;0.761720;1.021821;5.732096;1.001082;0.734361;1.023564;4.787879;1.000199;
1.860540;0.758772;1.022017;5.715101;1.001191;0.737898;1.023349;4.805662;1.000174;
1.891362;0.755203;1.022442;5.694349;1.001305;0.742181;1.022886;4.827097;1.000126;
1.922183;0.755406;1.022882;5.695556;1.001299;0.741937;1.022408;4.825857;1.000129;
1.953005;0.759316;1.023280;5.718248;1.001174;0.737245;1.021973;4.802419;1.000182;
1.983174;0.766140;1.023576;5.757314;1.000887;0.729057;1.021649;4.760968;1.000205;
2.013342;0.774940;1.023739;5.806720;1.000399;0.718496;1.021467;4.706630;1.000116;
2.043511;0.784480;1.023754;5.859006;0.999722;0.707049;1.021454;4.646682;0.999872;
2.073680;0.793438;1.023623;5.906926;0.998955;0.696299;1.021611;4.589490;0.999509;
2.088774;0.797149;1.023492;5.927018;0.998664;0.691846;1.021768;4.565993;0.999387;
2.103867;0.800149;1.023336;5.942751;0.998372;0.688246;1.021953;4.546605;0.999231;
2.118961;0.802333;1.023164;5.954075;0.998145;0.685625;1.022159;4.532401;0.999103;
2.149148;0.804667;1.022803;5.966127;0.997896;0.682825;1.022593;4.517158;0.998959;
2.179335;0.803764;1.022443;5.961190;0.997962;0.683908;1.023028;4.522853;0.998984;
2.209522;0.799773;1.022125;5.940818;0.998415;0.688697;1.023409;4.549096;0.999257;
2.240106;0.793189;1.021889;5.906113;0.999035;0.696598;1.023689;4.591484;0.999579;
2.270689;0.785008;1.021771;5.862071;0.999706;0.706415;1.023827;4.643522;0.999879;
2.301273;0.776404;1.021790;5.814689;1.000290;0.716739;1.023809;4.697410;1.000074;
2.331857;0.769469;1.021994;5.776166;1.000722;0.725062;1.023580;4.740554;1.000191;
2.354990;0.765638;1.022197;5.754469;1.000910;0.729659;1.023355;4.764014;1.000205;
2.375514;0.763507;1.022402;5.742314;1.001005;0.732216;1.023129;4.777002;1.000203;
2.393935;0.762653;1.022594;5.737423;1.001041;0.733241;1.022917;4.782188;1.000200;
2.410514;0.762735;1.022765;5.737885;1.001037;0.733142;1.022728;4.781688;1.000200;
2.427093;0.763629;1.022928;5.742998;1.000999;0.732069;1.022548;4.776254;1.000202;
2.443671;0.765258;1.023075;5.752290;1.000926;0.730115;1.022386;4.766335;1.000204;
2.476829;0.769873;1.023314;5.778443;1.000701;0.724577;1.022119;4.738076;1.000188;
2.506671;0.775469;1.023445;5.809771;1.000380;0.717862;1.021972;4.703447;1.000121;
2.560386;0.784875;1.023331;5.861457;0.999728;0.706575;1.022105;4.644450;0.999896;
2.583163;0.788233;1.023241;5.879614;0.999462;0.702545;1.022209;4.623145;0.999781;
2.605939;0.790748;1.023122;5.893074;0.999247;0.699527;1.022349;4.607094;0.999680;
2.628716;0.792288;1.022984;5.901267;0.999109;0.697679;1.022511;4.597219;0.999612;
2.674268;0.793049;1.022705;5.905372;0.999047;0.696765;1.022840;4.592382;0.999585;
2.719821;0.790407;1.022460;5.891284;0.999280;0.699936;1.023126;4.609295;0.999698;
2.765374;0.785264;1.022314;5.863565;0.999698;0.706108;1.023296;4.641988;0.999883;
2.810927;0.779170;1.022302;5.830252;1.000140;0.713420;1.023311;4.680346;1.000049;
2.851924;0.774257;1.022407;5.803032;1.000455;0.719317;1.023192;4.710980;1.000141;
2.873247;0.772535;1.022511;5.793402;1.000555;0.721382;1.023076;4.721645;1.000163;
2.894570;0.771554;1.022625;5.787895;1.000609;0.722560;1.022947;4.727706;1.000173;
2.915893;0.771327;1.022742;5.786618;1.000622;0.722833;1.022816;4.729105;1.000175;
2.958538;0.772479;1.022955;5.793089;1.000558;0.721450;1.022577;4.721991;1.000163;
3.001184;0.775793;1.023113;5.811559;1.000358;0.717473;1.022398;4.701414;1.000114;
3.057144;0.781354;1.023104;5.842252;0.999988;0.710799;1.022409;4.666643;0.999996;
3.103602;0.784676;1.023014;5.860375;0.999744;0.706814;1.022513;4.645709;0.999902;
3.145414;0.786165;1.022898;5.868452;0.999629;0.705027;1.022648;4.636286;0.999854;
3.179718;0.786311;1.022799;5.869248;0.999617;0.704852;1.022763;4.635362;0.999850;
3.210591;0.785745;1.022723;5.866177;0.999661;0.705531;1.022851;4.638941;0.999868;
3.241465;0.784633;1.022665;5.860156;0.999748;0.706865;1.022917;4.645987;0.999905;
3.272339;0.783206;1.022632;5.852388;0.999856;0.708578;1.022956;4.655002;0.999948;
3.303212;0.781703;1.022624;5.844173;0.999965;0.710380;1.022965;4.664456;0.999988;
3.364959;0.779683;1.022676;5.833079;1.000106;0.712805;1.022905;4.677139;1.000038;
3.417669;0.778993;1.022740;5.829279;1.000153;0.713633;1.022832;4.681461;1.000053;
3.470379;0.779222;1.022797;5.830540;1.000137;0.713359;1.022767;4.680028;1.000048;
3.523089;0.779960;1.022829;5.834612;1.000087;0.712472;1.022731;4.675405;1.000032;
3.575799;0.780805;1.022837;5.839251;1.000028;0.711458;1.022721;4.670100;1.000011;
3.681220;0.781649;1.022809;5.843872;0.999968;0.710445;1.022753;4.664792;0.999989;
3.776098;0.781667;1.022784;5.843969;0.999967;0.710424;1.022782;4.664682;0.999989;
3.870976;0.781406;1.022774;5.842543;0.999986;0.710737;1.022794;4.666326;0.999996;
3.965854;0.781176;1.022775;5.841278;1.000002;0.711013;1.022793;4.667769;1.000001;
4.155610;0.781109;1.022782;5.840909;1.000006;0.711094;1.022784;4.668192;1.000003;
4.345366;0.781159;1.022784;5.841189;1.000003;0.711033;1.022782;4.667873;1.000002;
4.724879;0.781183;1.022783;5.841314;1.000001;0.711006;1.022783;4.667727;1.000001;
5.483904;0.781180;1.022783;5.841300;1.000001;0.711009;1.022783;4.667744;1.000001;
7.001954;0.781179;1.022783;5.841297;1.000001;0.711009;1.022783;4.667747;1.000001;
10.000000;0.781179;1.022784;5.841297;1.000001;0.711009;1.022784;4.667747;1.000001;
