time;GEN1_generator_delta;GEN1_generator_omegaPu;GEN1_generator_PGenPu;GEN1_generator_UPu;GEN2_generator_delta;GEN2_generator_omegaPu;GEN2_generator_PGenPu;GEN2_generator_UPu;NETWORK_GEN1_BUS_numcc_value;NETWORK_GEN2_BUS_numcc_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;
0.000000;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.000001;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.000002;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.000004;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.000008;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.000016;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.000032;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.000064;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.000128;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.000256;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.000512;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.001024;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.002048;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.004096;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.008192;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.016384;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.032768;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.065536;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.131072;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.262144;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
0.524288;0.781179;1.000000;5.841297;1.000001;0.711009;1.000000;4.667747;1.000001;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;
