time;GEN1A_generator_omegaPu;GEN1A_generator_PGenPu;GEN1A_generator_UPu;GEN1B_generator_omegaPu;GEN1B_generator_PGenPu;GEN1B_generator_UPu;GEN2A_generator_omegaPu;GEN2A_generator_PGenPu;GEN2A_generator_UPu;GEN2B_generator_omegaPu;GEN2B_generator_PGenPu;GEN2B_generator_UPu;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_grp_2_value;OMEGA_REF_omegaRef_grp_3_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;NETWORK_GEN1A_BUS_numcc_value;NETWORK_GEN2A_BUS_numcc_value;
0.000000;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000001;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000002;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000004;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000008;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000016;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000032;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000064;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000128;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000256;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.000512;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.001024;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.002048;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.004096;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545166;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.008192;1.000000;5.337457;1.000109;1.000000;3.904441;1.000108;1.000000;3.545167;1.000101;1.000000;3.348788;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.016384;1.000000;5.337456;1.000109;1.000000;3.904441;1.000108;1.000000;3.545169;1.000101;1.000000;3.348787;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.032768;1.000000;5.337451;1.000110;1.000000;3.904442;1.000109;1.000001;3.545177;1.000101;1.000000;3.348787;1.000105;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;
0.065536;1.000000;5.337435;1.000111;1.000001;3.904443;1.000109;1.000001;3.545208;1.000101;1.000001;3.348784;1.000105;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;0.000000;0.000000;
0.131072;1.000000;5.337385;1.000114;1.000001;3.904449;1.000111;1.000002;3.545300;1.000102;1.000001;3.348779;1.000107;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;0.000000;0.000000;
0.262144;1.000002;5.337295;1.000119;1.000002;3.904461;1.000114;1.000003;3.545447;1.000102;1.000002;3.348780;1.000110;1.000002;1.000002;1.000002;1.000002;1.000002;1.000000;0.000000;0.000000;
0.524288;1.000005;5.337328;1.000117;1.000004;3.904459;1.000113;1.000004;3.545377;1.000102;1.000004;3.348789;1.000108;1.000004;1.000004;1.000004;1.000004;1.000004;1.000000;0.000000;0.000000;
1.000000;1.000009;5.337356;1.000115;1.000008;3.904454;1.000112;1.000008;3.545335;1.000102;1.000008;3.348787;1.000108;1.000008;1.000008;1.000008;1.000008;1.000008;1.000000;0.000000;0.000000;
1.000000;1.000009;5.125336;1.154907;1.000008;3.632225;1.153656;1.000008;3.735677;0.847507;1.000008;3.279897;0.842019;1.000008;1.000008;1.000008;1.000008;1.000008;1.000008;0.000000;1.000000;
1.000001;1.000009;5.125336;1.154907;1.000008;3.632225;1.153656;1.000008;3.735677;0.847507;1.000008;3.279897;0.842019;1.000009;1.000009;1.000008;1.000008;1.000009;1.000008;0.000000;1.000000;
